label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V10_G1,10,1,2528.0,0,0,0.0,828,1328,60.38647342995169,0,21
V10_G2,10,2,2845.0,0,0,0.0,652,1180,80.98159509202453,0,16
V10_G3,10,3,2738.0,0,0,0.0,576,1320,129.16666666666669,0,15
V10_G4,10,4,2427.0,0,1,100.0,635,1231,93.85826771653544,0,18
V10_G5,10,5,2627.0,1,2,100.0,607,1133,86.65568369028006,0,15
V10_G6,10,6,3232.0,1,0,-100.0,557,901,61.759425493716336,0,14
V10_G7,10,7,4056.0,0,0,0.0,466,949,103.64806866952789,0,22
V10_G8,10,8,4145.0,0,0,0.0,451,981,117.51662971175165,0,17
