cistron_id,num_tus,tu_ids,num_operons,operon_ids
EG10124_RNA,1,TU0-8773[c],1,2186
EG10125_RNA,1,TU0-14251[c],1,1289
EG10126_RNA,1,TU0-6281[c],1,1784
EG10127_RNA,1,TU00246[c],1,1689
EG10128_RNA,2,TU0-44193[c];TU00246[c],1,1689
EG10129_RNA,2,TU0-44213[c];TU00246[c],1,1689
EG10130_RNA,1,TU0-13196[c],1,403
EG10131_RNA,2,TU0-14513[c];TU00467[c],1,1405
EG10132_RNA,1,TU00467[c],1,1405
EG10133_RNA,1,TU00118[c],1,2306
EG10134_RNA,1,TU00109[c],1,1835
EG10135_RNA,2,TU0-6884[c];TU00109[c],1,1835
EG10136_RNA,1,TU-8393[c],1,10
EG10137_RNA,1,TU841[c],1,2521
EG10138_RNA,1,TU0-6485[c],1,1800
EG10139_RNA,3,TU0-12831[c];TU0-14340[c];TU0-14609[c],1,100
EG10140_RNA,1,TU00248[c],1,2377
EG10141_RNA,1,TU00248[c],1,2377
EG10142_RNA,1,TU00248[c],1,2377
EG10143_RNA,1,TU00248[c],1,2377
EG10144_RNA,1,TU00248[c],1,2377
EG10145_RNA,2,TU0-14683[c];TU00253[c],1,1390
EG10146_RNA,1,EG10146_RNA[c],1,2529
EG10147_RNA,1,TU0-1547[c],1,1489
EG10148_RNA,1,TU0-1547[c],1,1489
EG10149_RNA,1,EG10149_RNA[c],1,2530
EG10150_RNA,1,TU0-1547[c],1,1489
EG10151_RNA,1,TU0-1547[c],1,1489
EG10152_RNA,1,TU0-14276[c],1,1297
EG10153_RNA,1,TU00302[c],1,2399
EG10154_RNA,1,TU00302[c],1,2399
EG10155_RNA,1,TU00014[c],1,2262
EG10156_RNA,1,TU00445[c],1,2438
EG10157_RNA,1,TU0-45212[c],1,1716
EG10158_RNA,1,TU0-14490[c],1,1383
EG10159_RNA,3,TU0-14455[c];TU0-14490[c];clpX[c],1,1383
EG10160_RNA,1,TU00120[c],1,2307
EG10161_RNA,1,TU0-13499[c],1,660
EG10162_RNA,1,TU0-13499[c],1,660
EG10163_RNA,1,TU0-3[c],1,1572
EG10164_RNA,1,TU0-14396[c],1,1363
EG10165_RNA,2,TU0-45232[c];TU0-4782[c],1,1723
EG10166_RNA,1,TU0-1581[c],1,1492
EG10167_RNA,1,TU0-6821[c],1,1833
EG10168_RNA,2,TU0-13016[c];TU0-14471[c],1,250
EG10169_RNA,2,TU00444[c];cvpA-purF[c],1,1411
EG10170_RNA,1,TU0-14402[c],1,1365
EG10172_RNA,1,TU0-13253[c],1,449
EG10173_RNA,1,TU0-3161[c],1,1580
EG10174_RNA,1,TU0-3161[c],1,1580
EG10175_RNA,2,TU0-14378[c];TU00142[c],1,1359
EG10176_RNA,2,TU0-14378[c];TU00142[c],1,1359
EG10177_RNA,1,TU00142[c],1,1359
EG10178_RNA,1,TU00101[c],1,2297
EG10179_RNA,1,TU00101[c],1,2297
EG10180_RNA,1,TU00101[c],1,2297
EG10181_RNA,1,TU00101[c],1,2297
EG10182_RNA,1,TU00101[c],1,2297
EG10183_RNA,1,TU00144[c],1,2321
EG10184_RNA,1,TU00077[c],1,2286
EG10185_RNA,1,TU00146[c],1,2322
EG10186_RNA,1,TU00146[c],1,2322
EG10187_RNA,1,TU0-6501[c],1,1802
EG10188_RNA,2,TU0-0[c];TU00046[c],1,36
EG10189_RNA,2,TU0-14511[c];TU00078[c],1,1403
EG10190_RNA,1,TU00078[c],1,1403
EG10191_RNA,1,TU00078[c],1,1403
EG10192_RNA,1,TU0-14642[c],1,1444
EG10193_RNA,1,TU00144[c],1,2321
EG10194_RNA,1,TU00146[c],1,2322
EG10195_RNA,1,TU00144[c],1,2321
EG10196_RNA,1,TU0-8477[c],1,1932
EG10197_RNA,1,TU00144[c],1,2321
EG10198_RNA,1,TU00144[c],1,2321
EG10200_RNA,1,TU0-5961[c],1,1777
EG10201_RNA,1,TU0-13008[c],1,242
EG10202_RNA,1,TU0-8781[c],1,2191
EG10203_RNA,1,TU0-8782[c],1,2192
EG10204_RNA,3,TU872[c];TU874[c];TU875[c],1,2248
EG10205_RNA,1,TU00256[c],1,1616
EG10206_RNA,1,TU0-14399[c],1,1364
EG10207_RNA,2,TU0-12827[c];TU0-6443[c],1,99
EG10208_RNA,2,TU0-13642[c];TU0-14404[c],1,784
EG10209_RNA,1,TU0-14042[c],1,1123
EG10210_RNA,1,EG10210_RNA[c],1,2531
EG10211_RNA,1,TU00257[c],1,2380
EG10212_RNA,1,TU0-8783[c],1,2193
EG10213_RNA,1,TU0-8784[c],1,2194
EG10214_RNA,1,EG10214_RNA[c],1,2532
EG10215_RNA,2,TU0-13880[c];TU0-14763[c],1,984
EG10216_RNA,2,TU0-5182[c];TU0-5183[c],1,1762
EG10217_RNA,1,TU00232[c],1,2369
EG10218_RNA,1,TU0-13591[c],1,742
EG10219_RNA,2,TU0-14537[c];TU00017[c],1,1419
EG10220_RNA,3,TU0-14537[c];TU0-6646[c];TU00017[c],1,1419
EG10221_RNA,1,TU00017[c],1,1419
EG10222_RNA,3,TU0-14537[c];TU0-6646[c];TU00017[c],1,1419
EG10223_RNA,1,TU0-13067[c],1,294
EG10224_RNA,1,TU0-14115[c],1,1180
EG10225_RNA,1,TU0-12823[c],1,96
EG10226_RNA,1,TU0-13328[c],1,510
EG10227_RNA,1,TU0-13331[c],1,513
EG10228_RNA,1,TU0-13327[c],1,509
EG10229_RNA,1,TU0-5184[c],1,1763
EG10230_RNA,3,TU0-14494[c];TU00358[c];dksA[c],1,1394
EG10231_RNA,1,TU0-8787[c],1,2195
EG10232_RNA,1,TU0-1122[c],1,44
EG10233_RNA,1,TU0-1122[c],1,44
EG10234_RNA,2,TU0-1122[c];TU0-42696[c],1,44
EG10235_RNA,1,TU00259[c],1,56
EG10236_RNA,1,TU0-14119[c],1,1184
EG10237_RNA,4,TU0-8867[c];TU0-8868[c];TU0-8869[c];TU00261[c],1,2250
EG10238_RNA,1,TU0-8373[c],1,1615
EG10239_RNA,1,TU00352[c],1,1386
EG10240_RNA,1,TU00260[c],1,2382
EG10241_RNA,2,TU00260[c];dnaK[c],1,2382
EG10242_RNA,2,TU0-1193[c];TU00259[c],1,56
EG10243_RNA,1,TU0-12843[c],1,112
EG10244_RNA,4,TU0-8867[c];TU0-8868[c];TU0-8869[c];TU00261[c],1,2250
EG10245_RNA,1,TU0-12948[c],1,197
EG10246_RNA,1,TU0-12841[c],1,110
EG10247_RNA,2,TU483[c];TU484[c],1,2407
EG10248_RNA,1,TU0-198879[c],1,1521
EG10249_RNA,2,TU00148[c];TU00375[c],1,2324
EG10250_RNA,1,TU00148[c],1,2324
EG10251_RNA,1,TU0-8321[c],1,1903
EG10252_RNA,1,TU00127[c],1,2311
EG10253_RNA,1,TU00127[c],1,2311
EG10254_RNA,1,TU0-13850[c],1,955
EG10255_RNA,1,TU0-8790[c],1,2198
EG10256_RNA,2,TU00227[c];TU25[c],1,2368
EG10257_RNA,1,TU00227[c],1,2368
EG10258_RNA,2,TU0-14412[c];TU0-14654[c],1,1368
EG10259_RNA,1,TU00166[c],1,1434
EG10260_RNA,1,TU00166[c],1,1434
EG10261_RNA,1,TU00166[c],1,1434
EG10262_RNA,1,TU0-198711[c],1,1518
EG10263_RNA,1,TU00166[c],1,1434
EG10264_RNA,1,TU00270[c],1,2386
EG10265_RNA,1,TU0-12809[c],1,82
EG10266_RNA,1,TU00234[c],1,2370
EG10267_RNA,1,TU00234[c],1,2370
EG10268_RNA,1,TU00264[c],1,1876
EG10269_RNA,1,TU00177[c],1,2337
EG10270_RNA,2,TU00332[c];TU483[c],1,2407
EG10271_RNA,1,TU00265[c],1,1565
EG10272_RNA,2,TU0-2562[c];TU00265[c],1,1565
EG10273_RNA,1,TU00092[c],1,2293
EG10274_RNA,1,TU0-1482[c],1,1484
EG10275_RNA,1,TU0-42603[c],1,1671
EG10276_RNA,1,TU0-42603[c],1,1671
EG10277_RNA,3,TU0-1[c];TU0-5[c];TU00266[c],1,37
EG10278_RNA,1,TU00215[c],1,2362
EG10279_RNA,1,TU00215[c],1,2362
EG10280_RNA,1,TU00080[c],1,2287
EG10281_RNA,1,TU0-14737[c],1,1461
EG10282_RNA,2,TU0-14816[c];TU0-45273[c],1,1482
EG10283_RNA,1,TU0-8336[c],1,1913
EG10284_RNA,1,TU00268[c],1,2384
EG10285_RNA,1,TU00152[c],1,2327
EG10286_RNA,1,TU00151[c],1,2326
EG10287_RNA,1,TU00151[c],1,2326
EG10288_RNA,1,TU00151[c],1,2326
EG10289_RNA,1,TU00151[c],1,2326
EG10290_RNA,1,TU00151[c],1,2326
EG10291_RNA,1,TU00460[c],1,2446
EG10292_RNA,1,TU00460[c],1,2446
EG10293_RNA,1,TU0-198711[c],1,1518
EG10294_RNA,1,TU00164[c],1,2334
EG10295_RNA,1,TU0-3963[c],1,1610
EG10296_RNA,1,TU0-3963[c],1,1610
EG10297_RNA,1,TU00270[c],1,2386
EG10298_RNA,1,TU0-3963[c],1,1610
EG10299_RNA,1,TU00270[c],1,2386
EG10300_RNA,1,TU0-13680[c],1,815
EG10301_RNA,2,TU0-8344[c];TU0-8345[c],1,1919
EG10302_RNA,2,TU0-198712[c];fhuA[c],1,1519
EG10303_RNA,1,TU0-198712[c],1,1519
EG10304_RNA,1,TU0-198712[c],1,1519
EG10305_RNA,1,TU0-198712[c],1,1519
EG10306_RNA,1,TU0-2581[c],1,1566
EG10307_RNA,1,TU0-6885[c],1,1813
EG10308_RNA,1,fimA[c],1,2527
EG10309_RNA,1,TU00409[c],1,2431
EG10310_RNA,1,EG10310_RNA[c],1,2533
EG10311_RNA,1,EG10311_RNA[c],1,2534
EG10312_RNA,1,TU183[c],1,2481
EG10313_RNA,1,EG10313_RNA[c],1,2535
EG10314_RNA,1,EG10314_RNA[c],1,2536
EG10315_RNA,1,EG10315_RNA[c],1,2537
EG10316_RNA,3,TU0-4146[c];TU0-4184[c];TU0-8373[c],1,1615
EG10317_RNA,1,TU00021[c],1,2263
EG10318_RNA,1,TU0-1282[c],1,83
EG10319_RNA,1,TU0-14785[c],1,1472
EG10320_RNA,1,TU0-14785[c],1,1472
EG10321_RNA,1,EG10321_RNA[c],1,2538
EG10322_RNA,1,TU0-1441[c],1,1367
EG10323_RNA,1,TU0-1441[c],1,1367
EG10324_RNA,1,TU0-1441[c],1,1367
EG10325_RNA,1,TU00022[c],1,2264
EG10326_RNA,1,TU0-6401[c],1,1787
EG10327_RNA,1,TU0-13591[c],1,742
EG10328_RNA,1,TU0-12965[c],1,210
EG10329_RNA,3,TU0-5522[c];TU0-5523[c];TU0-5543[c],1,1771
EG10330_RNA,1,TU0-45225[c],1,1720
EG10331_RNA,1,TU0-45225[c],1,1720
EG10332_RNA,1,TU0-45225[c],1,1720
EG10333_RNA,1,TU0-45225[c],1,1720
EG10334_RNA,1,TU0-14055[c],1,1135
EG10335_RNA,1,TU0-42525[c],1,1655
EG10336_RNA,1,TU00161[c],1,2332
EG10337_RNA,1,TU00161[c],1,2332
