operon_id,num_tus,tu_ids
OP149,3,TU0-6021[c];TU00160[c];TU621[c]
OP150,1,TU0-14366[c]
OP151,3,TU0-14537[c];TU0-6646[c];TU00017[c]
OP152,1,TU0-13284[c]
OP153,1,TU0-13084[c]
OP154,1,TU0-14070[c]
OP155,1,TU0-5402[c]
OP156,2,TU0-14305[c];TU00047[c]
OP157,1,TU0-14049[c]
OP158,1,EG10383_RNA[c]
OP159,3,TU0-14503[c];TU00001[c];aceBA[c]
OP160,1,TU0-42602[c]
OP161,1,TU0-6630[c]
OP162,1,TU0-198873[c]
OP163,1,TU0-8477[c]
OP164,2,TU0-13823[c];TU0-13824[c]
OP165,4,TU0-14506[c];TU0-14616[c];TU0-44196[c];TU0-7603[c]
OP166,3,TU0-12831[c];TU0-14340[c];TU0-14609[c]
OP167,1,TU00012[c]
OP168,1,TU00054[c]
OP169,1,TU0-7341[c]
OP170,4,TU0-14463[c];TU0-6652[c];TU0-7805[c];TU00043[c]
OP171,2,TU0-14536[c];TU0-1962[c]
OP172,1,TU00087[c]
OP173,1,TU0-13132[c]
OP174,4,TU0-198747[c];TU0-42511[c];TU0-6650[c];TU00285[c]
OP175,3,TU0-6654[c];TU0-6660[c];TU0-8474[c]
OP176,1,TU0-12942[c]
OP177,1,TU0-7281[c]
OP178,1,TU00351[c]
OP179,1,TU344[c]
OP180,1,TU00157[c]
OP181,3,TU0-14519[c];TU0-5121[c];TU00348[c]
OP182,8,TU-8398[c];TU0-14290[c];TU0-14291[c];TU0-14292[c];TU0-198865[c];TU0-198866[c];TU0-36430[c];TU00487[c]
OP183,1,TU0-8610[c]
OP184,1,TU00368[c]
OP185,1,TU0-4444[c]
OP186,2,TU0-42569[c];TU00357[c]
OP187,1,TU0-13552[c]
OP188,1,TU0-5162[c]
OP189,2,TU0-13373[c];TU0-42694[c]
OP190,2,TU0-14547[c];TU0-4502[c]
OP191,2,TU0-4161[c];TU00256[c]
OP192,3,TU0-198697[c];TU0-45147[c];TU00222[c]
OP193,3,TU0-42514[c];TU0-45291[c];TU00085[c]
OP194,1,TU0-8473[c]
OP195,1,TU0-8101[c]
OP196,1,TU0-5061[c]
OP197,1,TU0-42461[c]
OP198,1,TU00112[c]
OP199,1,TU0-13078[c]
OP200,1,TU00144[c]
OP201,1,TU0-14819[c]
OP202,1,TU0-42509[c]
OP203,1,TU00111[c]
OP204,6,TU0-6512[c];TU0-7002[c];TU0-8464[c];TU00335[c];rplJL[c];rplKAJL[c]
OP205,1,TU00455[c]
OP206,1,TU0-14176[c]
OP207,1,TU0-5961[c]
OP208,1,TU0-14042[c]
OP209,1,TU0-6441[c]
OP210,1,TU00090[c]
OP211,1,TU0-13935[c]
OP212,3,TU0-14415[c];TU0-3581[c];argT-hisJ[c]
OP213,1,TU0-1021[c]
OP214,2,TU0-14500[c];TU00373[c]
OP215,1,TU0-6425[c]
OP216,1,TU00058[c]
OP217,2,TU0-14787[c];TU00219[c]
OP218,2,TU0-6884[c];TU00109[c]
OP219,1,TU0-13713[c]
OP220,1,TU0-12947[c]
OP221,2,TU0-14431[c];TU0-8347[c]
OP222,1,TU0-4929[c]
OP223,1,TU00106[c]
OP224,1,TU0-7842[c]
OP225,1,TU0-14356[c]
OP226,2,TU0-13010[c];leuS-lptE[c]
OP227,1,TU0-13286[c]
OP228,1,TU0-6409[c]
OP229,2,TU0-198714[c];TU0-198879[c]
OP230,1,TU0-12812[c]
OP231,1,TU0-8773[c]
OP232,3,TU0-13240[c];TU0-41760[c];TU0-8699[c]
OP233,1,TU0-1063[c]
OP234,1,TU0-14192[c]
OP235,1,TU00008[c]
OP236,1,TU102[c]
OP237,1,TU00192[c]
OP238,1,TU00060[c]
OP239,1,TU0-6422[c]
OP240,1,TU00116[c]
OP241,1,TU00101[c]
OP242,2,TU0-42515[c];TU0-4802[c]
OP243,2,TU0-45265[c];TU00461[c]
OP244,4,TU0-12921[c];TU0-14466[c];nusB[c];ribE-nusB[c]
OP245,1,TU0-8793[c]
OP246,3,TU00337[c];rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO[c];rpmJ[c]
OP247,1,TU0-13077[c]
OP248,1,TU164[c]
OP249,2,TU00340[c];rpmH[c]
OP250,1,TU0-13135[c]
OP251,1,TU00270[c]
OP252,1,EG10901_RNA[c]
OP253,1,TU0-1547[c]
OP254,1,TU0-13837[c]
OP255,2,TU0-14518[c];TU0-7981[c]
OP256,2,TU0-4201[c];TU0-4202[c]
OP257,1,TU0-13519[c]
OP258,2,TU0-14521[c];TU0-4701[c]
OP259,1,TU0-13885[c]
OP260,1,TU841[c]
OP261,1,TU0-14658[c]
OP262,1,TU0-3426[c]
OP263,1,TU00117[c]
OP264,3,TU0-14460[c];TU00352[c];TU00472[c]
OP265,1,TU00185[c]
OP266,1,TU00184[c]
OP267,1,TU0-8828[c]
OP268,3,TU0-14538[c];TU0-5843[c];TU00298[c]
OP269,2,TU0-42486[c];TU00178[c]
OP270,2,TU0-42628[c];TU00338[c]
OP271,1,TU0-5501[c]
OP272,1,TU0-8493[c]
OP273,1,TU0-14459[c]
OP274,1,TU0-14792[c]
OP275,1,TU0-13783[c]
OP276,3,TU0-14520[c];TU00444[c];cvpA-purF[c]
OP277,2,TU0-4682[c];TU0-4924[c]
OP278,3,TU0-13929[c];TU0-13930[c];TU0-14479[c]
OP279,1,TU0-14159[c]
OP280,1,TU0-13444[c]
OP281,1,TU00258[c]
OP282,1,TU0-42451[c]
OP283,3,TU0-1601[c];TU0-198885[c];TU0-42543[c]
OP284,3,TU0-14496[c];TU0-14629[c];TU0-8864[c]
OP285,2,TU0-13539[c];folE[c]
OP286,1,TU101[c]
OP287,5,TU0-14294[c];TU0-1921[c];TU0-198883[c];TU0-198884[c];TU0-4001[c]
OP288,1,TU0-14018[c]
OP289,1,TU0-8806[c]
OP290,1,TU0-12838[c]
OP291,1,TU00146[c]
OP292,2,TU0-4562[c];TU00159[c]
OP293,3,TU0-13182[c];TU0-13183[c];TU0-55017[c]
OP294,1,TU00061[c]
OP295,1,TU00238[c]
OP296,1,TU00055[c]
OP297,1,TU0-8772[c]
OP298,2,TU0-6649[c];TU0-8001[c]
OP299,1,TU0-13189[c]
OP300,1,TU0-8492[c]
OP301,3,TU0-14322[c];TU0-14474[c];TU0-6405[c]
OP302,1,TU00094[c]
OP303,2,TU0-13210[c];TU0-13211[c]
OP304,4,TU0-42516[c];TU0-6651[c];TU524[c];TU526[c]
OP305,3,TU0-13565[c];TU0-13566[c];TU0-14691[c]
OP306,1,TU0-14399[c]
OP307,3,TU0-14253[c];TU0-14394[c];TU00291[c]
OP308,1,TU0-13100[c]
OP309,1,TU0-13987[c]
OP310,1,TU0-36414[c]
OP311,1,TU0-14454[c]
OP312,1,TU00009[c]
OP313,1,TU0-3645[c]
OP314,1,TU00214[c]
OP315,2,TU0-13642[c];TU0-14404[c]
OP316,1,TU00254[c]
OP317,1,TU00218[c]
OP318,10,TU0-1[c];TU0-42537[c];TU0-42538[c];TU0-5[c];TU00266[c];TU441[c];TU442[c];TU443[c];TU601[c];rpmF[c]
OP319,1,TU0-14161[c]
OP320,1,TU00082[c]
OP321,1,TU0-1881[c]
OP322,2,TU0-14412[c];TU0-14654[c]
OP323,1,TU0-13848[c]
OP324,1,TU00003[c]
OP325,2,TU0-44205[c];TU5[c]
OP326,1,TU0-8121[c]
OP327,1,TU0-14642[c]
OP328,2,TU0-2302[c];metQ[c]
OP329,1,TU0-12797[c]
OP330,2,TU0-13499[c];TU0-198886[c]
OP331,1,TU0-13736[c]
OP332,1,TU0-14313[c]
OP333,1,TU0-8343[c]
