reason,failed_tasks
ecoli_master_sim.py: error: argument --initial_global_time: expected one argument,15
Negative molecule levels not allowed,10
IndexError: cannot do a non-empty take from an empty axes.,4
FBA infeasible (GLP_NOFEAS),1
