gene_id,variant,status,all_transcription_success,all_translation_success,max_mrna,max_protein,mean_mrna,mean_protein
EG10001,16,analyzed,99,0,4.0,4.0,0.3651849309190766,0.35420063502960614
EG10004,16,analyzed,77,0,4.0,13.0,0.6583283274693212,5.728052861923968
EG10011,16,analyzed,81,0,3.0,780.0,0.37938728224491547,454.443576761349
EG10014,16,analyzed,0,1499,0.0,2.0,0.0,0.4572213163992105
EG10015,16,analyzed,150,0,6.0,919.0,1.401441688835493,523.7372350467691
EG10016,16,analyzed,1,0,1.0,6.0,0.009911610744014417,0.5032180554363683
EG10017,16,analyzed,379,0,7.0,5.0,1.4556337423839354,0.6938985668926456
EG10018,16,analyzed,19,0,3.0,5.0,0.37814296747618636,1.3701621899939929
EG10026,16,analyzed,0,0,0.0,2.0,0.0,0.6132755513601648
EG10031,16,analyzed,599,775,13.0,46.0,4.572856775079378,20.34433193169141
EG10033,16,analyzed,6,0,2.0,4.0,0.2759804342229469,0.14515575388312021
EG10034,16,analyzed,413,10045,11.0,7.0,2.650175920363855,0.8145112846477301
EG10035,16,analyzed,64,0,4.0,7.0,1.013859092079293,1.6459280871878486
EG10039,16,analyzed,79,142733,6.0,10.0,2.0343259246545955,3.046168368660431
EG10040,16,analyzed,6,0,2.0,303.0,0.1200978288852656,109.38719643010384
EG10044,16,analyzed,77,0,5.0,1387.0,0.712391658800309,584.9749849824079
EG10046,16,analyzed,3,288274,1.0,5.0,0.04157727623787866,0.8975800223118511
EG10050,16,analyzed,0,0,0.0,1.0,0.0,0.027889813781858747
EG10051,16,analyzed,281,385,8.0,9.0,1.9055607997940445,1.0756028490517464
EG10054,16,analyzed,9,0,2.0,3.0,0.1535656054234961,0.3656569123830773
EG10003,16,analyzed,38,0,3.0,422.0,0.2663691753196602,223.72680854715523
EG10013,16,analyzed,72,0,3.0,199.0,0.2802711748047713,86.46434394576504
EG10028,16,analyzed,53,0,3.0,486.0,0.25027889813781856,214.250235990732
EG10030,16,analyzed,24,111,3.0,548.0,0.18089762292971767,214.68952201149918
EG10032,16,analyzed,382,2340,14.0,11979.0,4.182356474727538,6418.731614176607
EG10043,16,analyzed,44,0,2.0,524.0,0.27254784175748736,206.23976658371234
EG10071,16,analyzed,107,281,4.0,1090.0,0.6963013816184673,596.1699991418519
EG10084,16,analyzed,36,2225,3.0,417.0,0.5443662576160645,165.1119883291856
EG10085,16,analyzed,0,0,0.0,207.0,0.0,42.484767870934526
EG10107,16,analyzed,379,0,8.0,1009.0,1.4706084270145028,557.6216854029005
EG10108,16,analyzed,467,0,21.0,18380.0,7.744271861323265,11793.712820732859
EG10112,16,analyzed,29,179,3.0,47.0,0.18518836351154208,21.079249978546297
EG10122,16,analyzed,15,0,3.0,483.0,0.16420664206642066,151.11065819960524
EG10124,16,analyzed,10,0,1.0,131.0,0.11181669956234445,43.0884321633914
EG10129,16,analyzed,17,1026,3.0,325.0,0.30490002574444347,150.10310649618125
EG10138,16,analyzed,0,740,0.0,65.0,0.0,14.09872994078778
EG10160,16,analyzed,42,0,4.0,811.0,0.42594181755771043,387.5091821848451
EG10167,16,analyzed,49,0,5.0,503.0,0.8340341542950314,253.20016304814212
EG10170,16,analyzed,873,7974,9.0,159.0,1.784261563545868,71.53690036900369
EG10172,16,analyzed,165,0,7.0,1642.0,0.8247661546382906,796.3156697846048
