gene_id,variant,status,all_transcription_success,all_translation_success,max_mrna,max_protein,mean_mrna,mean_protein
EG10001,20,analyzed,102,0,4.0,3.0,0.4021965108921631,0.5366085148693844
EG10004,20,analyzed,113,0,5.0,15.0,0.9881135315917925,4.8584018801410105
EG10011,20,analyzed,95,0,4.0,998.0,0.48404591882852754,523.3455663020881
EG10014,20,analyzed,1,1904,1.0,6.0,0.07561240169935822,0.8776552472204646
EG10015,20,analyzed,123,0,6.0,863.0,1.1900931031365813,392.70428455211066
EG10016,20,analyzed,4,0,2.0,7.0,0.02652987435596131,0.44653349001175086
EG10017,20,analyzed,414,0,10.0,5.0,1.6039952996474736,0.7012564403868752
EG10018,20,analyzed,13,0,3.0,5.0,0.417517852300461,1.2612311307963482
EG10026,20,analyzed,0,0,0.0,2.0,0.0,0.4315285184850402
EG10031,20,analyzed,565,555,13.0,45.0,4.849679110548676,20.343894061285365
EG10033,20,analyzed,6,0,3.0,5.0,0.3901292596944771,0.5188918015004972
EG10034,20,analyzed,439,12402,10.0,9.0,2.9804754587363282,0.8922986531682184
EG10035,20,analyzed,61,0,6.0,7.0,0.9340594775377384,1.556630208804122
EG10039,20,analyzed,78,143388,8.0,12.0,1.9776733254994125,3.0343487300009038
EG10040,20,analyzed,4,0,1.0,557.0,0.1696646479255175,165.1716080629124
EG10044,20,analyzed,72,0,4.0,1316.0,0.7806652806652806,601.4924975142367
EG10046,20,analyzed,1,310486,1.0,4.0,0.0017626321974148062,0.1150230498056585
EG10050,20,analyzed,0,0,0.0,1.0,0.0,0.3502214589171111
EG10051,20,analyzed,254,415,6.0,9.0,1.6098255446081533,0.9696736870649915
EG10054,20,analyzed,0,0,0.0,1.0,0.0,0.46334628943324596
EG10003,20,analyzed,42,0,2.0,431.0,0.28405495796800145,225.7436048088222
EG10013,20,analyzed,68,0,3.0,169.0,0.28595317725752506,88.31546596763988
EG10028,20,analyzed,39,0,3.0,525.0,0.27555816686251466,238.51297116514507
EG10030,20,analyzed,25,248,2.0,473.0,0.21599023772936815,182.843848865588
EG10032,20,analyzed,408,2525,13.0,12296.0,4.984588267196963,7412.02440567658
EG10043,20,analyzed,50,0,3.0,608.0,0.45552743378830335,306.2154930850583
EG10071,20,analyzed,124,303,9.0,1007.0,0.805568109915936,626.0553647292778
EG10084,20,analyzed,39,2188,4.0,428.0,0.5985266202657507,200.09445900750248
EG10085,20,analyzed,0,0,0.0,139.0,0.0,29.838244599114166
EG10107,20,analyzed,378,0,8.0,1166.0,1.4985989333815422,636.4522733435776
EG10108,20,analyzed,444,0,17.0,19295.0,7.6205369248847505,11744.599882491188
EG10112,20,analyzed,14,482,2.0,16.0,0.0603362559884299,5.598933381542077
EG10122,20,analyzed,7,0,1.0,162.0,0.04885654885654886,42.989876163789205
EG10124,20,analyzed,11,0,2.0,163.0,0.21422760553195336,84.31578233752147
EG10129,20,analyzed,18,1090,3.0,508.0,0.46763988068335893,266.2851396547049
EG10138,20,analyzed,38,496,2.0,181.0,0.14290879508270812,68.62505649462172
EG10160,20,analyzed,39,0,3.0,619.0,0.35451505016722407,352.56237006237006
EG10167,20,analyzed,50,0,5.0,400.0,0.6850763807285546,191.01966012835578
EG10170,20,analyzed,901,8544,9.0,167.0,1.9704872096176445,83.26227063183585
EG10172,20,analyzed,191,0,10.0,1534.0,0.9804302630389586,929.7954442737051
