gene_id,variant,status,all_transcription_success,all_translation_success,max_mrna,max_protein,mean_mrna,mean_protein
EG10003,3,analyzed,2,0,2.0,314.0,0.1231326392032594,131.18243549117247
EG10030,3,analyzed,0,2,2.0,466.0,0.1484834766862834,215.24309642372114
