gene_id,variant,status,all_transcription_success,all_translation_success,max_mrna,max_protein,mean_mrna,mean_protein
EG10001,13,analyzed,83,3,3.0,3.0,0.3320489767959586,0.585795016696635
EG10004,13,analyzed,110,0,4.0,15.0,0.808245568969946,5.116533949824471
EG10011,13,analyzed,81,0,3.0,1363.0,0.486557068242144,575.4361674800924
EG10014,13,analyzed,3,2245,1.0,32.0,0.05856665810428975,1.606515968832948
EG10015,13,analyzed,121,0,5.0,714.0,0.9654936210291977,416.79921226132376
EG10016,13,analyzed,1,0,1.0,7.0,0.031894854011473586,0.5296686360133573
EG10017,13,analyzed,387,0,10.0,6.0,1.5455090333076462,0.7079373234009761
EG10018,13,analyzed,15,0,2.0,4.0,0.23208322630362188,1.6272797328538402
EG10026,13,analyzed,0,0,0.0,2.0,0.0,0.2761794674201558
EG10031,13,analyzed,491,2012,15.0,45.0,4.152453120986386,20.789836458600906
EG10033,13,analyzed,4,0,2.0,4.0,0.16846476581899136,0.1762565288123983
EG10034,13,analyzed,406,14644,9.0,7.0,2.8971658532408595,0.9062419727716414
EG10035,13,analyzed,66,0,5.0,8.0,1.1603733196335302,1.6478294374518365
EG10039,13,analyzed,65,155728,5.0,10.0,1.4439592430858808,2.786197448411679
EG10040,13,analyzed,6,0,1.0,635.0,0.16015926021063448,153.91583183491738
EG10044,13,analyzed,82,0,6.0,1943.0,1.043582498501584,873.5760339070126
EG10046,13,analyzed,0,313745,0.0,1.0,0.0,0.10827125610069355
EG10050,13,analyzed,0,0,0.0,1.0,0.0,0.21915403716071583
EG10051,13,analyzed,282,546,8.0,9.0,1.8879612980563405,1.0675571538659132
EG10054,13,analyzed,9,0,2.0,3.0,0.16225704255501328,0.46536518537546023
EG10003,13,analyzed,30,0,3.0,501.0,0.2567428718212176,228.04597996403803
EG10013,13,analyzed,65,0,3.0,128.0,0.23525130576247966,73.69162599537631
EG10028,13,analyzed,35,0,3.0,519.0,0.21585752204812056,213.89725147701003
EG10030,13,analyzed,26,15,3.0,826.0,0.3499015326654679,374.20468362017294
EG10032,13,analyzed,354,2368,12.0,10765.0,4.08964808630876,6386.388945971402
EG10043,13,analyzed,50,0,4.0,808.0,0.5624625396009932,457.1039044438736
EG10071,13,analyzed,143,463,5.0,1225.0,0.817364500385307,622.879655792448
EG10084,13,analyzed,25,2001,3.0,315.0,0.30571966777977566,99.03947255758199
EG10085,13,analyzed,0,0,0.0,253.0,0.0,49.130961554927644
EG10107,13,analyzed,159,0,4.0,1072.0,0.699289322715986,392.46540799726006
EG10108,13,analyzed,423,0,23.0,20085.0,7.815566401232982,12567.126380683278
EG10112,13,analyzed,19,443,1.0,83.0,0.13823957530610498,17.442161143933557
EG10122,13,analyzed,0,0,0.0,83.0,0.0,14.866983474612553
EG10124,13,analyzed,16,0,3.0,134.0,0.22968576076718897,79.03566229985444
EG10129,13,analyzed,23,957,2.0,252.0,0.2752376059594143,130.5936724034592
EG10138,13,analyzed,47,625,3.0,194.0,0.19980306533093586,88.13755458515284
EG10160,13,analyzed,32,0,2.0,476.0,0.2866255672574707,294.72814453292233
EG10167,13,analyzed,47,0,5.0,486.0,0.9008476753146674,273.4136912406884
EG10170,13,analyzed,721,7700,8.0,193.0,1.5772754516653824,85.84039729428889
EG10172,13,analyzed,188,0,6.0,1677.0,0.9651511259525645,960.9156605873791
