gene_id,variant,status,has_mrna,has_protein,max_mrna,max_protein,mean_mrna,mean_protein
EG10001,1,analyzed,True,True,4.0,4.0,0.4224788982674367,0.6390175794884813
EG10002,1,analyzed,True,True,4.0,3.0,0.7834613187789554,0.6321634828964905
