gene_id,variant,status,all_transcription_success,all_translation_success,max_mrna,max_protein,mean_mrna,mean_protein
EG10001,14,analyzed,99,0,3.0,3.0,0.36302367183924783,0.5407496775803969
EG10004,14,analyzed,102,0,6.0,14.0,0.823646877730166,5.225236094354536
EG10011,14,analyzed,80,0,4.0,990.0,0.36522860589923867,547.5118775221533
EG10014,14,analyzed,1,2311,1.0,3.0,0.009610184299205392,0.4434413612347631
EG10015,14,analyzed,139,0,6.0,890.0,1.2450388983650207,522.1644964013813
EG10016,14,analyzed,1,0,1.0,2.0,0.0004992303532054749,0.21042559387610768
EG10017,14,analyzed,391,0,6.0,6.0,1.4416108499396763,0.6814494321254733
EG10018,14,analyzed,13,0,2.0,4.0,0.17514664891625412,1.1958647085742813
EG10026,14,analyzed,0,0,0.0,2.0,0.0,0.3538711153638141
EG10031,14,analyzed,450,224,16.0,45.0,3.47327037483879,20.556641843824103
EG10033,14,analyzed,4,0,2.0,5.0,0.06897699380122312,0.4809252402546075
EG10034,14,analyzed,416,10933,12.0,8.0,2.529059366809502,0.8446977576236635
EG10035,14,analyzed,60,0,5.0,8.0,1.0133960144776804,1.6743353995922952
EG10039,14,analyzed,0,157263,2.0,9.0,0.02828972001497691,0.8075883013687232
EG10040,14,analyzed,5,0,2.0,885.0,0.22124225152889296,255.4724383242501
EG10044,14,analyzed,59,0,3.0,1340.0,0.7651121188168241,753.6934725631319
EG10046,14,analyzed,1,309182,1.0,4.0,0.0037442276490410615,0.5454091608769813
EG10050,14,analyzed,0,0,0.0,1.0,0.0,0.2222823147647377
EG10051,14,analyzed,273,505,7.0,9.0,2.0084453134750593,1.1940757998086284
EG10054,14,analyzed,10,0,2.0,3.0,0.14094936972167907,0.4735199900153929
EG10003,14,analyzed,36,0,2.0,499.0,0.23355660024129468,267.4739776178392
EG10013,14,analyzed,76,0,3.0,194.0,0.2937554603319882,100.52502392145442
EG10028,14,analyzed,35,0,2.0,359.0,0.14436077713524983,165.95157465573908
EG10030,14,analyzed,24,0,2.0,520.0,0.21142405458251862,271.68619212048094
EG10032,14,analyzed,394,2499,13.0,11739.0,4.136622706660565,7389.728709905562
EG10043,14,analyzed,44,0,4.0,601.0,0.3754212256105171,351.9625577235096
EG10071,14,analyzed,132,726,4.0,1343.0,0.7553355243998835,722.6763323210051
EG10084,14,analyzed,30,1647,4.0,376.0,0.29716686774555895,111.86524940716396
EG10085,14,analyzed,0,0,0.0,354.0,0.0,75.62586845280192
EG10107,14,analyzed,212,0,5.0,1000.0,0.7410658568040936,424.6015725756126
EG10108,14,analyzed,447,0,21.0,19343.0,6.965761118275991,12543.331280941882
EG10112,14,analyzed,22,128,2.0,48.0,0.1276781628323002,18.82764072055581
EG10122,14,analyzed,15,0,2.0,163.0,0.07147314556725048,65.87968548487748
EG10124,14,analyzed,18,0,4.0,245.0,0.24445646295294754,85.0055331364147
EG10129,14,analyzed,21,1193,2.0,377.0,0.2697924033781254,201.0351125348421
EG10138,14,analyzed,32,1025,3.0,183.0,0.1376211673669759,78.87452677122769
EG10160,14,analyzed,34,0,2.0,546.0,0.278570537088655,336.5372966676374
EG10167,14,analyzed,49,0,4.0,515.0,0.7282106752090527,247.18929150892373
EG10170,14,analyzed,758,8389,8.0,186.0,1.4044597911553023,71.54120730540417
EG10172,14,analyzed,167,0,5.0,1516.0,0.7577900736364771,898.6246203769189
