gene_id,RNA ID,Essentiality_ML_surrogate,ml_surrogate_bool,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match,Process,process_percent_of_mismatch
EG10543,EG10543_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
G7665,G7665_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG11680,EG11680_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
G7888,G7888_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
G7889,G7889_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10545,EG10545_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10546,EG10546_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10265,EG10265_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10316,EG10316_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG12666,EG12666_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10549,EG10549_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10581,EG10581_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10582,EG10582_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10584,EG10584_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10589,EG10589_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10613,EG10613_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG11358,EG11358_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG11205,EG11205_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10620,EG10620_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10621,EG10621_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10622,EG10622_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10623,EG10623_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG11204,EG11204_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
G6561,G6561_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10630,EG10630_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG11546,EG11546_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
G6350,G6350_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10649,EG10649_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
