gene_id,RNA ID,Essentiality_ML_surrogate,ml_surrogate_bool,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match
EG10096,EG10096_RNA,0,False,0,False,expected_nonessential,True
EG10097,EG10097_RNA,1,True,1,True,expected_essential,True
G6943,G6943_RNA,0,False,0,False,expected_nonessential,True
G6941,G6941_RNA,0,False,0,False,expected_nonessential,True
G6944,G6944_RNA,0,False,0,False,expected_nonessential,True
G6942,G6942_RNA,0,False,0,False,expected_nonessential,True
G6940,G6940_RNA,0,False,0,False,expected_nonessential,True
EG11670,EG11670_RNA,0,False,0,False,expected_nonessential,True
EG11672,EG11672_RNA,0,False,0,False,expected_nonessential,True
EG11669,EG11669_RNA,0,False,0,False,expected_nonessential,True
EG10098,EG10098_RNA,1,True,0,False,expected_nonessential,False
EG10099,EG10099_RNA,1,True,0,False,expected_nonessential,False
EG10100,EG10100_RNA,1,True,0,False,expected_nonessential,False
EG10101,EG10101_RNA,1,True,0,False,expected_nonessential,False
EG10102,EG10102_RNA,1,True,0,False,expected_nonessential,False
EG10103,EG10103_RNA,1,True,0,False,expected_nonessential,False
EG10104,EG10104_RNA,1,True,0,False,expected_nonessential,False
EG10105,EG10105_RNA,1,True,0,False,expected_nonessential,False
EG10107,EG10107_RNA,0,False,0,False,expected_nonessential,True
G6731,G6731_RNA,0,False,0,False,expected_nonessential,True
EG11618,EG11618_RNA,0,False,0,False,expected_nonessential,True
EG11615,EG11615_RNA,0,False,0,False,expected_nonessential,True
EG10109,EG10109_RNA,0,False,0,False,expected_nonessential,True
EG10110,EG10110_RNA,0,False,0,False,expected_nonessential,True
EG10112,EG10112_RNA,0,False,0,False,expected_nonessential,True
EG10115,EG10115_RNA,0,False,0,False,expected_nonessential,True
G7948,G7948_RNA,0,False,0,False,expected_nonessential,True
EG10117,EG10117_RNA,0,False,0,False,expected_nonessential,True
EG10118,EG10118_RNA,0,False,0,False,expected_nonessential,True
EG10119,EG10119_RNA,0,False,0,False,expected_nonessential,True
EG10120,EG10120_RNA,0,False,0,False,expected_nonessential,True
EG10121,EG10121_RNA,0,False,0,False,expected_nonessential,True
EG10122,EG10122_RNA,0,False,0,False,expected_nonessential,True
EG10123,EG10123_RNA,0,False,0,False,expected_nonessential,True
EG10124,EG10124_RNA,0,False,0,False,expected_nonessential,True
EG12168,EG12168_RNA,0,False,0,False,expected_nonessential,True
EG10129,EG10129_RNA,0,False,0,False,expected_nonessential,True
EG10131,EG10131_RNA,0,False,0,False,expected_nonessential,True
EG10132,EG10132_RNA,0,False,0,False,expected_nonessential,True
EG12319,EG12319_RNA,0,False,1,True,expected_essential,False
EG10134,EG10134_RNA,1,True,1,True,expected_essential,True
EG10135,EG10135_RNA,1,True,1,True,expected_essential,True
EG10137,EG10137_RNA,0,False,0,False,expected_nonessential,True
EG10138,EG10138_RNA,0,False,0,False,expected_nonessential,True
EG10139,EG10139_RNA,0,False,1,True,expected_essential,False
EG11753,EG11753_RNA,0,False,0,False,expected_nonessential,True
EG10148,EG10148_RNA,0,False,0,False,expected_nonessential,True
G6344,G6344_RNA,0,False,0,False,expected_nonessential,True
EG12331,EG12331_RNA,0,False,0,False,expected_nonessential,True
EG11608,EG11608_RNA,0,False,0,False,expected_nonessential,True
G6406,G6406_RNA,0,False,0,False,expected_nonessential,True
G6551,G6551_RNA,0,False,0,False,expected_nonessential,True
EG11265,EG11265_RNA,0,False,0,False,expected_nonessential,True
EG10922,EG10922_RNA,0,False,0,False,expected_nonessential,True
EG11190,EG11190_RNA,0,False,1,True,expected_essential,False
EG12312,EG12312_RNA,0,False,0,False,expected_nonessential,True
EG11326,EG11326_RNA,0,False,0,False,expected_nonessential,True
G6246,G6246_RNA,0,False,0,False,expected_nonessential,True
G6260,G6260_RNA,0,False,0,False,expected_nonessential,True
EG11463,EG11463_RNA,0,False,0,False,expected_nonessential,True
G7579,G7579_RNA,0,False,0,False,expected_nonessential,True
EG10161,EG10161_RNA,0,False,0,False,expected_nonessential,True
EG10162,EG10162_RNA,0,False,0,False,expected_nonessential,True
EG10164,EG10164_RNA,0,False,0,False,expected_nonessential,True
EG10165,EG10165_RNA,0,False,0,False,expected_nonessential,True
G7454,G7454_RNA,0,False,0,False,expected_nonessential,True
EG12318,EG12318_RNA,0,False,0,False,expected_nonessential,True
EG10170,EG10170_RNA,0,False,0,False,expected_nonessential,True
EG12504,EG12504_RNA,0,False,0,False,expected_nonessential,True
EG10173,EG10173_RNA,0,False,0,False,expected_nonessential,True
EG10174,EG10174_RNA,0,False,0,False,expected_nonessential,True
EG10012,EG10012_RNA,0,False,0,False,expected_nonessential,True
EG11405,EG11405_RNA,0,False,0,False,expected_nonessential,True
EG10176,EG10176_RNA,0,False,0,False,expected_nonessential,True
EG10178,EG10178_RNA,0,False,0,False,expected_nonessential,True
EG10179,EG10179_RNA,0,False,0,False,expected_nonessential,True
EG10180,EG10180_RNA,0,False,0,False,expected_nonessential,True
EG10181,EG10181_RNA,0,False,0,False,expected_nonessential,True
EG10182,EG10182_RNA,0,False,0,False,expected_nonessential,True
EG10183,EG10183_RNA,1,True,0,False,expected_nonessential,False
EG10185,EG10185_RNA,1,True,1,True,expected_essential,True
EG10186,EG10186_RNA,1,True,1,True,expected_essential,True
EG10187,EG10187_RNA,1,True,1,True,expected_essential,True
EG10188,EG10188_RNA,0,False,1,True,expected_essential,False
EG10189,EG10189_RNA,1,True,1,True,expected_essential,True
EG10190,EG10190_RNA,1,True,1,True,expected_essential,True
EG10191,EG10191_RNA,1,True,1,True,expected_essential,True
EG10192,EG10192_RNA,0,False,0,False,expected_nonessential,True
EG10193,EG10193_RNA,0,False,0,False,expected_nonessential,True
EG10194,EG10194_RNA,1,True,1,True,expected_essential,True
EG10195,EG10195_RNA,0,False,0,False,expected_nonessential,True
EG10043,EG10043_RNA,1,True,0,False,expected_nonessential,False
EG10196,EG10196_RNA,1,True,1,True,expected_essential,True
EG10197,EG10197_RNA,1,True,0,False,expected_nonessential,False
EG10198,EG10198_RNA,1,True,0,False,expected_nonessential,False
EG10200,EG10200_RNA,0,False,0,False,expected_nonessential,True
EG11407,EG11407_RNA,0,False,0,False,expected_nonessential,True
EG11408,EG11408_RNA,0,False,0,False,expected_nonessential,True
EG10205,EG10205_RNA,1,True,0,False,expected_nonessential,False
EG10206,EG10206_RNA,1,True,0,False,expected_nonessential,False
EG10207,EG10207_RNA,1,True,1,True,expected_essential,True
EG10208,EG10208_RNA,1,True,1,True,expected_essential,True
EG10209,EG10209_RNA,1,True,0,False,expected_nonessential,False
EG12392,EG12392_RNA,0,False,0,False,expected_nonessential,True
EG11418,EG11418_RNA,0,False,1,True,expected_essential,False
EG20044,EG20044_RNA,0,False,0,False,expected_nonessential,True
EG11225,EG11225_RNA,0,False,0,False,expected_nonessential,True
EG10006,EG10006_RNA,0,False,0,False,expected_nonessential,True
G7826,G7826_RNA,0,False,0,False,expected_nonessential,True
G7038,G7038_RNA,0,False,0,False,expected_nonessential,True
EG10213,EG10213_RNA,0,False,0,False,expected_nonessential,True
EG10214,EG10214_RNA,0,False,1,True,expected_essential,False
G6782,G6782_RNA,0,False,0,False,expected_nonessential,True
EG11440,EG11440_RNA,0,False,1,True,expected_essential,False
EG10219,EG10219_RNA,0,False,0,False,expected_nonessential,True
EG10220,EG10220_RNA,0,False,0,False,expected_nonessential,True
EG10221,EG10221_RNA,0,False,0,False,expected_nonessential,True
EG10222,EG10222_RNA,0,False,0,False,expected_nonessential,True
EG10004,EG10004_RNA,0,False,1,True,expected_essential,False
EG10224,EG10224_RNA,0,False,0,False,expected_nonessential,True
EG20049,EG20049_RNA,0,False,0,False,expected_nonessential,True
EG10225,EG10225_RNA,0,False,0,False,expected_nonessential,True
G6627,G6627_RNA,0,False,0,False,expected_nonessential,True
G6626,G6626_RNA,0,False,0,False,expected_nonessential,True
EG12399,EG12399_RNA,0,False,0,False,expected_nonessential,True
G7565,G7565_RNA,0,False,0,False,expected_nonessential,True
EG11648,EG11648_RNA,0,False,0,False,expected_nonessential,True
EG10231,EG10231_RNA,0,False,0,False,expected_nonessential,True
G6986,G6986_RNA,0,False,0,False,expected_nonessential,True
EG10232,EG10232_RNA,0,False,0,False,expected_nonessential,True
EG10233,EG10233_RNA,0,False,0,False,expected_nonessential,True
EG10234,EG10234_RNA,0,False,0,False,expected_nonessential,True
EG10235,EG10235_RNA,0,False,1,True,expected_essential,False
EG10248,EG10248_RNA,0,False,0,False,expected_nonessential,True
EG12625,EG12625_RNA,0,False,0,False,expected_nonessential,True
EG12626,EG12626_RNA,0,False,0,False,expected_nonessential,True
EG12627,EG12627_RNA,0,False,0,False,expected_nonessential,True
EG12628,EG12628_RNA,0,False,0,False,expected_nonessential,True
EG10249,EG10249_RNA,0,False,0,False,expected_nonessential,True
EG12232,EG12232_RNA,0,False,0,False,expected_nonessential,True
G6378,G6378_RNA,0,False,0,False,expected_nonessential,True
EG10251,EG10251_RNA,0,False,0,False,expected_nonessential,True
EG12715,EG12715_RNA,0,False,0,False,expected_nonessential,True
G6237,G6237_RNA,0,False,1,True,expected_essential,False
EG11639,EG11639_RNA,0,False,0,False,expected_nonessential,True
EG12445,EG12445_RNA,0,False,0,False,expected_nonessential,True
EG10256,EG10256_RNA,0,False,0,False,expected_nonessential,True
EG10257,EG10257_RNA,0,False,0,False,expected_nonessential,True
EG11735,EG11735_RNA,0,False,0,False,expected_nonessential,True
EG10629,EG10629_RNA,0,False,0,False,expected_nonessential,True
G6622,G6622_RNA,0,False,0,False,expected_nonessential,True
EG10258,EG10258_RNA,0,False,1,True,expected_essential,False
EG10259,EG10259_RNA,0,False,0,False,expected_nonessential,True
EG10261,EG10261_RNA,0,False,0,False,expected_nonessential,True
EG10262,EG10262_RNA,0,False,0,False,expected_nonessential,True
EG10263,EG10263_RNA,0,False,0,False,expected_nonessential,True
EG10368,EG10368_RNA,0,False,0,False,expected_nonessential,True
G7836,G7836_RNA,0,False,0,False,expected_nonessential,True
EG12267,EG12267_RNA,0,False,0,False,expected_nonessential,True
EG11826,EG11826_RNA,0,False,0,False,expected_nonessential,True
G6503,G6503_RNA,0,False,0,False,expected_nonessential,True
EG50006,EG50006_RNA,0,False,0,False,expected_nonessential,True
EG50007,EG50007_RNA,0,False,0,False,expected_nonessential,True
G7288,G7288_RNA,0,False,0,False,expected_nonessential,True
EG12738,EG12738_RNA,0,False,0,False,expected_nonessential,True
EG10273,EG10273_RNA,0,False,0,False,expected_nonessential,True
EG10274,EG10274_RNA,0,False,1,True,expected_essential,False
EG11317,EG11317_RNA,0,False,1,True,expected_essential,False
EG12606,EG12606_RNA,0,False,0,False,expected_nonessential,True
EG11318,EG11318_RNA,1,True,1,True,expected_essential,True
EG10277,EG10277_RNA,0,False,1,True,expected_essential,False
EG11528,EG11528_RNA,0,False,1,True,expected_essential,False
EG11284,EG11284_RNA,0,False,1,True,expected_essential,False
EG10278,EG10278_RNA,0,False,0,False,expected_nonessential,True
EG10279,EG10279_RNA,0,False,0,False,expected_nonessential,True
EG11530,EG11530_RNA,0,False,0,False,expected_nonessential,True
G6105,G6105_RNA,0,False,0,False,expected_nonessential,True
G7213,G7213_RNA,0,False,0,False,expected_nonessential,True
G7212,G7212_RNA,0,False,0,False,expected_nonessential,True
EG12357,EG12357_RNA,0,False,0,False,expected_nonessential,True
EG10280,EG10280_RNA,0,False,0,False,expected_nonessential,True
G6244,G6244_RNA,0,False,0,False,expected_nonessential,True
EG11158,EG11158_RNA,0,False,0,False,expected_nonessential,True
EG10282,EG10282_RNA,0,False,1,True,expected_essential,False
G7129,G7129_RNA,0,False,0,False,expected_nonessential,True
EG10283,EG10283_RNA,0,False,0,False,expected_nonessential,True
EG10285,EG10285_RNA,0,False,0,False,expected_nonessential,True
EG11227,EG11227_RNA,0,False,0,False,expected_nonessential,True
EG11228,EG11228_RNA,0,False,0,False,expected_nonessential,True
EG11229,EG11229_RNA,0,False,0,False,expected_nonessential,True
EG11858,EG11858_RNA,0,False,0,False,expected_nonessential,True
EG11857,EG11857_RNA,0,False,0,False,expected_nonessential,True
EG11856,EG11856_RNA,0,False,0,False,expected_nonessential,True
G7961,G7961_RNA,0,False,0,False,expected_nonessential,True
EG12102,EG12102_RNA,0,False,0,False,expected_nonessential,True
EG10299,EG10299_RNA,0,False,0,False,expected_nonessential,True
EG11873,EG11873_RNA,0,False,0,False,expected_nonessential,True
EG10317,EG10317_RNA,0,False,0,False,expected_nonessential,True
G7865,G7865_RNA,0,False,0,False,expected_nonessential,True
G7716,G7716_RNA,0,False,0,False,expected_nonessential,True
EG11080,EG11080_RNA,0,False,1,True,expected_essential,False
G7039,G7039_RNA,0,False,0,False,expected_nonessential,True
EG11268,EG11268_RNA,0,False,0,False,expected_nonessential,True
EG10325,EG10325_RNA,0,False,0,False,expected_nonessential,True
EG11258,EG11258_RNA,0,False,0,False,expected_nonessential,True
EG10326,EG10326_RNA,0,False,1,True,expected_essential,False
EG11673,EG11673_RNA,0,False,1,True,expected_essential,False
EG10327,EG10327_RNA,0,False,1,True,expected_essential,False
EG10328,EG10328_RNA,0,False,1,True,expected_essential,False
EG11375,EG11375_RNA,0,False,1,True,expected_essential,False
EG11374,EG11374_RNA,0,False,0,False,expected_nonessential,True
G6862,G6862_RNA,0,False,0,False,expected_nonessential,True
EG50011,EG50011_RNA,0,False,0,False,expected_nonessential,True
G7195,G7195_RNA,0,False,0,False,expected_nonessential,True
EG10628,EG10628_RNA,0,False,0,False,expected_nonessential,True
G7237,G7237_RNA,0,False,0,False,expected_nonessential,True
EG10330,EG10330_RNA,0,False,0,False,expected_nonessential,True
EG10331,EG10331_RNA,0,False,0,False,expected_nonessential,True
EG10332,EG10332_RNA,0,False,0,False,expected_nonessential,True
EG10333,EG10333_RNA,0,False,0,False,expected_nonessential,True
EG10334,EG10334_RNA,0,False,0,False,expected_nonessential,True
G7723,G7723_RNA,0,False,0,False,expected_nonessential,True
G7724,G7724_RNA,0,False,0,False,expected_nonessential,True
G7726,G7726_RNA,0,False,0,False,expected_nonessential,True
EG50010,EG50010_RNA,0,False,0,False,expected_nonessential,True
G6208,G6208_RNA,0,False,0,False,expected_nonessential,True
EG10344,EG10344_RNA,0,False,0,False,expected_nonessential,True
EG10348,EG10348_RNA,0,False,0,False,expected_nonessential,True
EG10349,EG10349_RNA,0,False,0,False,expected_nonessential,True
EG10350,EG10350_RNA,0,False,0,False,expected_nonessential,True
EG10351,EG10351_RNA,0,False,0,False,expected_nonessential,True
