label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V20_G1,20,1,2528.0,2,0,-100.0,649,744,14.637904468412943,0,5
V20_G2,20,2,2801.0,0,0,0.0,369,735,99.1869918699187,0,8
V20_G3,20,3,2747.0,0,0,0.0,353,695,96.88385269121812,0,7
V20_G4,20,4,2604.0,0,1,100.0,334,981,193.7125748502994,0,8
V20_G5,20,5,2706.0,1,0,-100.0,511,753,47.35812133072407,0,5
V20_G6,20,6,3020.0,0,2,200.0,379,1130,198.15303430079157,0,10
V20_G7,20,7,3078.0,1,1,0.0,553,1067,92.94755877034359,0,10
V20_G8,20,8,2971.0,0,3,300.0,537,1130,110.42830540037242,0,9
