gene,media,project,generation_start,generation_end,launcher_command,config_path,script_path
EG10103,with_aa,gene_knockout_EG10103_with_aa,5,13,job/write_for_new_job.py,/user/home/il22158/work/vEcoli/job/generated_runs/launcher/20260831T191459Z/configs/gene_knockout_EG10103_with_aa.json,/user/home/il22158/work/vEcoli/job/generated_runs/launcher/20260831T191459Z/slurm/gene_knockout_EG10103_with_aa.sh
EG10103,acetate,gene_knockout_EG10103_acetate,6,14,job/write_for_new_job.py,/user/home/il22158/work/vEcoli/job/generated_runs/launcher/20260831T191459Z/configs/gene_knockout_EG10103_acetate.json,/user/home/il22158/work/vEcoli/job/generated_runs/launcher/20260831T191459Z/slurm/gene_knockout_EG10103_acetate.sh
EG10103,no_ox,gene_knockout_EG10103_no_ox,6,14,job/write_for_new_job.py,/user/home/il22158/work/vEcoli/job/generated_runs/launcher/20260831T191459Z/configs/gene_knockout_EG10103_no_ox.json,/user/home/il22158/work/vEcoli/job/generated_runs/launcher/20260831T191459Z/slurm/gene_knockout_EG10103_no_ox.sh
EG10103,succinate,gene_knockout_EG10103_succinate,13,20,job/write_for_new_job.py,/user/home/il22158/work/vEcoli/job/generated_runs/launcher/20260831T191459Z/configs/gene_knockout_EG10103_succinate.json,/user/home/il22158/work/vEcoli/job/generated_runs/launcher/20260831T191459Z/slurm/gene_knockout_EG10103_succinate.sh
EG10104,with_aa,gene_knockout_EG10104_with_aa,5,13,job/write_for_new_job.py,/user/home/il22158/work/vEcoli/job/generated_runs/launcher/20260831T191459Z/configs/gene_knockout_EG10104_with_aa.json,/user/home/il22158/work/vEcoli/job/generated_runs/launcher/20260831T191459Z/slurm/gene_knockout_EG10104_with_aa.sh
EG10104,acetate,gene_knockout_EG10104_acetate,6,14,job/write_for_new_job.py,/user/home/il22158/work/vEcoli/job/generated_runs/launcher/20260831T191459Z/configs/gene_knockout_EG10104_acetate.json,/user/home/il22158/work/vEcoli/job/generated_runs/launcher/20260831T191459Z/slurm/gene_knockout_EG10104_acetate.sh
EG10104,no_ox,gene_knockout_EG10104_no_ox,6,14,job/write_for_new_job.py,/user/home/il22158/work/vEcoli/job/generated_runs/launcher/20260831T191459Z/configs/gene_knockout_EG10104_no_ox.json,/user/home/il22158/work/vEcoli/job/generated_runs/launcher/20260831T191459Z/slurm/gene_knockout_EG10104_no_ox.sh
EG10104,succinate,gene_knockout_EG10104_succinate,13,20,job/write_for_new_job.py,/user/home/il22158/work/vEcoli/job/generated_runs/launcher/20260831T191459Z/configs/gene_knockout_EG10104_succinate.json,/user/home/il22158/work/vEcoli/job/generated_runs/launcher/20260831T191459Z/slurm/gene_knockout_EG10104_succinate.sh
EG10105,with_aa,gene_knockout_EG10105_with_aa,5,13,job/write_for_new_job.py,/user/home/il22158/work/vEcoli/job/generated_runs/launcher/20260831T191459Z/configs/gene_knockout_EG10105_with_aa.json,/user/home/il22158/work/vEcoli/job/generated_runs/launcher/20260831T191459Z/slurm/gene_knockout_EG10105_with_aa.sh
EG10105,acetate,gene_knockout_EG10105_acetate,6,14,job/write_for_new_job.py,/user/home/il22158/work/vEcoli/job/generated_runs/launcher/20260831T191459Z/configs/gene_knockout_EG10105_acetate.json,/user/home/il22158/work/vEcoli/job/generated_runs/launcher/20260831T191459Z/slurm/gene_knockout_EG10105_acetate.sh
