label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V1_G1,1,1,2520.0,0,1,100.0,87,252,189.6551724137931,52,0
V1_G2,1,2,2730.0,0,0,0.0,135,246,82.22222222222221,30,0
V1_G3,1,3,2970.0,0,1,100.0,130,192,47.69230769230769,40,1
V1_G4,1,4,2880.0,0,0,0.0,91,303,232.967032967033,51,0
V1_G5,1,5,3180.0,0,1,100.0,154,631,309.7402597402597,42,0
V1_G6,1,6,3120.0,0,1,100.0,325,572,76.0,21,4
V1_G7,1,7,3300.0,0,0,0.0,265,320,20.754716981132077,23,1
V1_G8,1,8,3200.0,0,0,0.0,145,325,124.13793103448276,26,0
