label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V1_G1,1,1,2520.0,2,2,0.0,251,579,130.67729083665338,0,2
V1_G2,1,2,2730.0,2,0,-100.0,293,519,77.13310580204778,0,0
V1_G3,1,3,2970.0,0,1,100.0,262,357,36.25954198473282,0,0
V1_G4,1,4,2880.0,0,0,0.0,164,406,147.5609756097561,0,0
V1_G5,1,5,3180.0,0,0,0.0,215,517,140.46511627906978,0,1
V1_G6,1,6,3120.0,0,0,0.0,245,298,21.63265306122449,0,0
V1_G7,1,7,3300.0,0,0,0.0,153,269,75.81699346405229,0,0
V1_G8,1,8,3200.0,0,0,0.0,139,356,156.11510791366908,0,1
