gene,trans→max_mrna,trans→mean_mrna,trans→max_prot,trans→mean_prot,transl→max_mrna,transl→mean_mrna,transl→max_prot,transl→mean_prot
EG10001,0.06380039729745235,0.42036774976649105,0.0,0.06296110420088352,0.0,0.035273105243752045,0.0,0.013074127902069854
EG10003,0.15098419865456192,0.6524865271902922,0.2321221339870423,0.23006021584551561,0.036984009156863396,7.771561172376096e-16,7.771561172376096e-16,7.771561172376096e-16
EG10004,0.041326465647937294,0.5487034710423409,0.0,0.0233010906801554,0.04858667664547478,7.771561172376096e-16,0.001594657805585431,7.771561172376096e-16
EG10011,0.0506639572735752,0.3975865969554935,0.1320888477344897,0.3251366253651802,0.013749596831102329,7.771561172376096e-16,7.771561172376096e-16,7.771561172376096e-16
EG10013,0.1815994575691522,0.29852514977194966,0.08466403584109106,0.16090344921322153,0.0,7.771561172376096e-16,7.771561172376096e-16,7.771561172376096e-16
EG10014,0.22866177709454094,0.4118330241770438,0.23368792574177455,0.0,0.0,0.00294942968516132,0.0,0.00869260215784795
EG10015,0.016948515031811162,0.35784802568187324,0.0,0.06759472461981408,0.0,7.771561172376096e-16,7.771561172376096e-16,7.771561172376096e-16
EG10016,0.5947772350225429,0.5360809485019418,0.4284440860029166,0.0966092226530808,0.12275299447904353,0.061979244536316536,0.03041982564186929,7.771561172376096e-16
EG10017,0.045397719487543675,0.3518598501622805,0.1170981238687947,0.04961467229594163,0.0010384844905695356,7.771561172376096e-16,0.014097917960161688,7.771561172376096e-16
EG10018,0.1771216699805538,0.3212831827376399,0.18026543565977615,0.202989437439832,0.0902078680915408,7.771561172376096e-16,0.0,7.771561172376096e-16
EG10026,0.0,0.0,0.0,7.771561172376096e-16,0.19058816612448704,0.19058816612448704,0.22413685506541636,7.771561172376096e-16
EG10028,0.026954050891363046,0.20803048255608791,0.12230113941533549,0.17716379520662073,0.0,7.771561172376096e-16,7.771561172376096e-16,7.771561172376096e-16
EG10030,0.24243568096588897,0.1955043380578596,0.0,0.08467890373391551,0.0,0.10400282485244627,0.0,0.0
EG10031,0.10139452014977968,0.4724984446959286,0.09397080619337661,0.0,0.04363194029023898,0.10266721596484407,0.09552321489609872,0.0
EG10032,0.16880796205809823,0.2201472239371285,0.0673383117977604,0.12753998679849943,0.010537787362435491,0.02185153170378662,0.08053752590958307,0.07084960324035894
EG10033,0.0860752359427881,0.27598469605867093,0.2603195779668548,0.18207236546986927,0.09382645252046196,7.771561172376096e-16,0.07448747447775528,7.771561172376096e-16
EG10034,0.5135669636854114,0.34758412994854293,0.3522633699568116,0.1297720071767996,0.6064052159364337,0.058682316299230486,0.3492971992838676,0.16436245067294308
EG10035,0.009497046866378867,0.36738154255412514,0.1693362705210979,0.05281513271608551,0.05710114602250127,7.771561172376096e-16,0.018084159576950753,7.771561172376096e-16
EG10039,0.37971570910230623,0.49780682288982514,0.13267460288386168,0.10843036328723032,0.0,0.2635474973324934,0.14040383720139538,0.046763377979895715
EG10040,0.12082270784494265,0.34916898422164566,0.037775045693201115,0.25914856489388827,0.0,7.771561172376096e-16,7.771561172376096e-16,7.771561172376096e-16
EG10043,0.2085780365869887,0.5093085272317279,0.15419857292613592,0.1491077099940772,0.0,7.771561172376096e-16,7.771561172376096e-16,7.771561172376096e-16
EG10044,0.05585710396024579,0.23375407697988582,0.12166089920607837,0.05969957634439016,0.0,7.771561172376096e-16,7.771561172376096e-16,7.771561172376096e-16
EG10046,0.34997713260345575,0.45253822408608935,0.28912798415048924,0.16932355586791292,0.0,0.0,0.0973734237164332,0.0
EG10050,0.0,0.0,0.0,0.04393939393939417,0.022033285329584817,0.022033285329584817,0.022033285329584817,7.771561172376096e-16
EG10051,0.13415204043312157,0.3047238712701579,0.11187332642140602,0.0,0.0,0.09597421751299429,0.07558648099051846,0.16009778925763163
EG10054,0.0,0.21239732518668752,0.05696628813582105,0.0,0.11108056565878988,7.771561172376096e-16,0.0,7.771561172376096e-16
EG10071,0.0069571182135033105,0.5373599884985512,0.21248025781784996,0.24122774877077058,0.0,0.03443025264580868,0.04926702695955898,0.0
EG10084,0.10965236652887045,0.3998798157371075,0.07449580231247754,0.33062176818943234,0.06967886802401635,0.0,0.0,0.0012528373665081638
EG10085,0.0,0.0,0.007407407407405753,0.007407407407405753,0.087637974526936,0.087637974526936,7.771561172376096e-16,7.771561172376096e-16
EG10107,0.6304391700000644,1.0962659749371515,0.29545794115128965,0.5844319466994996,0.0,7.771561172376096e-16,7.771561172376096e-16,7.771561172376096e-16
EG10108,0.17895898649416653,0.30360016622051456,0.010074102488387693,0.05998130048219785,0.0,7.771561172376096e-16,7.771561172376096e-16,7.771561172376096e-16
EG10112,0.06421774652783219,0.13682564208301295,0.12550683866542967,0.0,0.03149886874624874,0.0,0.035179949855293824,0.0
EG10122,0.12306094329848127,0.1751532900271897,0.25219877290214354,0.20971106847876664,0.0,7.771561172376096e-16,7.771561172376096e-16,7.771561172376096e-16
EG10124,0.14993596078134752,0.31383880410742426,0.1656214687433213,0.019399940871969168,0.05012381488236062,7.771561172376096e-16,7.771561172376096e-16,7.771561172376096e-16
EG10129,0.1303083335242694,0.270340107300413,0.0,0.13566725368708132,0.0,0.0,0.0,0.027389118570740223
EG10138,0.27512520491772996,0.3838457812577709,0.0,0.0953162659842306,0.05939197006581276,0.15830983976298363,0.0,0.1054480985995645
EG10160,0.03848022032585119,0.6356130104062654,0.17358628261334452,0.14676023386713677,0.06661680907806411,7.771561172376096e-16,7.771561172376096e-16,7.771561172376096e-16
EG10167,0.022281930797575455,0.4901019022925457,0.0,0.030524648836709023,0.0,7.771561172376096e-16,7.771561172376096e-16,7.771561172376096e-16
EG10170,0.08333486842803062,0.26812184135203276,0.17530977085331467,0.05465973701157356,0.14467622367344557,0.026063489520779193,0.1371494793565713,0.3440931484639136
EG10172,0.19824234027128318,0.0968294699609542,0.13461515890227949,0.06257847974068476,0.0,7.771561172376096e-16,7.771561172376096e-16,7.771561172376096e-16
