,EG10001_max_mrna,EG10003_max_mrna,EG10004_max_mrna,EG10011_max_mrna,EG10013_max_mrna,EG10014_max_mrna,EG10015_max_mrna,EG10016_max_mrna,EG10017_max_mrna,EG10018_max_mrna,EG10026_max_mrna,EG10028_max_mrna,EG10030_max_mrna,EG10031_max_mrna,EG10032_max_mrna,EG10033_max_mrna,EG10034_max_mrna,EG10035_max_mrna,EG10039_max_mrna,EG10040_max_mrna,EG10043_max_mrna,EG10044_max_mrna,EG10046_max_mrna,EG10050_max_mrna,EG10051_max_mrna,EG10054_max_mrna,EG10071_max_mrna,EG10084_max_mrna,EG10085_max_mrna,EG10107_max_mrna,EG10108_max_mrna,EG10112_max_mrna,EG10122_max_mrna,EG10124_max_mrna,EG10129_max_mrna,EG10138_max_mrna,EG10160_max_mrna,EG10167_max_mrna,EG10170_max_mrna,EG10172_max_mrna,EG10001_mean_mrna,EG10003_mean_mrna,EG10004_mean_mrna,EG10011_mean_mrna,EG10013_mean_mrna,EG10014_mean_mrna,EG10015_mean_mrna,EG10016_mean_mrna,EG10017_mean_mrna,EG10018_mean_mrna,EG10026_mean_mrna,EG10028_mean_mrna,EG10030_mean_mrna,EG10031_mean_mrna,EG10032_mean_mrna,EG10033_mean_mrna,EG10034_mean_mrna,EG10035_mean_mrna,EG10039_mean_mrna,EG10040_mean_mrna,EG10043_mean_mrna,EG10044_mean_mrna,EG10046_mean_mrna,EG10050_mean_mrna,EG10051_mean_mrna,EG10054_mean_mrna,EG10071_mean_mrna,EG10084_mean_mrna,EG10085_mean_mrna,EG10107_mean_mrna,EG10108_mean_mrna,EG10112_mean_mrna,EG10122_mean_mrna,EG10124_mean_mrna,EG10129_mean_mrna,EG10138_mean_mrna,EG10160_mean_mrna,EG10167_mean_mrna,EG10170_mean_mrna,EG10172_mean_mrna,EG10001_max_prot,EG10003_max_prot,EG10004_max_prot,EG10011_max_prot,EG10013_max_prot,EG10014_max_prot,EG10015_max_prot,EG10016_max_prot,EG10017_max_prot,EG10018_max_prot,EG10026_max_prot,EG10028_max_prot,EG10030_max_prot,EG10031_max_prot,EG10032_max_prot,EG10033_max_prot,EG10034_max_prot,EG10035_max_prot,EG10039_max_prot,EG10040_max_prot,EG10043_max_prot,EG10044_max_prot,EG10046_max_prot,EG10050_max_prot,EG10051_max_prot,EG10054_max_prot,EG10071_max_prot,EG10084_max_prot,EG10085_max_prot,EG10107_max_prot,EG10108_max_prot,EG10112_max_prot,EG10122_max_prot,EG10124_max_prot,EG10129_max_prot,EG10138_max_prot,EG10160_max_prot,EG10167_max_prot,EG10170_max_prot,EG10172_max_prot,EG10001_mean_prot,EG10003_mean_prot,EG10004_mean_prot,EG10011_mean_prot,EG10013_mean_prot,EG10014_mean_prot,EG10015_mean_prot,EG10016_mean_prot,EG10017_mean_prot,EG10018_mean_prot,EG10026_mean_prot,EG10028_mean_prot,EG10030_mean_prot,EG10031_mean_prot,EG10032_mean_prot,EG10033_mean_prot,EG10034_mean_prot,EG10035_mean_prot,EG10039_mean_prot,EG10040_mean_prot,EG10043_mean_prot,EG10044_mean_prot,EG10046_mean_prot,EG10050_mean_prot,EG10051_mean_prot,EG10054_mean_prot,EG10071_mean_prot,EG10084_mean_prot,EG10085_mean_prot,EG10107_mean_prot,EG10108_mean_prot,EG10112_mean_prot,EG10122_mean_prot,EG10124_mean_prot,EG10129_mean_prot,EG10138_mean_prot,EG10160_mean_prot,EG10167_mean_prot,EG10170_mean_prot,EG10172_mean_prot
EG10001_trans,0.03565192967907457,0.0,0.06881516036576753,0.0,0.0,0.0,0.0,0.08551343789019719,0.06978802141394387,0.23175220766265656,,0.0,0.0,0.0,0.025835652193529877,0.0,0.0614209792726048,0.01486431649712935,0.0,0.014295810638019423,0.051863698012131886,0.04271715911251177,0.0,0.009961544877047921,0.0001510808735457026,0.0,0.0,0.03011722904825325,0.010690438404634605,0.0024139158641721227,0.0025869721843862236,0.0,0.0016849733454207645,0.0,0.0,0.0400529223910109,0.0,0.04125328017166538,0.03697833801354719,0.0,0.18305514862476907,0.0,0.04364494798904196,0.0,0.0,0.0,0.012815155825842557,0.003398713686875674,0.09897589694867197,0.0,,0.056560190470147396,0.027709488037119652,0.0,0.03500097835812042,0.0,0.04540420759461538,0.07115419775799728,0.017358609612146646,0.03571471338493505,0.009227942144209893,0.0,0.0,0.00628279600870402,0.014309895617981872,0.0,0.00484569976113521,0.0,0.010690438404634605,0.08262749967451068,0.052101347093873776,0.0343926833826973,0.001680866981976668,0.0,0.024216687305952122,0.08699542989100041,0.0,0.0,0.0,0.009537720421238193,0.0,0.0,0.05815392245631632,0.007447182294374266,0.047031584035699216,0.011054585284305179,0.0,0.056449361739337914,0.06366616834144498,0.1180243905973429,0.1351531182626222,0.0,0.006402041007353078,0.0,0.0249908195524137,0.05691753514109062,0.1534856627381562,0.04773393772553041,0.07476167007905528,0.0,0.012859320490310215,0.0,0.0,0.00628279600870402,0.007747161550174781,0.18044951029037404,0.022944040875332684,0.0,0.0,0.0,0.029290453740721725,0.0,0.03719218669599268,0.01749527425513171,0.0,0.0,0.0,0.0025452525629525136,0.028666716935975445,0.019948254610308386,0.027417313277420766,0.013175709958922602,0.0,0.0,0.07392273672506054,0.0027189209259984755,0.0,0.0,0.0,0.01284049141737195,0.0,0.0,0.04147441270663984,0.0089187752957956,0.0,0.0,0.031047223934278827,0.0,0.0,0.0,0.012102074617063125,0.002437453665725214,0.06261944473927189,0.05915316331782109,0.004915083038504911,0.0,0.0,0.0,0.0,0.057346474592522484,0.01717638042450834,0.0,0.013895618096878075,0.0,0.0,0.05699724135178651,0.016093889260988578,0.0,0.0,0.03490081745789187
EG10003_trans,0.0,0.09381175719056765,0.0,0.012230840122763185,0.006682532293824722,0.0,0.05602248208605577,0.0,0.0,0.18725936816952138,,0.0,0.0,0.058941404243718326,0.06289531977075372,0.011506707154248941,0.004836881932507714,0.0,0.0,0.01747491063281386,0.1178631678425254,0.0,0.0,0.06933326548603747,0.0,0.0,0.0,0.0,0.07268272119770497,0.0,0.09410915475937214,0.06027941124693915,0.0,0.031578097413893565,0.0,0.07458769002017264,0.0,0.021144958004820084,0.0038575188760588547,0.0,0.0013472156711796873,0.2841345899556432,0.034948097098825556,0.011436229458507334,0.0,0.031003678500537105,0.02930563549377187,0.0,0.0,0.0,,0.0,0.005331902425330207,0.004537283882080396,0.015234677358803331,0.0,0.016924335045064045,0.0,0.01556269193468512,0.0,0.023095419012469212,0.0,0.0,0.04372883614365479,0.0,0.007812114906408593,0.0,0.0,0.07268272119770497,0.0440791210685809,0.0,0.028890146182284675,0.0,0.0,0.021152081424799622,0.009626570672141203,0.0,0.0,0.01532261273205088,0.0,0.0,0.10108090299434218,0.0,0.0,0.0018767989231824355,0.0,0.0,0.029980161503634545,0.007496446601485448,0.03217012100110556,0.06114404664689013,0.0,0.0033458852670076606,0.0,0.05572732993516589,0.043611201923835295,0.1080687742154526,0.0,0.07361266881335635,0.04868511365618045,0.0,0.0,0.0,0.04372883614365479,0.003321809734498972,0.018830891866206224,0.044267259551986356,0.0,0.0,0.04710750083009045,0.047074373552753866,0.008933367642009653,0.03474390227272476,0.014780296386558808,0.020857347613351382,0.03430441430916314,0.006133219928902168,0.010293233171798689,0.0,0.0,0.0,0.10018301125060365,0.0,0.0,0.0027608663958646074,0.0,0.0,0.0,0.022805265715639664,0.0,0.028933159140877702,0.005992817606026035,0.0,0.0,0.0,0.0,0.0,0.035410485951467854,0.0035786428651173184,0.0,0.041433145141782535,0.0,0.0,0.0624384309043715,0.0,0.04344779355505855,0.01677833948637136,0.0,0.0,0.016359535938780673,0.009993804371984985,0.0,0.0,0.0,0.020337346229074665,0.031297354495722206,0.015037836852067395,0.04479740075216591,0.06883309885485489,0.0
EG10004_trans,0.006911213382826455,0.10571713471696437,0.021269782831494034,0.020117513559231703,0.07901939940266144,0.0,0.0,0.017361257705346567,0.10974978879779654,0.12099168411156755,,0.20253859400816507,0.06668189779426416,0.07704938451230382,0.0,0.030750092615458965,0.0012942642336044243,0.0,0.0,0.010332711567543963,0.039302615938268816,0.0,0.0,0.006334503479430373,0.0,0.0,0.0,0.016351741295043652,0.006894579130165369,0.03166995581971516,0.0,0.006388591191445272,0.06376443719945132,0.0,0.04970343680920389,0.12080069572758374,0.0,0.030512323682749525,0.0020873412284801375,0.0,0.0,0.0343016310430258,0.238940773878056,0.03744520432955692,0.029687712825959764,0.0,0.0,0.012040255103736486,0.07548580380596269,0.03495835057185692,,0.04866438355721883,0.0,0.0,0.034803726270297944,0.026311229046066757,0.08188610088537103,0.07122711137956199,0.012733452599310267,0.03065863855557093,0.04650052395283305,0.0,0.0,0.003995202919718315,0.004186140562790151,0.0351616015709978,0.0,0.0,0.006894579130165369,0.02336383114199041,0.0,0.008545428692911899,0.0,0.018425020055392594,0.009896333020866212,0.008667328035052168,0.0,0.0,0.06634820161928208,0.0030152661663417984,0.0409641119653859,0.0,0.0,0.0,0.003994505288775894,0.0,0.007946207865200769,0.0,0.0027740406232901805,0.04901018785429464,0.0,0.0039009301142624367,0.04938367177917674,0.031055469345093793,0.025954774101873884,0.06468417589002963,0.10269924215800522,0.05135151587158283,0.08231903984065084,0.0,0.0,0.007597955496918752,0.004587278813854155,0.003995202919718315,0.0,0.037869395750400645,0.05828811817199087,0.0,0.027731419483017286,0.02061509569341023,0.02880831313148431,0.02809168279634491,0.0,0.0,0.01648493505467279,0.0,0.0,0.0311189009071453,0.023538655457867368,0.0,0.012420553611683692,0.0,0.010146793182741623,0.033958425695205845,0.0,0.017359561387667206,0.0,0.0,0.003927966110501933,0.0,0.0,0.043630772465435924,0.025902079058634713,0.014772284293678446,0.020542345244654852,0.04421091575561013,0.009456811516167157,0.0,0.020798587373649004,0.0,0.051341561517276084,0.0,0.032141815296220545,0.00871958586798447,0.0,0.005677536115907742,0.0,0.0,0.0,0.03420700724483968,0.0,0.0,0.021794607713779085,0.0,0.0,0.0,0.006708854246791529,0.0,0.0,0.0
EG10011_trans,0.0,0.0,0.0,0.02831123188089095,0.0911487801296135,0.0,0.059128482709430455,0.029601530403526515,0.013479940736797487,0.12322210370970325,,0.027870278119828305,0.0,0.012233481387965725,0.01294757583711192,0.026315106778574928,0.0,0.0,0.0,0.015965854699310472,0.03750079996797848,0.0,0.0,0.0,0.0,0.0,0.011431433112565925,0.0,0.0,0.0059913082575295375,0.013453359985186457,0.016434740331099526,0.07062156955571912,0.0008839770866033967,0.0,0.04709178873307497,0.10924989987718436,0.0,0.015925493772621112,0.04476047206622167,0.0,0.0,0.0,0.17313476982316683,0.0,0.0,0.028523898248991094,0.0,0.053044671210107884,0.016967708035212675,,0.0,0.0,0.013959444783276808,0.032080396067004774,0.0,0.06374463226860813,0.0,0.0,0.0,0.07859475480313614,0.003816833517209155,0.0,0.0,0.10059755286734608,0.0,0.00036489986493589257,0.0,0.0,0.07286195484026114,0.032556724185466505,0.0,0.0,0.027201448717195893,0.03225259822473781,0.06542928146377233,0.0,0.0,0.12599803372816004,0.0,0.0,0.0,0.006167838540548778,0.05751997784592879,0.028604385348357457,0.0,0.0,0.0,0.025244008098267955,0.02668161465380201,0.0,0.0,0.0,0.0,2.498924104930595e-05,0.07016200879499661,0.08810085082758874,0.08460122780144837,0.022858526915626183,0.0,0.0,0.04132439649746887,0.0,0.0,0.0,0.0,0.018762409049300405,0.03389224497212825,0.0,0.0,0.014445050442986067,0.02430251106199126,0.022552462673499165,0.0,0.0,0.026455848537245367,0.0,0.027370902918890827,0.003801137257637085,0.0,0.03207595492203979,0.0,0.0,0.14158539353373414,0.0,0.0,0.027478875046151152,0.0194215899038485,0.017428143838659736,0.0,0.0,0.025372546339214232,0.0,0.0003519676112643009,0.0,0.0,0.02408689890261805,0.0,0.0005209078204859644,0.04671474249555944,0.060899009569898715,0.0,0.007718019889783855,0.0,0.0037464134082767007,0.0,0.03380277943421291,0.042122203415945206,0.0,0.005761834706992642,0.0,0.0,0.010225697135147857,0.0,0.0,0.10198519197140084,0.0,0.0,0.0,0.008258889029405107
EG10013_trans,0.03788345991474242,0.06602462217833606,0.0,0.07287359460805531,0.11283408708479017,0.0,0.0,0.0,0.0,0.12234768002719507,,0.0,0.03830928067671182,0.0,0.0,0.021401026030160687,0.0029786568176839697,0.0,0.0,0.05193561232010007,0.0,0.002796721573189527,0.0,0.009961544877047921,0.0,0.0,0.0,0.020636819080026764,0.0,0.11124834829238771,0.0,0.08098018605120134,0.03127673030948827,0.0,0.1051141518200947,0.12462250976600249,0.0017357402353473496,0.0,0.12398551400584688,0.0,0.018294766955497335,0.0,0.012623847825288054,0.0,0.12999704589633998,0.0,0.02200634225104966,0.0,0.09438508303916514,0.06352261778324636,,0.0,0.04888121410466549,0.0,0.0,0.0,0.09336624091466823,0.03062423625285865,0.0,0.0,0.0,0.0,0.0,0.00628279600870402,0.022418358483302377,0.041353387599837525,0.0,0.02751993650593077,0.0,0.07373421236190243,0.020860438662470143,0.0,0.02072763066025532,0.0,0.06949229163340793,0.03175503822108855,0.023875434917095907,0.02789737367299027,0.07708591745897336,0.0,0.001140199208696109,0.0,0.10131920180559388,0.0,0.03686816524976701,0.0,0.0,0.0,0.04504947645782344,0.11756478581605963,0.03674347483444135,0.0,0.012612843516584253,0.0,0.0742877233150169,0.01739099684549361,0.11035366769206602,0.017993926094571233,0.03596528693932657,0.0,0.013861104545340125,0.0,0.0,0.00628279600870402,0.0,0.052217844899476444,0.009169462032929924,0.009923195895726626,0.0034461261671696196,0.0,0.0869583460703462,0.0,0.016157205819577268,0.0,0.0,0.0,0.05806398943842786,0.0,0.0,0.0,0.0,0.0,0.049223467161841394,0.0,0.07006770815869126,0.0,0.005401786857093325,0.0,0.09603072822204033,0.017603069661096878,0.023443769227508068,0.0,0.02667105257243044,0.0,0.004250967035522914,0.014725165034988842,0.025583608294730276,0.0,0.0359561654328801,0.014314788795266603,0.0,0.003322240037306101,0.0,0.015948401716715584,0.0,0.0,0.0691197402298156,0.040660477253325826,0.0,0.0,0.05392040394333975,0.0,0.060964145573653546,0.06961254324659936,0.00041244700841696795,0.0,0.0,0.050988779301955646,0.06010182206794721,0.0
EG10014_trans,0.040505245017813135,0.08293958338330806,0.02631850049197241,0.045401460389714786,0.04833317665644785,0.20813691914165325,0.011828495792714647,0.0,0.012092650685313682,0.02194009106780211,,0.0814588103881059,0.0,0.0,0.0,0.06332519518666083,0.0,0.0,0.0,0.0,0.04283649443643313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021750023440099044,0.0,0.0,0.0,0.031374691031326916,0.0,0.001160527271607751,0.0037418776319013054,0.014421030718360412,0.0,0.0,0.06214164364641412,0.040135186560466184,0.012895031855552281,0.03508139121086186,0.0031572541415799136,0.17933858030544453,0.06195839761080728,0.0,0.017747648490437508,0.0668668682828338,,0.013040920759502308,0.0,0.03263005033962395,0.0,0.01890422831924645,0.0,0.03335578405042359,0.0,0.0,0.015793042349329715,0.005727957073326244,0.0809826207566545,0.0,0.0,0.0,0.048454459139978805,0.0,0.0,0.037605937734564505,0.0,0.07018236413180878,0.0,0.07450225548973655,0.012531519211145498,0.0534833592517795,0.004796874511592964,0.0,0.007905437050281398,0.04491510478394604,0.0,0.005063280000760691,0.029235689887619345,0.0,0.0,0.10176274940748202,0.0,0.02880649292259558,0.0,0.0,0.0,0.0,0.0,0.0,0.060026215693822015,0.06749321823448247,0.04118685704406643,0.04063133436225314,0.0,0.0,0.02154801586317154,0.0,0.0,0.0,0.0,0.0,0.025322414173324845,0.0,0.0061619425245470795,0.0,0.0,0.0,0.0,0.023413600649359566,0.0,0.060472860695499696,0.0029909341776323383,0.0,0.0,0.0,0.008700530678377477,0.00316076241190585,0.0112509942445548,0.028843061792509835,0.0,0.0,0.0,0.0,0.0,0.0,0.006194206259379872,0.06576523202718734,0.00742192373937762,0.09135911682786511,0.031048997700028426,0.0,0.05321153879585958,0.0,0.009493619458015612,0.008539766632589131,0.09812807052962655,0.0,0.0,0.05115840949308988,0.01098269676434494,0.0,0.0,0.0,0.06361479563331536,0.0,0.0,0.0,0.0,0.0891273072220808,0.0,0.06110834754983449,0.00021475694052986,0.0,0.02247372508210863,0.029397601245055482
EG10015_trans,0.0,0.0,0.0,0.03470725960117319,0.0,0.0,0.009470901305860653,0.0,0.011172128495503702,0.13788554552800708,,0.06282940943718149,0.002731534496288333,0.0,0.0,0.0,0.10477348989705815,0.009932989357938666,0.0,0.05587437307426154,0.029982926655048262,0.059139174216709674,0.0,0.05272329849559275,0.0,0.0,0.0,0.0,0.02138087680927049,0.0,0.034565208287335086,0.0,0.0,0.006575018628662076,0.0,0.030138047837913653,0.0,0.0,0.02066251870065044,0.0,0.013388446691708807,0.07441116055758912,0.022132742067755364,0.06271656703806815,0.03749333617847071,0.0,0.15583004063147848,0.011239709498689833,0.019676174286219754,0.02789579336532811,,0.09017163405660081,0.0078228192748961,0.0,0.0,0.0,0.02919759748208464,0.0,0.0,0.0,0.078355469382694,0.0,0.04737684022373633,0.03325284716801736,0.0,0.0,0.0,0.0,0.02138087680927049,0.060002027972823994,0.0,0.0,0.0,0.000690410985098139,0.08595641869347177,0.02898677042637452,0.0,0.026976892260905,0.002309787908477853,0.0,0.0686727437912495,0.00735463042733199,0.020016300142216188,0.0,0.0,0.0,0.0,0.0,0.028577338260685165,0.015718373090091976,0.0036489748869793443,0.0,0.019401873092976803,0.05535258194751672,0.04143022251120883,0.1279754266830202,0.13009996610314564,0.01073609306277755,0.18190323633118943,0.0,0.0,0.004110455161263923,0.0,0.036182277758217966,0.02335736448438213,0.06122735369163807,0.07155426232122047,0.0,0.0,0.0,0.013801446003513239,0.002837199746951943,0.0,0.0,0.02945334222174421,0.009805080020942903,0.0,0.00882631021626964,0.05352360489168454,0.02850106006074938,0.0,0.0,0.002892339414838166,0.0,0.02193170610034809,0.10174169292297316,0.02943508955766412,0.0,0.033011749335595954,0.0,0.0028979894254321354,0.01160463555350282,0.0,0.0068005043945293785,0.003524761665710223,0.005082447991964557,0.07039076340676771,0.0,0.0,0.0,0.0031269016529661964,0.0,0.07488776691327549,0.01446875387544665,0.0,0.0,0.0,0.0,0.0,0.0,0.04057653689051015,0.0,0.0,0.016321728608383584,0.10013508410546271,0.0,0.025781333773893616,0.0,0.0,0.0
EG10016_trans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5413895704221682,0.0,0.0,,0.0,0.0,0.0,0.0,0.018323514735242158,0.0,0.0,0.0,0.0,0.025469250890383092,0.0,0.0,0.05580260341469206,0.02399005096550768,0.0,0.0,0.0,0.020658878618437546,0.04668024675060066,0.0,0.0,0.0,0.04969037484780655,0.0,0.0,0.043010609289584424,0.0,0.022102360835167312,0.0,0.0,0.08397083334041212,0.04171775257140421,0.0,0.0,0.023355807628818573,0.058667621730424044,0.2334441159138431,0.049220588161072054,0.009902413032050902,,0.08948350077168604,0.0,0.010400531397274728,0.03905678068524164,0.037457800957951266,0.0,0.0,0.0,0.0,0.039913496089704785,0.007288456561912378,0.0,0.03519498012973053,0.0,0.03231954981582107,0.0,0.04339604403495099,0.020658878618437546,0.058140587428557745,0.045696058857646306,0.0,0.0,0.0,0.0,0.0,0.012475976956773922,0.018470408686201503,0.0,0.0,0.0,0.0,0.00961703402117617,0.0,0.0,0.0820918408394009,0.031843572330939936,0.26620727813907485,0.0,0.008644148792563753,0.0,0.03829220676544942,0.0,0.0,0.0,0.0,0.043897493889640385,0.0,0.009420501367706417,0.03377257587750653,0.0,0.013329530261069663,0.0,0.03519498012973053,0.0,0.0,0.04964370769915686,0.0,0.05209176528632393,0.0,0.044075403366800416,0.0,0.004146349513045366,0.03401971917995565,0.0,0.009933735500267472,0.028326183568019126,0.03591204528204369,0.007171251132238397,0.0,0.03248107762701885,0.04368072399095999,0.017543765971062195,0.0,0.017607905669816546,0.03767748005430722,0.0,0.04206986768396673,0.0,0.01411249742181342,0.03328145822930558,0.03974142790788116,0.045611009382102864,0.06136346100905248,0.0,0.0,0.02461478202901717,0.046462758537773256,0.06468918074052764,0.020980838051267697,0.07480943121675014,0.051427616326440696,0.04516651161299066,0.006148637666891451,0.0,0.0,0.019441925770267945,0.0190086988534494,0.0,0.08719162108627532,0.0,0.0,0.0001509058820718518,0.0,0.0,0.0,0.0,0.030149106676106208,0.0,0.0
EG10017_trans,0.0,0.0,0.06647330231351477,0.028202056671867697,0.05404611710483701,0.002008094173391395,0.0,0.0,0.023365163688836628,0.15110024012207554,,0.01746637926181155,0.07510293362953074,0.020754185906964335,0.01099257846155308,0.0,0.08003243413165867,0.0,0.008918914559026561,0.0,0.0,0.09379622929437101,0.0,0.031342421686320336,0.0,0.0,8.799168746210142e-05,0.031888862520466424,0.010690438404633964,0.05951830203502555,0.0,0.08855375098171246,0.0,0.0,0.0,0.0,0.0,0.0,0.014586599664469225,0.06938583507720666,0.0,0.0,0.014769722391785992,0.0,0.0014411708390689752,0.0,0.0,0.0,0.15322240396016115,0.017720332854339306,,0.0,0.0,0.0,0.03978069077474507,0.0,0.05491776084759497,0.0,0.014116764961485277,0.0,0.0457554039254018,0.07304659065963383,0.03491029602339389,0.019767821588360688,0.0,0.010049879226660743,0.0005357077843881583,0.0,0.010690438404633964,0.08974676863784198,0.0,9.672364168500677e-05,0.010709813517606743,0.009870322634232681,0.06609713320731131,0.006232427694743862,0.013767216998562823,0.0,0.0,0.0,0.06014522178662148,0.01918731392470779,0.0,0.0,0.061309577981018215,0.0,0.004309212727764343,0.0,0.060267715267080094,0.03882921218485951,0.01595310583654237,0.0,0.059331907410046875,0.055829062074793545,0.020917207378485677,0.06103976099316009,0.1533740734033823,0.011561762921733323,0.016914338038591735,0.0,0.0,0.008275906618802486,0.0,0.019767821588360688,0.03973976359660001,0.07610740681026924,0.0,0.07904139262959892,0.00012545664391483354,0.0,0.03285301599506271,0.08335330042320979,0.0,0.0,0.013982342568435733,0.0,0.0,0.0,0.0,0.03411820427903097,0.0,0.0005768773160995163,0.007375963951411998,0.01833841635786613,0.014212103347512812,0.020132366726080392,0.044975668685886906,0.0,0.02160541862725641,0.0,0.006973218937696107,0.0,0.0,0.0,0.0,0.0,0.013535588525195383,0.0,0.0,0.0,0.028293125302459404,0.032981224601259324,0.020840502909119884,0.0,0.011924181566335876,0.013270856672011116,0.0,0.0,0.0350224471816268,0.030466080758646465,0.0,0.06229139478848224,0.0,0.020754826744715765,0.009001280276808885,0.051585973603206305,0.0,0.0,0.03925827544756816,0.0
EG10018_trans,0.0,0.0,0.08235107075363873,0.09776188663450293,0.0,0.0,0.0,0.0,0.030046605373201835,0.12783360896587326,,0.0,0.0,0.0,0.04023448958312945,0.0,0.13311156275274272,0.04107469839544146,0.02268677465865128,0.016088415678302114,0.009494427546284934,0.07234943400451557,0.0,0.0,0.06551755811519494,0.0,0.0,0.0,0.0,0.0,0.05147608235637823,0.0,0.004844195486598804,0.0,0.008318089947055136,0.020878079266867355,0.0,0.0,0.03784548589652382,0.1064749618993657,0.0,7.710579320472174e-05,0.08233713055761839,0.033251702381660024,0.0,0.0,0.094543083102131,0.0,0.03679057746341195,0.1399073568306492,,0.045065529152675844,0.0071060742599168315,0.08065408393363044,0.02698841595571787,0.010464286830311042,0.018721006903547287,0.0,0.0681395472994699,0.0,0.0,0.0,0.0,0.0,0.0656922847754755,0.019839384212365245,0.0308227001635472,0.0038672233037131626,0.0,0.07173823848373102,0.12077214840507129,0.0,0.0026416856218060883,0.018076591215373538,0.04052389149583743,0.11998816495624821,0.014588248923291209,0.010483342612626227,0.0701445835099779,0.0,0.0,0.0,0.0,0.044604190786720996,0.0,0.0,0.03522398200308452,0.0,0.0,0.13010255162298667,0.0,0.01706995067005545,0.007608418042156058,0.0,0.0,0.05372236052751641,0.14515437364871914,0.037053549575372026,0.0,0.0,0.0,0.06045186783381559,0.0,0.0,0.021420829468835906,0.0,0.12686630686856323,0.0,0.0,0.013291007534954501,0.0,0.02564643133467958,0.0,0.0,0.0,0.053972480874946445,0.0,0.07543245381738083,0.0746041624367898,0.03857110883168058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02838488583714921,0.02709614282505495,0.0883946536346988,0.015243881601512911,0.07779060859317881,3.4441835974172866e-05,0.0,0.0,0.0046929196644616014,0.0,0.016339528711895503,0.0,0.00022407295766503556,0.0033034433651314356,0.00902281524455812,0.0,0.0,0.0,0.0005413803941448908,0.0,0.03937792785442542,0.0,0.0,0.0,0.0,0.0,0.0,0.01033794106049156,0.02141376924378222,0.0,0.014021013462460348,0.0,0.0
