,EG10001_trans,EG10003_trans,EG10004_trans,EG10011_trans,EG10013_trans,EG10014_trans,EG10015_trans,EG10016_trans,EG10017_trans,EG10018_trans,EG10026_trans,EG10028_trans,EG10030_trans,EG10031_trans,EG10032_trans,EG10033_trans,EG10034_trans,EG10035_trans,EG10039_trans,EG10040_trans,EG10043_trans,EG10044_trans,EG10046_trans,EG10050_trans,EG10051_trans,EG10054_trans,EG10071_trans,EG10084_trans,EG10085_trans,EG10107_trans,EG10108_trans,EG10112_trans,EG10122_trans,EG10124_trans,EG10129_trans,EG10138_trans,EG10160_trans,EG10167_trans,EG10170_trans,EG10172_trans,EG10001_transl,EG10003_transl,EG10004_transl,EG10011_transl,EG10013_transl,EG10014_transl,EG10015_transl,EG10016_transl,EG10017_transl,EG10018_transl,EG10026_transl,EG10028_transl,EG10030_transl,EG10031_transl,EG10032_transl,EG10033_transl,EG10034_transl,EG10035_transl,EG10039_transl,EG10040_transl,EG10043_transl,EG10044_transl,EG10046_transl,EG10050_transl,EG10051_transl,EG10054_transl,EG10071_transl,EG10084_transl,EG10085_transl,EG10107_transl,EG10108_transl,EG10112_transl,EG10122_transl,EG10124_transl,EG10129_transl,EG10138_transl,EG10160_transl,EG10167_transl,EG10170_transl,EG10172_transl
media_0,0.10326951684395869,0.14380876019602498,0.09302187108542657,0.11405036442720287,0.10759904143850828,0.0691189090886182,0.11405036442720297,0.055642327711487624,0.10759904143850837,0.08433597232958608,,0.11733585181146486,0.1249478421927734,0.11405036442720287,0.11082470293285565,0.05387778905427275,0.10759904143850828,0.11902332898372141,0.09646849164938912,0.07845574054143613,0.10131060020220935,0.12458115237700532,0.0,0.15177049107304577,0.10437337994416106,0.09642363353128279,0.09953488770264017,0.07757973655978975,0.1683656898775094,0.09711564158187973,0.10759904143850837,0.13354659331371646,0.09603737999267892,0.11380639773607118,0.0794821513317885,0.10105243981756794,0.09425529916543256,0.07749137952525996,0.10437337994416106,0.09711564158187973,0.013238002162508162,,,,,0.11034085370870343,,,,,,,0.02385234847718499,0.09276099856451091,0.10437337994416106,,0.10437337994416106,,0.10276054919698739,,,,0.10792160758794299,,0.12324349968609262,,0.0784068049146655,0.11356651520305075,,,,0.10114771844981382,,,0.11034085370870343,0.09840590617961857,,,0.10437337994416106,
media_1,0.0032256614943465484,0.019604504842539176,0.0,0.0,0.0032256614943465484,0.03999110535934324,0.0,0.037293561927109635,0.0032256614943465484,0.0,,0.0,0.00768706969731268,0.0,0.0,0.0,0.0032256614943465484,0.0,0.0,0.013344592809742043,0.0014361844607318338,0.0,0.03763930839018618,0.09112145164058048,0.0,0.005509399933240448,0.0032256614943465484,0.004996225992067562,0.08039474681542343,0.0,0.0032256614943465484,0.0,0.007650057996302724,0.0,0.00711607847302212,0.003948955780900877,0.011012593975492067,0.003504872137496883,0.0,0.006451322988693822,0.025327693518332944,,,,,0.0,,,,,,,0.017896720375722895,0.0,0.003225661494346645,,0.0,,0.003225661494346645,,,,0.003225661494346645,,0.0,,0.0032256614943465484,0.0032256614943465484,,,,0.0,,,0.0,0.0,,,0.003225661494346645,
media_2,0.0,0.0,0.0,0.0,0.0,0.01962971526215312,0.0,0.006303198922322788,0.0,0.0,,0.00390615818833674,0.003501913646805773,0.0,0.0032256614943465484,0.0,0.0,0.0,0.004824290387249122,0.0,0.0,0.0035893595858495467,0.022490350261404026,0.17054188842310908,0.0,0.010260590807869976,0.0032256614943465484,0.005177603777506217,0.14686115487038648,0.0,0.0,0.0,0.0,0.0,0.00789707171753535,0.0,0.030492718779975003,0.0032692258722751572,0.0,0.0,0.0577206455287412,,,,,0.006451322988693822,,,,,,,0.004475679077161488,0.006451322988693822,0.0,,0.006451322988693822,,0.0,,,,0.0,,0.0032256614943465484,,0.0,0.0,,,,0.006451322988693822,,,0.0,0.006451322988693822,,,0.0,
media_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020216313348591888,,0.0,0.0,0.0,0.0,0.012665612503812424,0.0,0.006676369139462262,0.0,0.0,0.0,0.0,0.0,0.0,0.0032256614943465484,0.0,0.0,0.0,0.0,0.009676984483041048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032256614943465484,0.0,0.0,,,,,0.0,,,,,,,0.028587919062026124,0.0,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,0.0,,,0.0,
media_4,0.0,0.007985234052056636,0.0,0.0,0.0,0.0,0.0,0.00652957140836083,0.0,0.0,,0.00022504615076766676,0.0,0.0,0.0,0.0,0.0,0.001371971248992978,0.004221497363656918,0.008478018048700686,0.007857896113799064,0.0,0.047067640380155415,0.0,0.0032256614943465484,0.0003222682451964654,0.0,0.0,0.005944649927347771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032256614943465484,0.0,0.0,,,,,0.0,,,,,,,0.04171997089280266,0.006451322988693822,0.0032256614943465484,,0.0,,0.0,,,,0.0032256614943465484,,0.0,,0.0,0.006451322988693822,,,,0.0,,,0.006451322988693822,0.006451322988693822,,,0.0032256614943465484,
KO_EG10001,0.1483112498259292,0.12169292431261902,0.14685772502672303,0.14310408358951507,0.1398784220951678,0.08450437591920255,0.14310408358951507,0.025440407142099778,0.1398784220951678,0.11054642561294646,,0.15614609759921327,0.13591963840369986,0.14310408358951507,0.1463297450838624,0.163622143191102,0.1398784220951678,0.14478946439969925,0.14669465430276904,0.09509391949330157,0.14549721997914677,0.168107520689793,0.13835143430918423,0.0,0.1398784220951678,0.16124075676085886,0.1398784220951678,0.13803847850751244,0.0,0.14310408358951507,0.1398784220951678,0.13503565827761874,0.11213852683993224,0.153847604924134,0.1151984480914501,0.14292834886916925,0.15276840699481342,0.11903385993027658,0.1398784220951678,0.1398784220951678,0.0,,,,,0.1512603990823647,,,,,,,0.04010284733379348,0.130201437612126,0.1463297450838624,,0.1463297450838624,,0.14310408358951507,,,,0.1463297450838624,,0.14932500218575626,,0.1047878331245186,0.15690530669747235,,,,0.14310408358951507,,,0.14932500218575626,0.1242339638475836,,,0.1463297450838624,
KO_EG10003,3.384237459334215e-16,0.003498480736624225,3.384237459334215e-16,3.384237459334215e-16,3.384237459334215e-16,0.0,3.384237459334215e-16,0.0,3.384237459334215e-16,0.0,,0.00021993146552375136,0.0,3.384237459334215e-16,3.384237459334215e-16,0.00544425688446416,3.384237459334215e-16,0.0006649090818161848,0.002532795925911326,0.027368047622912065,0.001373262098127194,0.0,0.0,0.029970341749644278,3.384237459334215e-16,0.0,3.384237459334215e-16,0.017400970046555834,0.037302238328492505,3.384237459334215e-16,3.384237459334215e-16,0.003141895900112645,0.0,0.004777493966648824,0.004056897109872279,0.0,0.002819206050717851,0.0,3.384237459334215e-16,3.384237459334215e-16,0.01826439530301412,,,,,3.384237459334215e-16,,,,,,,0.05191244388488081,3.384237459334215e-16,3.384237459334215e-16,,3.384237459334215e-16,,3.384237459334215e-16,,,,3.384237459334215e-16,,3.384237459334215e-16,,3.384237459334215e-16,3.384237459334215e-16,,,,3.384237459334215e-16,,,3.384237459334215e-16,3.384237459334215e-16,,,3.384237459334215e-16,
KO_EG10004,3.384237459334215e-16,0.0,3.384237459334215e-16,3.384237459334215e-16,3.384237459334215e-16,0.0,3.384237459334215e-16,0.0,3.384237459334215e-16,0.0,,0.0,0.0,3.384237459334215e-16,3.384237459334215e-16,0.0,3.384237459334215e-16,0.0,0.0013402910905615424,0.016441641116955594,0.0009114060205273112,0.0024629464428928775,0.0,0.010138019103303158,3.384237459334215e-16,0.0,3.384237459334215e-16,0.0,0.00754040683596896,3.384237459334215e-16,3.384237459334215e-16,0.0,0.012625337162658245,0.0,0.0,0.0009934063953926857,0.0,0.000444977616292385,3.384237459334215e-16,3.384237459334215e-16,0.021500208678542968,,,,,3.384237459334215e-16,,,,,,,0.0,3.384237459334215e-16,3.384237459334215e-16,,3.384237459334215e-16,,3.384237459334215e-16,,,,3.384237459334215e-16,,3.384237459334215e-16,,3.384237459334215e-16,3.384237459334215e-16,,,,3.384237459334215e-16,,,3.384237459334215e-16,3.384237459334215e-16,,,3.384237459334215e-16,
KO_EG10011,3.384237459334215e-16,0.0,0.0016561159262565522,3.384237459334215e-16,3.384237459334215e-16,0.0,3.384237459334215e-16,0.0,3.384237459334215e-16,0.0,,3.384237459334215e-16,0.00801488672261118,3.384237459334215e-16,3.384237459334215e-16,0.0,3.384237459334215e-16,0.000444977616292385,0.0008124441593043904,0.0021838181384059015,0.0,0.003254424175151848,0.0,0.0,3.384237459334215e-16,0.00679708831532968,3.384237459334215e-16,0.0,0.0,3.384237459334215e-16,3.384237459334215e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.384237459334215e-16,3.384237459334215e-16,0.0,,,,,3.384237459334215e-16,,,,,,,0.0,3.384237459334215e-16,3.384237459334215e-16,,3.384237459334215e-16,,3.384237459334215e-16,,,,3.384237459334215e-16,,3.384237459334215e-16,,3.384237459334215e-16,3.384237459334215e-16,,,,3.384237459334215e-16,,,3.384237459334215e-16,3.384237459334215e-16,,,3.384237459334215e-16,
KO_EG10013,3.384237459334215e-16,0.0,0.000444977616292385,3.384237459334215e-16,3.384237459334215e-16,0.0,3.384237459334215e-16,0.05647191306757497,3.384237459334215e-16,0.00425687662049298,,0.0,0.0,3.384237459334215e-16,3.384237459334215e-16,0.0017605677591459412,3.384237459334215e-16,0.0011921397286077265,0.001930674887523773,0.006807368947939075,0.00011754985834989822,0.0,0.0021710508511559715,0.05090379615578679,3.384237459334215e-16,0.016893536875000174,3.384237459334215e-16,0.0,0.06559327044529542,3.384237459334215e-16,3.384237459334215e-16,0.0,0.0,0.004614236737193082,0.00785604243557959,0.0,0.0,0.0020468879866970434,3.384237459334215e-16,3.384237459334215e-16,0.0063983590234585426,,,,,3.384237459334215e-16,,,,,,,0.0,3.384237459334215e-16,3.384237459334215e-16,,3.384237459334215e-16,,3.384237459334215e-16,,,,3.384237459334215e-16,,3.384237459334215e-16,,3.384237459334215e-16,3.384237459334215e-16,,,,3.384237459334215e-16,,,3.384237459334215e-16,3.384237459334215e-16,,,3.384237459334215e-16,
