target,method_used,n_unique,requested_bins,used_bins,entropy_nats,bin_counts,bin_probs
EG10001_trans,qcut_rank,32,10,10,2.296399489031424,"{0: 5, 1: 4, 2: 5, 3: 4, 4: 5, 5: 4, 6: 4, 7: 5, 8: 4, 9: 5}","{0: 0.1111111111111111, 1: 0.08888888888888889, 2: 0.1111111111111111, 3: 0.08888888888888889, 4: 0.1111111111111111, 5: 0.08888888888888889, 6: 0.08888888888888889, 7: 0.1111111111111111, 8: 0.08888888888888889, 9: 0.1111111111111111}"
EG10003_trans,qcut_rank,25,10,10,2.296399489031424,"{0: 5, 1: 4, 2: 5, 3: 4, 4: 5, 5: 4, 6: 4, 7: 5, 8: 4, 9: 5}","{0: 0.1111111111111111, 1: 0.08888888888888889, 2: 0.1111111111111111, 3: 0.08888888888888889, 4: 0.1111111111111111, 5: 0.08888888888888889, 6: 0.08888888888888889, 7: 0.1111111111111111, 8: 0.08888888888888889, 9: 0.1111111111111111}"
EG10004_trans,qcut_rank,31,10,10,2.296399489031424,"{0: 5, 1: 4, 2: 5, 3: 4, 4: 5, 5: 4, 6: 4, 7: 5, 8: 4, 9: 5}","{0: 0.1111111111111111, 1: 0.08888888888888889, 2: 0.1111111111111111, 3: 0.08888888888888889, 4: 0.1111111111111111, 5: 0.08888888888888889, 6: 0.08888888888888889, 7: 0.1111111111111111, 8: 0.08888888888888889, 9: 0.1111111111111111}"
EG10011_trans,qcut_rank,35,10,10,2.296399489031424,"{0: 5, 1: 4, 2: 5, 3: 4, 4: 5, 5: 4, 6: 4, 7: 5, 8: 4, 9: 5}","{0: 0.1111111111111111, 1: 0.08888888888888889, 2: 0.1111111111111111, 3: 0.08888888888888889, 4: 0.1111111111111111, 5: 0.08888888888888889, 6: 0.08888888888888889, 7: 0.1111111111111111, 8: 0.08888888888888889, 9: 0.1111111111111111}"
EG10013_trans,qcut_rank,33,10,10,2.296399489031424,"{0: 5, 1: 4, 2: 5, 3: 4, 4: 5, 5: 4, 6: 4, 7: 5, 8: 4, 9: 5}","{0: 0.1111111111111111, 1: 0.08888888888888889, 2: 0.1111111111111111, 3: 0.08888888888888889, 4: 0.1111111111111111, 5: 0.08888888888888889, 6: 0.08888888888888889, 7: 0.1111111111111111, 8: 0.08888888888888889, 9: 0.1111111111111111}"
