,EG10001_trans,EG10003_trans,EG10004_trans,EG10011_trans,EG10013_trans,EG10014_trans,EG10015_trans,EG10016_trans,EG10017_trans,EG10018_trans,EG10026_trans,EG10028_trans,EG10030_trans,EG10031_trans,EG10032_trans,EG10033_trans,EG10034_trans,EG10035_trans,EG10039_trans,EG10040_trans,EG10043_trans,EG10044_trans,EG10046_trans,EG10050_trans,EG10051_trans,EG10054_trans,EG10071_trans,EG10084_trans,EG10085_trans,EG10107_trans,EG10108_trans,EG10112_trans,EG10122_trans,EG10124_trans,EG10129_trans,EG10138_trans,EG10160_trans,EG10167_trans,EG10170_trans,EG10172_trans,EG10001_transl,EG10003_transl,EG10004_transl,EG10011_transl,EG10013_transl,EG10014_transl,EG10015_transl,EG10016_transl,EG10017_transl,EG10018_transl,EG10026_transl,EG10028_transl,EG10030_transl,EG10031_transl,EG10032_transl,EG10033_transl,EG10034_transl,EG10035_transl,EG10039_transl,EG10040_transl,EG10043_transl,EG10044_transl,EG10046_transl,EG10050_transl,EG10051_transl,EG10054_transl,EG10071_transl,EG10084_transl,EG10085_transl,EG10107_transl,EG10108_transl,EG10112_transl,EG10122_transl,EG10124_transl,EG10129_transl,EG10138_transl,EG10160_transl,EG10167_transl,EG10170_transl,EG10172_transl
media_0,0.23714806571298874,0.3302423634323943,0.21361537722932056,0.26190519859447636,0.24709038377966142,0.11124259275330806,0.2619051985944766,0.08955287175495075,0.24709038377966164,0.19366908376462977,0.09851226860309259,0.2694499901449148,0.2869301609670638,0.26190519859447636,0.25449779118706906,0.12372492725437478,0.24709038377966142,0.2733251118610369,0.22153019493128934,0.18016572249093588,0.2326496105378204,0.286088094661501,0.0,0.10516181069924802,0.2396829763722541,0.22142718277179108,0.22857186526114304,0.17815406739509365,0.11666062804412602,0.2230163097055875,0.24709038377966164,0.3066763286475058,0.22054019034310457,0.26134495360962084,0.1825227717054374,0.23205677116244172,0.2164478208420033,0.1779511643461471,0.2396829763722541,0.2230163097055875,0.025720988594493566,0.09851226860309259,0.09851226860309259,0.09851226860309259,0.09851226860309259,0.25338668007595766,0.09851226860309259,0.09851226860309259,0.09851226860309259,0.09851226860309259,0.09851226860309259,0.09851226860309259,0.054774520855207065,0.2130163097055875,0.2396829763722541,0.09851226860309259,0.2396829763722541,0.09851226860309259,0.23597927266855034,0.09851226860309259,0.09851226860309259,0.09851226860309259,0.24783112452040212,0.09851226860309259,0.28301630970558755,0.09851226860309259,0.1800533467426244,0.2607940874833652,0.09851226860309259,0.09851226860309259,0.09851226860309259,0.2322755689648468,0.09851226860309259,0.09851226860309259,0.25338668007595766,0.22597927266855034,0.09851226860309259,0.09851226860309259,0.2396829763722541,0.09851226860309259
media_1,0.007407407407405753,0.045019774903121035,0.0,0.0,0.007407407407405753,0.06436320112547356,0.0,0.06002167245519918,0.007407407407405753,0.0,0.04094255614847997,0.0,0.01765258292505778,0.0,0.0,0.0,0.007407407407405753,0.0,0.0,0.030644516109624043,0.0032980532617794545,0.0,0.06735688224765801,0.06313807631719026,0.0,0.012651783191563126,0.007407407407405753,0.011473330815269467,0.05570553989805882,0.0,0.007407407407405753,0.0,0.017567589273770334,0.0,0.016341358969355513,0.00906838003746846,0.02528931517823052,0.008048586585668316,0.0,0.01481481481481317,0.049210848292114306,0.04094255614847997,0.04094255614847997,0.04094255614847997,0.04094255614847997,0.0,0.04094255614847997,0.04094255614847997,0.04094255614847997,0.04094255614847997,0.04094255614847997,0.04094255614847997,0.04109801952614833,0.0,0.007407407407405975,0.04094255614847997,0.0,0.04094255614847997,0.007407407407405975,0.04094255614847997,0.04094255614847997,0.04094255614847997,0.007407407407405975,0.04094255614847997,0.0,0.04094255614847997,0.007407407407405753,0.007407407407405753,0.04094255614847997,0.04094255614847997,0.04094255614847997,0.0,0.04094255614847997,0.04094255614847997,0.0,0.0,0.04094255614847997,0.04094255614847997,0.007407407407405975,0.04094255614847997
media_2,0.0,0.0,0.0,0.0,0.0,0.03159280795319552,0.0,0.01014460731520006,0.0,0.0,0.07296226041674991,0.008970099667772402,0.008041792709156947,0.0,0.007407407407405753,0.0,0.0,0.0,0.011078497980218094,0.0,0.0,0.008242603518894942,0.04024728240386466,0.1181685165531392,0.0,0.02356241548835314,0.007407407407405753,0.011889846669072446,0.10176013043352006,0.0,0.0,0.0,0.0,0.0,0.018134831456992684,0.0,0.0700234638255135,0.0075074486226209824,0.0,0.0,0.11214925387429231,0.07296226041674991,0.07296226041674991,0.07296226041674991,0.07296226041674991,0.01481481481481317,0.07296226041674991,0.07296226041674991,0.07296226041674991,0.07296226041674991,0.07296226041674991,0.07296226041674991,0.010277947145862276,0.01481481481481317,0.0,0.07296226041674991,0.01481481481481317,0.07296226041674991,0.0,0.07296226041674991,0.07296226041674991,0.07296226041674991,0.0,0.07296226041674991,0.007407407407405753,0.07296226041674991,0.0,0.0,0.07296226041674991,0.07296226041674991,0.07296226041674991,0.01481481481481317,0.07296226041674991,0.07296226041674991,0.0,0.01481481481481317,0.07296226041674991,0.07296226041674991,0.0,0.07296226041674991
media_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04642473164380556,0.0,0.0,0.0,0.0,0.0,0.029085306082024864,0.0,0.015331610680446306,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407405753,0.0,0.0,0.0,0.0,0.022222222222220478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407405753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0656492827265085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
media_4,0.0,0.018337287396939184,0.0,0.0,0.0,0.0,0.0,0.010508939776561643,0.0,0.0,0.0,0.0005167958656313587,0.0,0.0,0.0,0.0,0.0,0.003150594075153279,0.009694244388849249,0.019468916315035445,0.018044868620590182,0.0,0.08422921797329974,0.0,0.007407407407405753,0.0007400566336002168,0.0,0.0,0.004119049400928443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407405753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0958057198406379,0.01481481481481317,0.007407407407405753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407405753,0.0,0.0,0.0,0.0,0.01481481481481317,0.0,0.0,0.0,0.0,0.0,0.0,0.01481481481481317,0.01481481481481317,0.0,0.0,0.007407407407405753,0.0
KO_EG10001,0.3405818783178757,0.27945556921023806,0.33724400471168414,0.3286241444332726,0.3212167370258652,0.13600454637094783,0.3286241444332726,0.04094475576225465,0.3212167370258652,0.25385875529182056,0.011156099763900862,0.3585738187410842,0.31212578817959225,0.3286241444332726,0.3360315518406801,0.3757418060182731,0.3212167370258652,0.33249445206460293,0.3368695291845202,0.21837362813441308,0.3341197416156053,0.3860420246143802,0.24758481672814336,0.0,0.3212167370258652,0.37027319143667636,0.3212167370258652,0.3169914915113268,0.0,0.3286241444332726,0.3212167370258652,0.3100958166697456,0.257514855735957,0.35329556133648965,0.26454165733441903,0.32822058731126535,0.3508172917630341,0.2733492951213252,0.3212167370258652,0.3212167370258652,0.0,0.011156099763900862,0.011156099763900862,0.011156099763900862,0.011156099763900862,0.3473543031634315,0.011156099763900862,0.011156099763900862,0.011156099763900862,0.011156099763900862,0.011156099763900862,0.011156099763900862,0.09209215812602856,0.2989945148036429,0.3360315518406801,0.011156099763900862,0.3360315518406801,0.011156099763900862,0.3286241444332726,0.011156099763900862,0.011156099763900862,0.011156099763900862,0.3360315518406801,0.011156099763900862,0.34290985871898694,0.011156099763900862,0.24063472644385464,0.36031726612639436,0.011156099763900862,0.011156099763900862,0.011156099763900862,0.3286241444332726,0.011156099763900862,0.011156099763900862,0.34290985871898694,0.28529081109993937,0.011156099763900862,0.011156099763900862,0.3360315518406801,0.011156099763900862
KO_EG10003,7.771561172376096e-16,0.00803390937597015,7.771561172376096e-16,7.771561172376096e-16,7.771561172376096e-16,0.0,7.771561172376096e-16,0.0,7.771561172376096e-16,0.0,0.015404765481224825,0.0005050505050506748,0.0,7.771561172376096e-16,7.771561172376096e-16,0.012502188727639307,7.771561172376096e-16,0.0015268968757350398,0.005816311270083641,0.06284797057704294,0.003153558380445509,0.0,0.0,0.020766457190620535,7.771561172376096e-16,0.0,7.771561172376096e-16,0.03995957872356193,0.025846730138542995,7.771561172376096e-16,7.771561172376096e-16,0.007215048139608604,0.0,0.01097103470386307,0.009316256450163762,0.0,0.006474023334342771,0.0,7.771561172376096e-16,7.771561172376096e-16,0.03548709975321085,0.015404765481224825,0.015404765481224825,0.015404765481224825,0.015404765481224825,7.771561172376096e-16,0.015404765481224825,0.015404765481224825,0.015404765481224825,0.015404765481224825,0.015404765481224825,0.015404765481224825,0.11921170961161276,7.771561172376096e-16,7.771561172376096e-16,0.015404765481224825,7.771561172376096e-16,0.015404765481224825,7.771561172376096e-16,0.015404765481224825,0.015404765481224825,0.015404765481224825,7.771561172376096e-16,0.015404765481224825,7.771561172376096e-16,0.015404765481224825,7.771561172376096e-16,7.771561172376096e-16,0.015404765481224825,0.015404765481224825,0.015404765481224825,7.771561172376096e-16,0.015404765481224825,0.015404765481224825,7.771561172376096e-16,7.771561172376096e-16,0.015404765481224825,0.015404765481224825,7.771561172376096e-16,0.015404765481224825
KO_EG10004,7.771561172376096e-16,0.0,7.771561172376096e-16,7.771561172376096e-16,7.771561172376096e-16,0.0,7.771561172376096e-16,0.0,7.771561172376096e-16,0.0,0.025293733240859595,0.0,0.0,7.771561172376096e-16,7.771561172376096e-16,0.0,7.771561172376096e-16,0.0,0.003077843775518896,0.03775657625981488,0.002092952319839081,0.005655908952970967,0.0,0.00702463593725744,7.771561172376096e-16,0.0,7.771561172376096e-16,0.0,0.0052247497565112155,7.771561172376096e-16,7.771561172376096e-16,0.0,0.02899281780917784,0.0,0.0,0.0022812579387803122,0.0,0.001021846370684254,7.771561172376096e-16,7.771561172376096e-16,0.04177417524271343,0.025293733240859595,0.025293733240859595,0.025293733240859595,0.025293733240859595,7.771561172376096e-16,0.025293733240859595,0.025293733240859595,0.025293733240859595,0.025293733240859595,0.025293733240859595,0.025293733240859595,0.0,7.771561172376096e-16,7.771561172376096e-16,0.025293733240859595,7.771561172376096e-16,0.025293733240859595,7.771561172376096e-16,0.025293733240859595,0.025293733240859595,0.025293733240859595,7.771561172376096e-16,0.025293733240859595,7.771561172376096e-16,0.025293733240859595,7.771561172376096e-16,7.771561172376096e-16,0.025293733240859595,0.025293733240859595,0.025293733240859595,7.771561172376096e-16,0.025293733240859595,0.025293733240859595,7.771561172376096e-16,7.771561172376096e-16,0.025293733240859595,0.025293733240859595,7.771561172376096e-16,0.025293733240859595
KO_EG10011,7.771561172376096e-16,0.0,0.0038031037668323497,7.771561172376096e-16,7.771561172376096e-16,0.0,7.771561172376096e-16,0.0,7.771561172376096e-16,0.0,0.0,7.771561172376096e-16,0.01840538177444906,7.771561172376096e-16,7.771561172376096e-16,0.0,7.771561172376096e-16,0.001021846370684254,0.0018656963522931669,0.0050149188571728676,0.0,0.007473458012910217,0.0,0.0,7.771561172376096e-16,0.015608830134224538,7.771561172376096e-16,0.0,0.0,7.771561172376096e-16,7.771561172376096e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.771561172376096e-16,7.771561172376096e-16,0.0,0.0,0.0,0.0,0.0,7.771561172376096e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.771561172376096e-16,7.771561172376096e-16,0.0,7.771561172376096e-16,0.0,7.771561172376096e-16,0.0,0.0,0.0,7.771561172376096e-16,0.0,7.771561172376096e-16,0.0,7.771561172376096e-16,7.771561172376096e-16,0.0,0.0,0.0,7.771561172376096e-16,0.0,0.0,7.771561172376096e-16,7.771561172376096e-16,0.0,0.0,7.771561172376096e-16,0.0
KO_EG10013,7.771561172376096e-16,0.0,0.001021846370684254,7.771561172376096e-16,7.771561172376096e-16,0.0,7.771561172376096e-16,0.09088803787863786,7.771561172376096e-16,0.009775489296169892,0.04526630338909232,0.0,0.0,7.771561172376096e-16,7.771561172376096e-16,0.0040429669025079384,7.771561172376096e-16,0.0027376290636288436,0.004433600825195394,0.015632438573695673,0.00026994143465042253,0.0,0.0038851727831725746,0.0352712529119481,7.771561172376096e-16,0.03879430944768392,7.771561172376096e-16,0.0,0.04544959327036002,7.771561172376096e-16,7.771561172376096e-16,0.0,0.0,0.010596130885560218,0.018040611834874154,0.0,0.0,0.00470047252675565,7.771561172376096e-16,7.771561172376096e-16,0.01243179427269947,0.04526630338909232,0.04526630338909232,0.04526630338909232,0.04526630338909232,7.771561172376096e-16,0.04526630338909232,0.04526630338909232,0.04526630338909232,0.04526630338909232,0.04526630338909232,0.04526630338909232,0.0,7.771561172376096e-16,7.771561172376096e-16,0.04526630338909232,7.771561172376096e-16,0.04526630338909232,7.771561172376096e-16,0.04526630338909232,0.04526630338909232,0.04526630338909232,7.771561172376096e-16,0.04526630338909232,7.771561172376096e-16,0.04526630338909232,7.771561172376096e-16,7.771561172376096e-16,0.04526630338909232,0.04526630338909232,0.04526630338909232,7.771561172376096e-16,0.04526630338909232,0.04526630338909232,7.771561172376096e-16,7.771561172376096e-16,0.04526630338909232,0.04526630338909232,7.771561172376096e-16,0.04526630338909232
