label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V5_G1,5,1,2528.0,1,3,200.0,179,302,68.71508379888269,0,8
V5_G2,5,2,2774.0,1,0,-100.0,165,175,6.0606060606060606,0,0
V5_G3,5,3,2836.0,0,1,100.0,85,213,150.58823529411765,0,5
V5_G4,5,4,2659.0,1,1,0.0,115,278,141.73913043478262,0,6
V5_G5,5,5,2827.0,0,0,0.0,164,252,53.65853658536586,0,4
V5_G6,5,6,2893.0,0,1,100.0,120,222,85.0,0,7
V5_G7,5,7,2909.0,1,0,-100.0,106,270,154.7169811320755,0,4
V5_G8,5,8,2988.0,0,2,200.0,141,397,181.56028368794327,0,7
