label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V5_G1,5,1,2528.0,1,1,0.0,3,1,-66.66666666666666,0,6
V5_G2,5,2,2774.0,1,1,0.0,1,4,300.0,0,8
V5_G3,5,3,2836.0,1,2,100.0,0,1,100.0,0,7
V5_G4,5,4,2659.0,2,2,0.0,1,6,500.0,0,5
V5_G5,5,5,2827.0,1,2,100.0,1,4,300.0,0,6
V5_G6,5,6,2893.0,1,3,200.0,0,4,400.0,0,5
V5_G7,5,7,2909.0,1,6,500.0,0,6,600.0,0,13
V5_G8,5,8,2988.0,2,1,-50.0,1,0,-100.0,0,6
