project,variant,label,lineage_seed,last_generation
gene_ko_441imported_2seeds,56,KO: EG10036,100,8
gene_ko_441imported_2seeds,56,KO: EG10036,101,8
gene_ko_441imported_2seeds,57,KO: EG10866,100,5
gene_ko_441imported_2seeds,57,KO: EG10866,101,5
gene_ko_441imported_2seeds,58,KO: EG10774,100,8
gene_ko_441imported_2seeds,58,KO: EG10774,101,8
gene_ko_441imported_2seeds,59,KO: EG10914,100,4
gene_ko_441imported_2seeds,59,KO: EG10914,101,4
gene_ko_441imported_2seeds,60,KO: EG11027,100,6
gene_ko_441imported_2seeds,60,KO: EG11027,101,6
gene_ko_441imported_2seeds,61,KO: EG10118,100,8
gene_ko_441imported_2seeds,61,KO: EG10118,101,8
gene_ko_441imported_2seeds,62,KO: EG11221,100,8
gene_ko_441imported_2seeds,62,KO: EG11221,101,8
gene_ko_441imported_2seeds,63,KO: EG12713,100,8
gene_ko_441imported_2seeds,63,KO: EG12713,101,8
gene_ko_441imported_2seeds,64,KO: EG10095,100,8
gene_ko_441imported_2seeds,64,KO: EG10095,101,8
gene_ko_441imported_2seeds,65,KO: EG10905,100,5
gene_ko_441imported_2seeds,65,KO: EG10905,101,5
gene_ko_441imported_2seeds,66,KO: G6775,100,8
gene_ko_441imported_2seeds,66,KO: G6775,101,8
gene_ko_441imported_2seeds,67,KO: EG10759,100,8
gene_ko_441imported_2seeds,67,KO: EG10759,101,8
gene_ko_441imported_2seeds,68,KO: EG10791,100,8
gene_ko_441imported_2seeds,68,KO: EG10791,101,8
gene_ko_441imported_2seeds,69,KO: G7859,100,8
gene_ko_441imported_2seeds,69,KO: G7859,101,8
gene_ko_441imported_2seeds,70,KO: EG11692,100,8
gene_ko_441imported_2seeds,70,KO: EG11692,101,8
gene_ko_441imported_2seeds,71,KO: EG10100,100,8
gene_ko_441imported_2seeds,71,KO: EG10100,101,8
gene_ko_441imported_2seeds,72,KO: EG11699,100,8
gene_ko_441imported_2seeds,72,KO: EG11699,101,8
gene_ko_441imported_2seeds,73,KO: EG10770,100,6
gene_ko_441imported_2seeds,73,KO: EG10770,101,7
gene_ko_441imported_2seeds,74,KO: G7889,100,8
gene_ko_441imported_2seeds,74,KO: G7889,101,8
gene_ko_441imported_2seeds,75,KO: EG11008,100,8
gene_ko_441imported_2seeds,75,KO: EG11008,101,8
gene_ko_441imported_2seeds,76,KO: EG10446,100,5
gene_ko_441imported_2seeds,76,KO: EG10446,101,5
gene_ko_441imported_2seeds,77,KO: EG10098,100,8
gene_ko_441imported_2seeds,77,KO: EG10098,101,8
gene_ko_441imported_2seeds,78,KO: EG10390,100,6
gene_ko_441imported_2seeds,78,KO: EG10390,101,7
gene_ko_441imported_2seeds,79,KO: EG10710,100,6
gene_ko_441imported_2seeds,79,KO: EG10710,101,6
gene_ko_441imported_2seeds,80,KO: G7868,100,8
gene_ko_441imported_2seeds,80,KO: G7868,101,8
gene_ko_441imported_2seeds,81,KO: EG10629,100,8
gene_ko_441imported_2seeds,81,KO: EG10629,101,8
gene_ko_441imported_2seeds,82,KO: G6662,100,8
gene_ko_441imported_2seeds,82,KO: G6662,101,8
gene_ko_441imported_2seeds,83,KO: EG10007,100,8
gene_ko_441imported_2seeds,83,KO: EG10007,101,8
gene_ko_441imported_2seeds,84,KO: EG10876,100,5
gene_ko_441imported_2seeds,84,KO: EG10876,101,6
gene_ko_441imported_2seeds,85,KO: EG12144,100,8
gene_ko_441imported_2seeds,85,KO: EG12144,101,8
gene_ko_441imported_2seeds,86,KO: EG10652,100,8
gene_ko_441imported_2seeds,86,KO: EG10652,101,8
gene_ko_441imported_2seeds,87,KO: EG20049,100,8
gene_ko_441imported_2seeds,87,KO: EG20049,101,8
gene_ko_441imported_2seeds,88,KO: EG10445,100,5
gene_ko_441imported_2seeds,88,KO: EG10445,101,5
gene_ko_441imported_2seeds,89,KO: EG11268,100,8
gene_ko_441imported_2seeds,89,KO: EG11268,101,8
gene_ko_441imported_2seeds,90,KO: EG10072,100,8
gene_ko_441imported_2seeds,90,KO: EG10072,101,8
gene_ko_441imported_2seeds,91,KO: EG11796,100,8
gene_ko_441imported_2seeds,91,KO: EG11796,101,8
gene_ko_441imported_2seeds,92,KO: G0-10441,100,8
gene_ko_441imported_2seeds,92,KO: G0-10441,101,8
gene_ko_441imported_2seeds,93,KO: EG10123,100,8
gene_ko_441imported_2seeds,93,KO: EG10123,101,8
gene_ko_441imported_2seeds,94,KO: EG12088,100,8
gene_ko_441imported_2seeds,94,KO: EG12088,101,8
gene_ko_441imported_2seeds,95,KO: EG10865,100,5
gene_ko_441imported_2seeds,95,KO: EG10865,101,5
gene_ko_441imported_2seeds,96,KO: EG12715,100,8
gene_ko_441imported_2seeds,96,KO: EG12715,101,8
gene_ko_441imported_2seeds,97,KO: G7833,100,8
gene_ko_441imported_2seeds,97,KO: G7833,101,8
gene_ko_441imported_2seeds,98,KO: EG10920,100,5
gene_ko_441imported_2seeds,98,KO: EG10920,101,6
gene_ko_441imported_2seeds,99,KO: EG12625,100,8
gene_ko_441imported_2seeds,99,KO: EG12625,101,8
gene_ko_441imported_2seeds,100,KO: EG10537,100,8
gene_ko_441imported_2seeds,100,KO: EG10537,101,8
gene_ko_441imported_2seeds,101,KO: EG10864,100,4
gene_ko_441imported_2seeds,101,KO: EG10864,101,5
gene_ko_441imported_2seeds,102,KO: G7542,100,8
gene_ko_441imported_2seeds,102,KO: G7542,101,8
gene_ko_441imported_2seeds,103,KO: EG10115,100,8
gene_ko_441imported_2seeds,103,KO: EG10115,101,8
gene_ko_441imported_2seeds,104,KO: G6437,100,8
gene_ko_441imported_2seeds,104,KO: G6437,101,8
gene_ko_441imported_2seeds,105,KO: G7158,100,8
gene_ko_441imported_2seeds,105,KO: G7158,101,8
gene_ko_441imported_2seeds,106,KO: G7888,100,8
gene_ko_441imported_2seeds,106,KO: G7888,101,8
gene_ko_441imported_2seeds,107,KO: EG10661,100,8
gene_ko_441imported_2seeds,107,KO: EG10661,101,8
gene_ko_441imported_2seeds,108,KO: EG10330,100,8
gene_ko_441imported_2seeds,108,KO: EG10330,101,8
gene_ko_441imported_2seeds,109,KO: EG10192,100,8
gene_ko_441imported_2seeds,109,KO: EG10192,101,8
gene_ko_441imported_2seeds,110,KO: EG50006,100,8
gene_ko_441imported_2seeds,110,KO: EG50006,101,8
gene_ko_441imported_2seeds,111,KO: EG10356,100,8
gene_ko_441imported_2seeds,111,KO: EG10356,101,8
gene_ko_441imported_2seeds,112,KO: G6105,100,8
gene_ko_441imported_2seeds,112,KO: G6105,101,8
gene_ko_441imported_2seeds,113,KO: EG11375,100,8
gene_ko_441imported_2seeds,113,KO: EG11375,101,8
gene_ko_441imported_2seeds,114,KO: EG10350,100,8
gene_ko_441imported_2seeds,114,KO: EG10350,101,8
gene_ko_441imported_2seeds,115,KO: EG11576,100,4
gene_ko_441imported_2seeds,115,KO: EG11576,101,4
gene_ko_441imported_2seeds,116,KO: M004,100,8
gene_ko_441imported_2seeds,116,KO: M004,101,8
gene_ko_441imported_2seeds,117,KO: EG50002,100,4
gene_ko_441imported_2seeds,117,KO: EG50002,101,5
gene_ko_441imported_2seeds,118,KO: EG10464,100,8
gene_ko_441imported_2seeds,118,KO: EG10464,101,8
gene_ko_441imported_2seeds,119,KO: EG11934,100,8
gene_ko_441imported_2seeds,119,KO: EG11934,101,8
gene_ko_441imported_2seeds,120,KO: EG10045,100,8
gene_ko_441imported_2seeds,120,KO: EG10045,101,8
gene_ko_441imported_2seeds,121,KO: EG10637,100,8
gene_ko_441imported_2seeds,121,KO: EG10637,101,8
gene_ko_441imported_2seeds,122,KO: EG10868,100,5
gene_ko_441imported_2seeds,122,KO: EG10868,101,6
gene_ko_441imported_2seeds,123,KO: EG10064,100,8
gene_ko_441imported_2seeds,123,KO: EG10064,101,8
gene_ko_441imported_2seeds,124,KO: EG10707,100,5
gene_ko_441imported_2seeds,124,KO: EG10707,101,6
gene_ko_441imported_2seeds,125,KO: EG10918,100,5
gene_ko_441imported_2seeds,125,KO: EG10918,101,5
gene_ko_441imported_2seeds,126,KO: EG10077,100,8
gene_ko_441imported_2seeds,126,KO: EG10077,101,8
gene_ko_441imported_2seeds,127,KO: EG11746,100,8
gene_ko_441imported_2seeds,127,KO: EG11746,101,8
gene_ko_441imported_2seeds,128,KO: EG10195,100,8
gene_ko_441imported_2seeds,128,KO: EG10195,101,8
gene_ko_441imported_2seeds,129,KO: EG10079,100,8
gene_ko_441imported_2seeds,129,KO: EG10079,101,8
gene_ko_441imported_2seeds,130,KO: EG11673,100,8
gene_ko_441imported_2seeds,130,KO: EG11673,101,8
gene_ko_441imported_2seeds,131,KO: G6710,100,8
gene_ko_441imported_2seeds,131,KO: G6710,101,8
gene_ko_441imported_2seeds,132,KO: EG10214,100,8
gene_ko_441imported_2seeds,132,KO: EG10214,101,8
gene_ko_441imported_2seeds,133,KO: EG10883,100,5
gene_ko_441imported_2seeds,133,KO: EG10883,101,5
gene_ko_441imported_2seeds,134,KO: EG11867,100,8
gene_ko_441imported_2seeds,134,KO: EG11867,101,8
gene_ko_441imported_2seeds,135,KO: EG10906,100,4
gene_ko_441imported_2seeds,135,KO: EG10906,101,4
gene_ko_441imported_2seeds,136,KO: EG12026,100,8
gene_ko_441imported_2seeds,136,KO: EG12026,101,8
gene_ko_441imported_2seeds,137,KO: EG10200,100,8
gene_ko_441imported_2seeds,137,KO: EG10200,101,8
gene_ko_441imported_2seeds,138,KO: EG10793,100,6
gene_ko_441imported_2seeds,138,KO: EG10793,101,8
gene_ko_441imported_2seeds,139,KO: G7726,100,8
gene_ko_441imported_2seeds,139,KO: G7726,101,8
gene_ko_441imported_2seeds,140,KO: EG10980,100,8
gene_ko_441imported_2seeds,140,KO: EG10980,101,8
gene_ko_441imported_2seeds,141,KO: EG11428,100,8
