generation,n_cells,global_time,mean_n_exchanges,mean_growth_rate_json,mean_abs_exchange,net_exchange,x_span,y_span
2,4,6000.0,87.0,0.00025391236517846474,655699566.9137931,-191605615778.0,2.283273202151637,2.6826330557638443
3,8,9000.0,87.0,0.0002731084174877451,982234955.1609195,-572186892454.0,3.8923737644718486,3.9297254959180385
4,16,12000.0,87.0,0.0002366842109761295,1283227654.7902298,-1494573656580.0,5.856142497943615,5.186683051097987
5,32,15000.0,87.0,0.00023458385598310456,1581870908.9482758,-3682635524738.0,8.980611279182927,8.138640547493132
7,120,21000.0,87.0,0.00022433700813255866,2184935209.910249,-19062754191921.0,18.505664262409766,17.194989725629398
