label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V0_G1,0,1,2520.0,1,1,0.0,178,318,78.65168539325843,0,0
V0_G2,0,2,2800.0,0,0,0.0,167,133,-20.35928143712575,6,0
V0_G3,0,3,2890.0,0,1,100.0,74,601,712.1621621621622,14,0
V0_G4,0,4,2910.0,0,0,0.0,291,375,28.865979381443296,10,0
V0_G5,0,5,3260.0,0,2,200.0,176,211,19.886363636363637,14,0
V0_G6,0,6,3140.0,2,1,-50.0,116,288,148.27586206896552,14,0
V0_G7,0,7,2950.0,1,1,0.0,148,517,249.32432432432435,20,0
V0_G8,0,8,2920.0,1,0,-100.0,233,297,27.467811158798284,3,0
