label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V0_G1,0,1,2520.0,1,1,0.0,669,964,44.09566517189836,18,1
V0_G2,0,2,2800.0,0,1,100.0,462,568,22.943722943722943,11,1
V0_G3,0,3,2890.0,0,0,0.0,279,604,116.48745519713262,7,1
V0_G4,0,4,2910.0,0,1,100.0,293,908,209.8976109215017,2,2
V0_G5,0,5,3260.0,1,2,100.0,473,811,71.45877378435517,6,2
V0_G6,0,6,3140.0,0,1,100.0,399,631,58.1453634085213,14,1
V0_G7,0,7,2950.0,0,2,200.0,304,675,122.03947368421053,0,3
V0_G8,0,8,2920.0,1,0,-100.0,356,719,101.96629213483146,13,0
