config_group,original_variant,new_variant,lineage_seed,resume_generations,initial_state_file
resume_add_5_to8,91,78,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=91/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,119,101,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=119/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,119,101,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=119/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,115,99,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=115/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,115,99,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=115/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,190,161,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=190/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,190,161,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=190/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,62,53,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=62/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,62,53,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=62/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,179,156,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=179/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,179,156,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=179/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,277,227,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=277/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,277,227,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=277/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,202,172,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=202/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,202,172,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=202/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,264,216,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=264/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,264,216,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=264/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,138,119,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=138/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,138,119,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=138/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,230,195,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=230/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,230,195,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=230/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,201,171,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=201/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,201,171,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=201/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,9,7,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=9/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,9,7,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=9/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,216,183,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=216/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,216,183,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=216/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,86,73,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=86/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,86,73,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=86/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,189,160,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=189/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,189,160,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=189/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,60,51,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=60/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,60,51,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=60/seed=100/generation=3/agent_id=000/daughter_state_1.json
