label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V6_G1,6,1,2528.0,1,1,0.0,78,106,35.8974358974359,0,1
V6_G2,6,2,2861.0,1,0,-100.0,46,92,100.0,0,2
V6_G3,6,3,3139.0,0,0,0.0,47,60,27.659574468085108,0,1
V6_G4,6,4,2743.0,0,0,0.0,26,27,3.8461538461538463,0,1
V6_G5,6,5,2712.0,0,2,200.0,17,71,317.6470588235294,0,2
V6_G6,6,6,2726.0,2,0,-100.0,39,145,271.7948717948718,0,2
V6_G7,6,7,2631.0,0,0,0.0,65,65,0.0,0,0
V6_G8,6,8,2987.0,0,0,0.0,31,82,164.51612903225808,0,3
