label,project,tu_id,n_genes,n_matched_genes,growth_next_h,zero_growth,essentiality,match
KO: TU0-13736[c],gene_knockout_TU_ID_rest_list_rerun,TU0-13736,3,2,0.7716482301661199,False,0,True
KO: TU0-13741[c],gene_knockout_TU_ID_rest_list_rerun,TU0-13741,2,2,0.84797899816212,False,0,True
KO: TU0-13783[c],gene_knockout_TU_ID_rest_list_rerun,TU0-13783,3,6,0.7789734761110201,False,1,False
KO: TU0-13785[c],gene_knockout_TU_ID_rest_list_rerun,TU0-13785,1,2,0.8205751887305399,False,0,True
KO: TU0-13792[c],gene_knockout_TU_ID_rest_list_rerun,TU0-13792,4,4,0.81180530804358,False,0,True
KO: TU0-13807[c],gene_knockout_TU_ID_rest_list_rerun,TU0-13807,5,2,0.78197505929802,False,0,True
KO: TU0-13823[c],gene_knockout_TU_ID_rest_list_rerun,TU0-13823,2,4,0.83828118656484,False,0,True
KO: TU0-13837[c],gene_knockout_TU_ID_rest_list_rerun,TU0-13837,5,4,0.8683361825518799,False,0,True
KO: TU0-13839[c],gene_knockout_TU_ID_rest_list_rerun,TU0-13839,1,2,0.77207356998594,False,0,True
KO: TU0-13848[c],gene_knockout_TU_ID_rest_list_rerun,TU0-13848,1,2,0.78368290036236,False,0,True
KO: TU0-13883[c],gene_knockout_TU_ID_rest_list_rerun,TU0-13883,2,4,0.75323271989484,False,0,True
KO: TU0-13885[c],gene_knockout_TU_ID_rest_list_rerun,TU0-13885,1,2,0.8071658332054199,False,0,True
KO: TU0-13929[c],gene_knockout_TU_ID_rest_list_rerun,TU0-13929,2,2,0.7860876277185,False,0,True
KO: TU0-13935[c],gene_knockout_TU_ID_rest_list_rerun,TU0-13935,1,2,0.0,True,1,True
KO: TU0-13984[c],gene_knockout_TU_ID_rest_list_rerun,TU0-13984,1,2,0.83371146116796,False,0,True
KO: TU0-14004[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14004,1,2,0.0,True,1,True
KO: TU0-14018[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14018,5,2,0.82260337308534,False,0,True
KO: TU0-14042[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14042,5,4,0.0,True,1,True
KO: TU0-14049[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14049,2,4,0.7991880543504,False,0,True
KO: TU0-14070[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14070,4,2,0.8602814975796,False,0,True
KO: TU0-14099[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14099,2,4,0.80281661554116,False,0,True
KO: TU0-14120[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14120,1,2,0.8255179924993801,False,0,True
KO: TU0-14121[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14121,1,2,0.7743914130040199,False,0,True
KO: TU0-14151[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14151,1,2,0.83308124775942,False,0,True
KO: TU0-14158[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14158,1,2,0.84802471395678,False,0,True
KO: TU0-14159[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14159,1,2,0.74214880681644,False,0,True
KO: TU0-14161[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14161,1,2,0.80103278173266,False,0,True
KO: TU0-14162[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14162,1,2,0.79952047803,False,1,False
KO: TU0-14176[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14176,2,4,0.80965546538706,False,0,True
KO: TU0-14192[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14192,3,4,0.8532808381303201,False,0,True
KO: TU0-14225[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14225,2,2,0.7967784317661,False,0,True
KO: TU0-14254[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14254,1,2,0.80696467340478,False,0,True
KO: TU0-14257[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14257,6,8,0.0,True,1,True
KO: TU0-14290[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14290,2,2,0.85762842368778,False,0,True
KO: TU0-14291[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14291,3,6,0.78821390559672,False,0,True
KO: TU0-14313[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14313,2,4,0.81331561029096,False,0,True
KO: TU0-14356[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14356,1,2,0.7986616931960999,False,0,True
KO: TU0-14366[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14366,2,2,0.8223068383839001,False,0,True
KO: TU0-14394[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14394,1,2,0.8061153706092601,False,1,False
KO: TU0-14396[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14396,1,2,0.79446890212614,False,0,True
KO: TU0-14399[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14399,1,2,0.0,True,1,True
KO: TU0-14415[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14415,4,8,0.81799154576712,False,0,True
KO: TU0-14417[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14417,1,2,0.83222585598276,False,0,True
KO: TU0-14431[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14431,1,2,0.8643449324622601,False,0,True
KO: TU0-14454[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14454,9,10,0.7540371756390599,False,0,True
KO: TU0-14459[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14459,4,8,0.73978104574638,False,0,True
KO: TU0-14467[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14467,1,2,0.0,True,1,True
KO: TU0-14472[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14472,2,2,0.8068559633082,False,1,False
KO: TU0-14474[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14474,1,2,0.81937765211364,False,1,False
