knocked_out_gene,project_name,ko_input,failed_before_8th_generation,essentiality_web_lab,match,gene_symbol
EG11231,gene_knockout_p_list,EG11231,True,False,False,rpmI
EG11232,gene_knockout_p_list,EG11232,True,False,False,rpmJ
EG11286,gene_knockout_TU_ID_rest_list_rerun2,TU0-6886[c],True,False,False,argE
EG11318,gene_knockout_TU_ID_rest_list_rerun2,TU0-1[c],False,True,False,fabG
EG11375,gene_knockout_TU_ID_rest_list_rerun,TU0-13539[c],False,True,False,folE
EG11443,gene_knockout_TU_ID_rest_list_rerun2,TU0-7341[c],True,False,False,rpiA
EG11546,gene_knockout_TU_ID_rest_list_rerun,TU0-12812[c],False,True,False,nadC
EG11575,gene_knockout_TU_ID_rest_list_rerun2,TU0-42478[c],True,False,False,leuD
EG11647,gene_knockout_TU_ID_rest_list_rerun2,TU0-42602[c],False,True,False,accA
EG11673,gene_knockout_TU_ID_rest_list_rerun,TU0-13848[c],False,True,False,folB
EG12319,gene_knockout_TU_ID_rest_list_rerun2,TU0-45255[c],False,True,False,can
EG12666,gene_knockout_TU_ID_rest_list_rerun,TU0-12963[c],False,True,False,lpxH
EG50001,gene_knockout_p_list,EG50001,True,False,False,rplU
G6092,gene_knockout_TU_ID_rest_list_rerun,TU0-12831[c],False,True,False,ispU
G6237,gene_knockout_3_round_test,G6237,False,True,False,dxs
G6561,gene_knockout_3_round_test,G6561,False,True,False,murJ
G7423,gene_knockout_TU_ID_rest_list_rerun,TU0-14313[c],False,True,False,ispD
G7663,gene_knockout_TU_ID_rest_list_rerun,TU0-14291[c],False,True,False,kdsC
G7665,gene_knockout_TU_ID_rest_list_rerun,TU0-14291[c],False,True,False,lptA
G7842,gene_knockout_TU_ID_rest_list_rerun,TU0-14151[c],False,True,False,orn
G7888,gene_knockout_TU_ID_rest_list_rerun,TU0-14176[c],False,True,False,lptF
G7889,gene_knockout_TU_ID_rest_list_rerun,TU0-14176[c],False,True,False,lptG
