knocked_out_gene,project_name,ko_input,failed_before_8th_generation,essentiality_web_lab,match
EG11539,gene_knockout_TU_ID_rest_list_rerun,TU0-1021[c],True,True,True
G7716,gene_knockout_TU_ID_rest_list_rerun,TU0-1063[c],False,False,True
EG11082,gene_knockout_TU_ID_rest_list_rerun,TU0-12797[c],False,False,True
EG12312,gene_knockout_TU_ID_rest_list_rerun,TU0-12810[c],False,False,True
EG11546,gene_knockout_TU_ID_rest_list_rerun,TU0-12812[c],False,True,False
EG10207,gene_knockout_TU_ID_rest_list_rerun,TU0-12827[c],False,True,False
EG10139,gene_knockout_TU_ID_rest_list_rerun,TU0-12831[c],False,True,False
EG12715,gene_knockout_TU_ID_rest_list_rerun,TU0-12831[c],False,False,True
G6092,gene_knockout_TU_ID_rest_list_rerun,TU0-12831[c],False,True,False
G6096,gene_knockout_TU_ID_rest_list_rerun,TU0-12833[c],False,False,True
G6234,gene_knockout_TU_ID_rest_list_rerun,TU0-12921[c],False,False,True
G6239,gene_knockout_TU_ID_rest_list_rerun,TU0-12924[c],False,False,True
G58,gene_knockout_TU_ID_rest_list_rerun,TU0-12942[c],False,False,True
EG10051,gene_knockout_TU_ID_rest_list_rerun,TU0-12947[c],False,False,True
EG12384,gene_knockout_TU_ID_rest_list_rerun,TU0-12962[c],False,False,True
EG12666,gene_knockout_TU_ID_rest_list_rerun,TU0-12963[c],False,True,False
EG10532,gene_knockout_TU_ID_rest_list_rerun,TU0-13010[c],False,True,False
G6364,gene_knockout_TU_ID_rest_list_rerun,TU0-13018[c],False,False,True
G6437,gene_knockout_TU_ID_rest_list_rerun,TU0-13066[c],False,False,True
G6442,gene_knockout_TU_ID_rest_list_rerun,TU0-13069[c],False,False,True
EG11032,gene_knockout_TU_ID_rest_list_rerun,TU0-13078[c],False,False,True
EG10947,gene_knockout_TU_ID_rest_list_rerun,TU0-13080[c],True,True,True
G6468,gene_knockout_TU_ID_rest_list_rerun,TU0-13084[c],False,False,True
EG10613,gene_knockout_TU_ID_rest_list_rerun,TU0-13087[c],False,True,False
EG10094,gene_knockout_TU_ID_rest_list_rerun,TU0-13093[c],True,True,True
G6497,gene_knockout_TU_ID_rest_list_rerun,TU0-13100[c],False,False,True
G6503,gene_knockout_TU_ID_rest_list_rerun,TU0-13106[c],False,False,True
EG12302,gene_knockout_TU_ID_rest_list_rerun,TU0-13135[c],True,True,True
