knocked_out_gene,project_name,ko_input,failed_before_8th_generation,essentiality_web_lab,match,gene_symbol,mygene_found,mygene_name,entrezgene,n_go_terms,go_terms
EG11647,gene_knockout_TU_ID_rest_list_rerun2,TU0-42602[c],False,True,False,accA,True,acetyl-CoA carboxyltransferase subunit alpha,944895,12,acetate CoA-transferase complex; acetyl-CoA carboxylase activity; acetyl-CoA carboxylase complex; carboxyl- or carbamoyltransferase activity; cytoplasm; cytosol; fatty acid biosynthetic process; identical protein binding; ligase activity; long-chain fatty acid biosynthetic process; malonyl-CoA biosynthetic process; protein binding
EG11673,gene_knockout_TU_ID_rest_list_rerun,TU0-13848[c],False,True,False,folB,True,dihydroneopterin aldolase,947544,5,cytoplasm; dihydroneopterin aldolase activity; folic acid-containing compound metabolic process; identical protein binding; tetrahydrofolate biosynthetic process
EG12319,gene_knockout_TU_ID_rest_list_rerun2,TU0-45255[c],False,True,False,can,True,carbonic anhydrase 2,944832,7,carbon utilization; carbonate dehydratase activity; cytosol; identical protein binding; protein binding; protein homotetramerization; zinc ion binding
EG12666,gene_knockout_TU_ID_rest_list_rerun,TU0-12963[c],False,True,False,lpxH,True,"UDP-2,3-diacylglucosamine diphosphatase",949053,8,"UDP-2,3-diacylglucosamine hydrolase activity; cytoplasm; extrinsic component of plasma membrane; hydrolase activity; lipid A biosynthetic process; manganese ion binding; plasma membrane; pyrophosphatase activity"
EG50001,gene_knockout_p_list,EG50001,True,False,False,rplU,True,50S ribosomal subunit protein L21,949057,9,RNA binding; cytoplasm; cytoplasmic translation; cytosol; cytosolic large ribosomal subunit; rRNA binding; ribosome; structural constituent of ribosome; translation
G6092,gene_knockout_TU_ID_rest_list_rerun,TU0-12831[c],False,True,False,ispU,True,"ditrans,polycis-undecaprenyl-diphosphate synthase",944874,12,"Gram-negative-bacterium-type cell wall biogenesis; cytoplasm; cytosol; ditrans,polycis-polyprenyl diphosphate synthase [(2E,6E)-farnesyl diphosphate specific] activity; ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific] activity; magnesium ion binding; peptidoglycan biosynthetic process; polyprenol biosynthetic process; prenyltransferase activity; protein homodimerization activity; small molecule binding; transferase activity, transferring alkyl or aryl (other than methyl) groups"
G6237,gene_knockout_3_round_test,G6237,False,True,False,dxs,True,1-deoxy-D-xylulose-5-phosphate synthase,945060,11,"1-deoxy-D-xylulose-5-phosphate synthase activity; cytosol; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway; isoprenoid biosynthetic process; magnesium ion binding; protein homodimerization activity; pyridoxine biosynthetic process; terpenoid biosynthetic process; thiamine biosynthetic process; thiamine pyrophosphate binding; ubiquinone biosynthetic process"
G6561,gene_knockout_3_round_test,G6561,False,True,False,murJ,True,lipid II flippase MurJ,945487,8,cardiolipin binding; division septum; glycolipid translocation; lipid translocation; lipid-linked peptidoglycan transport; lipid-linked peptidoglycan transporter activity; peptidoglycan biosynthetic process; plasma membrane
G7423,gene_knockout_TU_ID_rest_list_rerun,TU0-14313[c],False,True,False,ispD,True,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,948269,8,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity; catalytic activity; cytidylyltransferase activity; cytosol; identical protein binding; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway; isoprenoid biosynthetic process; magnesium ion binding"
G7663,gene_knockout_TU_ID_rest_list_rerun,TU0-14291[c],False,True,False,kdsC,True,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC,947717,4,"3-deoxy-manno-octulosonate-8-phosphatase activity; cytosol; hydrolase activity, acting on ester bonds; lipopolysaccharide biosynthetic process"
G7665,gene_knockout_TU_ID_rest_list_rerun,TU0-14291[c],False,True,False,lptA,True,lipopolysaccharide transport system protein LptA,947920,11,Gram-negative-bacterium-type cell outer membrane assembly; cell outer membrane; glycolipid transfer activity; glycolipid transport; identical protein binding; lipopolysaccharide binding; lipopolysaccharide transport; outer membrane-bounded periplasmic space; periplasmic space; protein binding; transporter complex
G7842,gene_knockout_TU_ID_rest_list_rerun,TU0-14151[c],False,True,False,orn,True,oligoribonuclease,948675,10,"3'-5'-RNA exonuclease activity; DNA metabolic process; RNA catabolic process; RNA exonuclease activity, producing 5'-phosphomonoesters; RNA metabolic process; cytoplasm; cytosol; exonuclease activity; nucleic acid binding; single-stranded DNA 3'-5' DNA exonuclease activity"
G7888,gene_knockout_TU_ID_rest_list_rerun,TU0-14176[c],False,True,False,lptF,True,lipopolysaccharide transport system protein LptF,948795,8,ATP-binding cassette (ABC) transporter complex; Gram-negative-bacterium-type cell outer membrane assembly; lipopolysaccharide transport; membrane; plasma membrane; protein binding; transmembrane transport; transporter complex
G7889,gene_knockout_TU_ID_rest_list_rerun,TU0-14176[c],False,True,False,lptG,True,lipopolysaccharide transport system protein LptG,945324,8,ATP-binding cassette (ABC) transporter complex; Gram-negative-bacterium-type cell outer membrane assembly; lipopolysaccharide transport; membrane; plasma membrane; protein binding; transmembrane transport; transporter complex
