knocked_out_gene,project_name,ko_input,failed_before_8th_generation,essentiality_web_lab,match,gene_symbol,mygene_found,mygene_name,entrezgene,n_go_terms,go_terms
EG10190,gene_knockout_TU_ID_rest_list_rerun2,TU00078[c],False,True,False,cysI,True,"sulfite reductase, hemoprotein subunit",947231,11,"4 iron, 4 sulfur cluster binding; L-cysteine biosynthetic process; NADP binding; amino acid biosynthetic process; heme binding; hydrogen sulfide biosynthetic process; iron-sulfur cluster binding; oxidoreductase activity; sulfate assimilation; sulfite reductase (NADPH) activity; sulfite reductase complex (NADPH)"
EG10191,gene_knockout_TU_ID_rest_list_rerun2,TU00078[c],False,True,False,cysJ,True,"sulfite reductase, flavoprotein subunit",947239,12,FMN binding; L-cysteine biosynthetic process; NADP+ binding; cytosol; flavin adenine dinucleotide binding; hydrogen sulfide biosynthetic process; oxidoreductase activity; protein binding; riboflavin reductase (NADPH) activity; sulfate assimilation; sulfite reductase (NADPH) activity; sulfite reductase complex (NADPH)
EG10194,gene_knockout_TU_ID_rest_list_rerun2,TU00146[c],False,True,False,cysN,True,sulfate adenylyltransferase subunit 1,947219,7,GTP binding; GTPase activity; hydrogen sulfide biosynthetic process; protein binding; sulfate adenylyltransferase (ATP) activity; sulfate assimilation; sulfur compound metabolic process
EG10205,gene_knockout_TU_ID_rest_list_rerun2,TU00256[c],True,False,False,dapA,True,4-hydroxy-tetrahydrodipicolinate synthase,946952,6,4-hydroxy-tetrahydrodipicolinate synthase activity; L-lysine biosynthetic process; cytoplasm; cytosol; identical protein binding; lyase activity
EG10206,gene_knockout_TU_ID_rest_list_rerun,TU0-14399[c],True,False,False,dapB,True,4-hydroxy-tetrahydrodipicolinate reductase,944762,9,"4-hydroxy-tetrahydrodipicolinate reductase activity; L-lysine biosynthetic process; NAD binding; NADP binding; amino acid biosynthetic process; cytoplasm; cytosol; identical protein binding; oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor"
EG10207,gene_knockout_TU_ID_rest_list_rerun,TU0-12827[c],False,True,False,dapD,True,tetrahydrodipicolinate succinylase,944862,7,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity; L-lysine biosynthetic process; acyltransferase activity, transferring groups other than amino-acyl groups; cytoplasm; cytosol; nucleotidyltransferase activity; transferase activity"
EG10209,gene_knockout_TU_ID_rest_list_rerun,TU0-14042[c],True,False,False,dapF,True,diaminopimelate epimerase,948364,7,L-lysine biosynthetic process; cytoplasm; cytosol; diaminopimelate epimerase activity; enzyme activator activity; protein binding; protein homodimerization activity
EG10214,gene_knockout_TU_ID_rest_list_rerun,EG10214_RNA[c],False,True,False,ddlB,True,D-alanine--D-alanine ligase B,946324,7,ATP binding; D-alanine-D-alanine ligase activity; cytoplasm; cytosol; metal ion binding; peptidoglycan biosynthetic process; protein homodimerization activity
EG10383,gene_knockout_TU_ID_rest_list_rerun,EG10383_RNA[c],True,False,False,glnA,True,glutamine synthetase,948370,11,L-glutamine biosynthetic process; L-glutamine metabolic process; ammonia assimilation cycle; catalytic activity; cytoplasm; cytosol; glutamine synthetase activity; identical protein binding; membrane; nitrogen utilization; response to radiation
EG10390,gene_knockout_TU_ID_rest_list_rerun,TU0-14467[c],True,False,False,glnS,True,glutamine--tRNA ligase,945310,11,ATP binding; aminoacyl-tRNA ligase activity; cytoplasm; cytosol; glutamine-tRNA ligase activity; glutaminyl-tRNA aminoacylation; glutamyl-tRNA aminoacylation; nucleotide binding; tRNA aminoacylation; tRNA aminoacylation for protein translation; translation
