knocked_out_gene,project_name,ko_input,failed_before_8th_generation,essentiality_web_lab,match
EG10650,gene_knockout_TU_ID_rest_list_rerun,TU0-13651[c],True,False,False
EG10707,gene_knockout_p_list,EG10707,True,False,False
EG10769,gene_knockout_TU_ID_rest_list_rerun2,TU0-8493[c],True,False,False
EG10794,gene_knockout_TU_ID_rest_list_rerun2,TU00444[c],False,True,False
EG10805,gene_knockout_TU_ID_rest_list_rerun2,TU00484[c],True,False,False
EG10808,gene_knockout_3_round_test,EG10808,True,False,False
EG10809,gene_knockout_TU_ID_rest_list_rerun,TU0-14472[c],False,True,False
EG10811,gene_knockout_TU_ID_rest_list_rerun2,TU00484[c],True,False,False
EG10870,gene_knockout_p_list,EG10870,True,False,False
EG10871,gene_knockout_TU_ID_rest_list_rerun2,TU0-6512[c],False,True,False
EG10873,gene_knockout_TU_ID_rest_list_rerun2,TU0-6512[c],False,True,False
EG10887,gene_knockout_p_list,EG10887,True,False,False
EG10889,gene_knockout_p_list,EG10889,True,False,False
EG10890,gene_knockout_p_list,EG10890,True,False,False
EG10891,gene_knockout_p_list,EG10891,True,False,False
EG10903,gene_knockout_TU_ID_rest_list_rerun,TU0-14658[c],True,False,False
EG10908,gene_knockout_p_list,EG10908,True,False,False
EG10915,gene_knockout_p_list,EG10915,True,False,False
EG10946,gene_knockout_TU_ID_rest_list_rerun2,TU0-42569[c],False,True,False
EG10980,gene_knockout_TU_ID_rest_list_rerun2,TU0-42509[c],False,True,False
EG11024,gene_knockout_p_list,EG11024,True,False,False
EG11026,gene_knockout_p_list,EG11026,True,False,False
EG11027,gene_knockout_TU_ID_rest_list_rerun2,TU00067[c],True,False,False
EG11028,gene_knockout_TU_ID_rest_list_rerun2,TU00067[c],True,False,False
EG11030,gene_knockout_TU_ID_rest_list_rerun2,TU0-8862[c],False,True,False
EG11039,gene_knockout_TU_ID_rest_list_rerun2,TU00008[c],True,False,False
EG11043,gene_knockout_TU_ID_rest_list_rerun,TU0-14629[c],False,True,False
EG11067,gene_knockout_TU_ID_rest_list_rerun,TU0-14474[c],False,True,False
EG11198,gene_knockout_TU_ID_rest_list_rerun2,TU00280[c],False,True,False
EG11223,gene_knockout_TU_ID_rest_list_rerun2,TU0-42684[c],False,True,False
EG11231,gene_knockout_p_list,EG11231,True,False,False
EG11232,gene_knockout_p_list,EG11232,True,False,False
EG11286,gene_knockout_TU_ID_rest_list_rerun2,TU0-6886[c],True,False,False
EG11318,gene_knockout_TU_ID_rest_list_rerun2,TU0-1[c],False,True,False
EG11375,gene_knockout_TU_ID_rest_list_rerun,TU0-13539[c],False,True,False
EG11443,gene_knockout_TU_ID_rest_list_rerun2,TU0-7341[c],True,False,False
EG11546,gene_knockout_TU_ID_rest_list_rerun,TU0-12812[c],False,True,False
EG11575,gene_knockout_TU_ID_rest_list_rerun2,TU0-42478[c],True,False,False
EG11647,gene_knockout_TU_ID_rest_list_rerun2,TU0-42602[c],False,True,False
EG11673,gene_knockout_TU_ID_rest_list_rerun,TU0-13848[c],False,True,False
EG12319,gene_knockout_TU_ID_rest_list_rerun2,TU0-45255[c],False,True,False
EG12666,gene_knockout_TU_ID_rest_list_rerun,TU0-12963[c],False,True,False
EG50001,gene_knockout_p_list,EG50001,True,False,False
G6092,gene_knockout_TU_ID_rest_list_rerun,TU0-12831[c],False,True,False
G6237,gene_knockout_3_round_test,G6237,False,True,False
G6561,gene_knockout_3_round_test,G6561,False,True,False
G7423,gene_knockout_TU_ID_rest_list_rerun,TU0-14313[c],False,True,False
G7663,gene_knockout_TU_ID_rest_list_rerun,TU0-14291[c],False,True,False
G7665,gene_knockout_TU_ID_rest_list_rerun,TU0-14291[c],False,True,False
G7842,gene_knockout_TU_ID_rest_list_rerun,TU0-14151[c],False,True,False
G7888,gene_knockout_TU_ID_rest_list_rerun,TU0-14176[c],False,True,False
G7889,gene_knockout_TU_ID_rest_list_rerun,TU0-14176[c],False,True,False
