label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V18_G1,18,1,2528.0,1,0,-100.0,189,246,30.158730158730158,0,2
V18_G2,18,2,2775.0,0,0,0.0,116,373,221.55172413793105,0,5
V18_G3,18,3,2923.0,0,0,0.0,178,647,263.4831460674157,0,6
V18_G4,18,4,3007.0,0,0,0.0,333,408,22.52252252252252,0,4
V18_G5,18,5,2770.0,0,0,0.0,217,271,24.88479262672811,0,3
V18_G6,18,6,2800.0,0,0,0.0,133,225,69.17293233082707,0,4
V18_G7,18,7,2932.0,0,0,0.0,111,218,96.3963963963964,0,5
V18_G8,18,8,2969.0,0,0,0.0,106,249,134.9056603773585,0,2
