label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V18_G1,18,1,2528.0,0,0,0.0,2,9,350.0,245,1
V18_G2,18,2,2775.0,0,0,0.0,3,2,-33.33333333333333,253,1
V18_G3,18,3,2923.0,0,0,0.0,0,0,0.0,230,0
V18_G4,18,4,3007.0,0,0,0.0,0,0,0.0,288,0
V18_G5,18,5,2770.0,0,0,0.0,0,2,200.0,191,1
V18_G6,18,6,2800.0,0,0,0.0,1,1,0.0,219,0
V18_G7,18,7,2932.0,0,0,0.0,0,0,0.0,172,0
V18_G8,18,8,2969.0,0,0,0.0,0,0,0.0,309,0
