label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V14_G1,14,1,2528.0,1,3,200.0,669,1343,100.7473841554559,354,23
V14_G2,14,2,2813.0,1,1,0.0,662,1289,94.7129909365559,48,19
V14_G3,14,3,2645.0,0,0,0.0,644,1270,97.20496894409938,263,16
V14_G4,14,4,3083.0,0,1,100.0,644,734,13.975155279503104,0,12
V14_G5,14,5,3279.0,1,0,-100.0,364,783,115.1098901098901,0,12
V14_G6,14,6,3280.0,0,2,200.0,398,917,130.40201005025125,61,19
V14_G7,14,7,3174.0,1,2,100.0,471,688,46.07218683651805,0,13
V14_G8,14,8,3227.0,2,0,-100.0,340,1005,195.58823529411765,0,18
