label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V14_G1,14,1,2528.0,1,4,300.0,1,1,0.0,0,59
V14_G2,14,2,2813.0,2,4,100.0,1,1,0.0,0,61
V14_G3,14,3,2645.0,2,0,-100.0,1,1,0.0,0,38
V14_G4,14,4,3083.0,0,1,100.0,0,1,100.0,0,46
V14_G5,14,5,3279.0,1,1,0.0,1,0,-100.0,0,55
V14_G6,14,6,3280.0,0,1,100.0,0,1,100.0,0,44
V14_G7,14,7,3174.0,1,2,100.0,1,0,-100.0,0,33
V14_G8,14,8,3227.0,1,4,300.0,0,0,0.0,0,55
