label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V14_G1,14,1,2528.0,1,0,-100.0,179,323,80.44692737430168,0,6
V14_G2,14,2,2813.0,0,0,0.0,160,404,152.5,0,10
V14_G3,14,3,2645.0,0,2,200.0,208,515,147.59615384615387,0,10
V14_G4,14,4,3083.0,1,1,0.0,263,373,41.825095057034225,0,6
V14_G5,14,5,3279.0,0,1,100.0,193,444,130.05181347150258,0,8
V14_G6,14,6,3280.0,1,0,-100.0,225,316,40.44444444444444,0,1
V14_G7,14,7,3174.0,0,1,100.0,162,167,3.0864197530864197,0,5
V14_G8,14,8,3227.0,1,1,0.0,88,266,202.27272727272728,0,3
