label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V17_G1,17,1,2528.0,0,4,400.0,138,155,12.318840579710146,1278,104
V17_G2,17,2,2801.0,2,5,150.0,82,124,51.21951219512195,1043,120
V17_G3,17,3,2779.0,3,6,100.0,67,132,97.01492537313433,1860,125
V17_G4,17,4,2526.0,4,5,25.0,68,123,80.88235294117648,1101,82
V17_G5,17,5,3108.0,2,1,-50.0,56,89,58.92857142857143,1192,72
V17_G6,17,6,3364.0,1,3,200.0,52,90,73.07692307692307,1448,133
V17_G7,17,7,2864.0,0,5,500.0,41,82,100.0,1096,120
V17_G8,17,8,3068.0,2,2,0.0,41,87,112.19512195121952,1130,116
