label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V3_G1,3,1,2528.0,0,0,0.0,33,67,103.03030303030303,0,0
V3_G2,3,2,2791.0,0,0,0.0,32,29,-9.375,0,0
V3_G3,3,3,2790.0,0,0,0.0,14,14,0.0,0,0
V3_G4,3,4,2707.0,0,0,0.0,6,5,-16.666666666666664,0,0
V3_G5,3,5,2615.0,0,0,0.0,2,2,0.0,0,0
V3_G6,3,6,2591.0,0,0,0.0,0,0,0.0,0,0
V3_G7,3,7,2690.0,0,0,0.0,0,0,0.0,0,0
V3_G8,3,8,3178.0,0,0,0.0,0,10,1000.0,0,0
