project,variant,lineage_seed,label,gene_id,run_type,n_generations,mean_growth_over_generations,total_fold_change_mass,mean_log_fold_change_mass,step_scale
gene_ko_non_metabolic_seed100,14,100,KO: EG10039,EG10039,KO,8,0.00021083778412920486,278.5018005212948,0.7036780655517407,1.0
gene_ko_non_metabolic_seed100,17,100,KO: EG10046,EG10046,KO,8,0.0002215063425219425,156.72211491581254,0.6318092835517333,1.0
gene_ko_non_metabolic_seed100,19,100,KO: EG10051,EG10051,KO,8,0.0002295094506214654,150.1333685091288,0.6264405028067979,1.0
gene_ko_non_metabolic_seed100,20,100,KO: EG10054,EG10054,KO,8,0.00021711378731043224,314.9130264736878,0.7190370617835621,1.0
gene_ko_trial40_seed101,4,101,KO: EG10030,EG10030,KO,8,0.00025509018179407147,117.62988994543063,0.5959428961715514,1.0
gene_ko_trial40_seed101,5,101,KO: EG10032,EG10032,KO,8,0.00022757614693852255,172.51053240956392,0.643807286506779,1.0
gene_ko_trial40_seed101,6,101,KO: EG10043,EG10043,KO,8,0.0002475041521695259,103.06067349984176,0.5794147347381661,1.0
gene_ko_trial40_seed101,7,101,KO: EG10071,EG10071,KO,6,0.00016287859438831885,26.112067031099084,0.5437329243065813,1.0
gene_ko_trial40_seed101,8,101,KO: EG10084,EG10084,KO,8,0.00023976083619262805,50.96640565994177,0.49139583789096664,1.0
gene_ko_trial40_seed101,10,101,KO: EG10107,EG10107,KO,8,0.00021933305983586147,96.13393043900962,0.5707177909934361,1.0
gene_ko_trial40_seed101,12,101,KO: EG10112,EG10112,KO,8,0.00023548119520730069,108.74017783813024,0.5861201683949968,1.0
gene_ko_trial40_seed101,13,101,KO: EG10122,EG10122,KO,8,0.00025170846726085914,213.9062024200643,0.6706922015611506,1.0
gene_ko_trial40_seed101,14,101,KO: EG10124,EG10124,KO,8,0.0002435944450289389,105.43660203385183,0.5822637304621359,1.0
gene_ko_trial40_seed101,16,101,KO: EG10138,EG10138,KO,8,0.00021676903797483764,182.09975802425643,0.6505693322407176,1.0
gene_ko_trial40_seed101,21,101,KO: EG10001,EG10001,KO,8,0.00023434457495228223,211.45860155941347,0.6692536552524435,1.0
gene_ko_trial40_seed101,22,101,KO: EG10004,EG10004,KO,8,0.00023790194517863994,103.26049367937364,0.5796568575469152,1.0
gene_ko_trial40_seed101,26,101,KO: EG10016,EG10016,KO,8,0.00023809364146327482,99.24973738981829,0.574704909202173,1.0
gene_ko_trial40_seed101,27,101,KO: EG10017,EG10017,KO,8,0.000222661156658859,42.200269685770294,0.4678033264599512,1.0
gene_ko_trial40_seed101,30,101,KO: EG10031,EG10031,KO,8,0.00024189961789287145,98.58184322061891,0.5738608873520195,1.0
gene_ko_trial40_seed101,32,101,KO: EG10034,EG10034,KO,7,0.00013483210933388015,42.99299612637617,0.5372910316635854,1.0
gene_ko_trial40_seed101,33,101,KO: EG10035,EG10035,KO,8,0.00023912965700161322,102.22027287369905,0.5783912528514029,1.0
gene_ko_trial40_seed101,34,101,KO: EG10039,EG10039,KO,8,0.00020798555471139284,78.82819354331582,0.545908839869543,1.0
gene_ko_trial40_seed101,37,101,KO: EG10046,EG10046,KO,8,0.0002517946784235427,109.29531801284274,0.5867566947689927,1.0
gene_ko_trial40_seed101,39,101,KO: EG10051,EG10051,KO,8,0.00023176442830523186,86.60410478077367,0.5576684017201463,1.0
gene_ko_trial40_seed101,40,101,KO: EG10054,EG10054,KO,8,0.00023058085926481585,89.99977360468067,0.5624758943529442,1.0
