project,variant,lineage_seed,label,gene_id,run_type,n_generations,mean_growth_over_generations,total_fold_change_mass,mean_log_fold_change_mass,step_scale
gene_ko_441imported_2seeds,20,101,KO: EG10895,EG10895,KO,6,0.00016066302973682356,0.5400601988044187,-0.10267911106162113,20.0
gene_ko_441imported_2seeds,21,100,KO: EG10549,EG10549,KO,8,0.00019575966992068538,2.453667509805822,0.11219798100407044,20.0
gene_ko_441imported_2seeds,21,101,KO: EG10549,EG10549,KO,8,0.00021080663414415707,0.7813080036765073,-0.03084822949769979,20.0
gene_ko_441imported_2seeds,22,100,KO: EG10099,EG10099,KO,8,0.00021909817001400513,1.1810426058875239,0.020799701584483042,20.0
gene_ko_441imported_2seeds,22,101,KO: EG10099,EG10099,KO,8,0.0002218542916572675,0.8096194040146383,-0.02639887666584556,20.0
gene_ko_441imported_2seeds,23,100,KO: EG10581,EG10581,KO,6,0.0001235211987438104,0.9458078435559665,-0.009285975961347817,20.0
gene_ko_441imported_2seeds,23,101,KO: EG10581,EG10581,KO,7,0.0001275954370371866,0.4976569657402769,-0.09969203758861618,20.0
gene_ko_441imported_2seeds,24,100,KO: EG10872,EG10872,KO,5,0.0004496519857867063,13.655759441396667,0.5228322739478399,20.0
gene_ko_441imported_2seeds,24,101,KO: EG10872,EG10872,KO,6,0.0003987228244665547,3.9430182846166404,0.22865774868658226,20.0
gene_ko_441imported_2seeds,25,100,KO: EG11575,EG11575,KO,5,9.467687470573388e-05,1.7816495015461027,0.11550792429144283,20.0
gene_ko_441imported_2seeds,25,101,KO: EG11575,EG11575,KO,5,0.00011277166123537241,0.64822509212012,-0.08670345571280016,20.0
gene_ko_441imported_2seeds,26,100,KO: EG10105,EG10105,KO,8,0.00021909817001400513,1.1810426058875239,0.020799701584483042,20.0
gene_ko_441imported_2seeds,26,101,KO: EG10105,EG10105,KO,8,0.0002218542916572675,0.8096194040146383,-0.02639887666584556,20.0
gene_ko_441imported_2seeds,27,100,KO: G6842,G6842,KO,8,0.00019159063948682092,0.9744816485982131,-0.0032311989774529842,20.0
gene_ko_441imported_2seeds,27,101,KO: G6842,G6842,KO,8,0.00021952451809064425,0.8487933420726264,-0.02049244195533051,20.0
gene_ko_441imported_2seeds,28,100,KO: EG10182,EG10182,KO,8,0.00019767675744780815,1.1155013472290751,0.01366299282816659,20.0
gene_ko_441imported_2seeds,28,101,KO: EG10182,EG10182,KO,8,0.00021061182659321486,0.7733699623904571,-0.03212471736893892,20.0
gene_ko_441imported_2seeds,29,100,KO: EG12075,EG12075,KO,8,0.00020132691774964466,1.095580358295384,0.011410528804968817,20.0
gene_ko_441imported_2seeds,29,101,KO: EG12075,EG12075,KO,8,0.0002038867559461322,0.7700839409637036,-0.032656969479681455,20.0
gene_ko_441imported_2seeds,30,100,KO: EG10078,EG10078,KO,6,0.00011233489782828509,0.9742423790205967,-0.004349192866713499,20.0
gene_ko_441imported_2seeds,30,101,KO: EG10078,EG10078,KO,7,0.00011790166740931986,0.4966123716893253,-0.09999221334754238,20.0
gene_ko_441imported_2seeds,31,100,KO: EG10892,EG10892,KO,5,0.0004937538220325041,10.646034238035702,0.4730374901584664,20.0
gene_ko_441imported_2seeds,31,101,KO: EG10892,EG10892,KO,5,0.0003106490383035118,4.360626539413153,0.29452314974742144,20.0
gene_ko_441imported_2seeds,32,100,KO: EG11040,EG11040,KO,8,0.00020739439650956865,1.2005645678296961,0.0228489899184445,20.0
gene_ko_441imported_2seeds,32,101,KO: EG11040,EG11040,KO,8,0.00019869211305538652,0.7976754073629664,-0.028256690246399485,20.0
gene_ko_441imported_2seeds,33,100,KO: EG10794,EG10794,KO,7,0.00020838029282732677,0.8664966551970422,-0.020471004280612517,20.0
gene_ko_441imported_2seeds,33,101,KO: EG10794,EG10794,KO,8,0.0005772438543564558,0.7809056827888132,-0.03091261263876334,20.0
gene_ko_441imported_2seeds,34,100,KO: G6701,G6701,KO,8,0.0002022018198480817,1.2211087981765831,0.02496991211932617,20.0
gene_ko_441imported_2seeds,34,101,KO: G6701,G6701,KO,8,0.0001931563979258264,0.7425132761603865,-0.03721431601430561,20.0
gene_ko_441imported_2seeds,35,100,KO: G6237,G6237,KO,8,0.00018683463040969678,1.0455211155523112,0.005564429536163561,20.0
gene_ko_441imported_2seeds,35,101,KO: G6237,G6237,KO,8,0.0002137062271733952,0.7480294863812859,-0.03628911018609781,20.0
