generation_reconstructed,start_time,end_time,n_points,growth_mean,dry_mass_start,dry_mass_end,fold_change_mass,log_fold_change_mass
1,0.0,2000.0,6,0.00021395820600772673,411.0385041526016,696.662961554144,1.69488491836157,0.5276148437555241
2,2235.0,4635.0,7,0.0001479370263392702,371.3726440774143,573.0375697516313,1.5430257960308433,0.43374529134292616
3,4906.0,8106.0,9,9.83169194941276e-05,297.46147800666654,428.46592855865765,1.4404081208426427,0.36492649068466204
4,8395.0,15595.0,19,6.246965328016709e-05,219.6737861650696,359.7966030989204,1.6378677191303939,0.49339522461815893
5,15893.0,26293.0,27,4.09201702019878e-05,183.25267357078832,287.8301481064417,1.5706736632972307,0.45150461223230953
