label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V20_G1,20,1,2528.0,0,0,0.0,3,2,-33.33333333333333,0,16
V20_G2,20,2,2698.0,0,0,0.0,1,6,500.0,0,17
V20_G3,20,3,2520.0,0,0,0.0,3,0,-100.0,0,20
V20_G4,20,4,2663.0,0,3,300.0,0,11,1100.0,0,12
V20_G5,20,5,2926.0,1,2,100.0,7,8,14.285714285714285,0,8
V20_G6,20,6,2925.0,1,1,0.0,2,6,200.0,0,16
V20_G7,20,7,2997.0,0,1,100.0,3,5,66.66666666666666,0,11
V20_G8,20,8,2861.0,0,1,100.0,2,8,300.0,0,13
