label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V15_G1,15,1,2528.0,0,0,0.0,416,1090,162.01923076923077,0,24
V15_G2,15,2,2745.0,0,0,0.0,530,1057,99.43396226415095,0,28
V15_G3,15,3,2726.0,0,1,100.0,544,738,35.661764705882355,0,13
V15_G4,15,4,3163.0,1,2,100.0,369,763,106.77506775067751,0,21
V15_G5,15,5,3050.0,2,2,0.0,372,635,70.6989247311828,0,13
V15_G6,15,6,2858.0,1,3,200.0,314,479,52.547770700636946,0,14
V15_G7,15,7,2863.0,0,2,200.0,247,419,69.63562753036437,0,13
V15_G8,15,8,3080.0,1,2,100.0,210,515,145.23809523809524,0,19
