label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V15_G1,15,1,2528.0,0,0,0.0,294,372,26.53061224489796,0,2
V15_G2,15,2,2745.0,0,0,0.0,189,198,4.761904761904762,0,1
V15_G3,15,3,2726.0,0,0,0.0,102,188,84.31372549019608,0,3
V15_G4,15,4,3163.0,0,1,100.0,97,451,364.9484536082474,0,6
V15_G5,15,5,3050.0,0,0,0.0,224,276,23.214285714285715,0,6
V15_G6,15,6,2858.0,0,2,200.0,143,170,18.88111888111888,0,4
V15_G7,15,7,2863.0,1,0,-100.0,91,282,209.8901098901099,0,3
V15_G8,15,8,3080.0,0,1,100.0,133,296,122.55639097744361,0,5
