label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V7_G1,7,1,2528.0,0,1,100.0,207,473,128.50241545893718,0,6
V7_G2,7,2,2683.0,0,0,0.0,231,355,53.67965367965368,0,5
V7_G3,7,3,2641.0,0,1,100.0,166,217,30.72289156626506,0,4
V7_G4,7,4,3209.0,0,0,0.0,101,157,55.44554455445545,0,5
V7_G5,7,5,5441.0,0,0,0.0,77,70,-9.090909090909092,0,3
V7_G6,7,6,8904.0,0,0,0.0,40,61,52.5,0,5
V7_G7,7,7,10800.0,0,0,0.0,32,28,-12.5,0,4
