label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V10_G1,10,1,2528.0,2,0,-100.0,251,379,50.99601593625498,0,6
V10_G2,10,2,2835.0,0,2,200.0,193,404,109.32642487046633,0,5
V10_G3,10,3,2598.0,1,0,-100.0,205,1241,505.3658536585366,0,7
V10_G4,10,4,2580.0,0,3,300.0,619,751,21.32471728594507,0,5
V10_G5,10,5,2866.0,2,0,-100.0,383,677,76.76240208877284,0,11
V10_G6,10,6,3236.0,0,0,0.0,342,630,84.21052631578947,0,9
V10_G7,10,7,3405.0,0,0,0.0,329,561,70.51671732522796,0,5
V10_G8,10,8,3457.0,0,0,0.0,282,636,125.53191489361701,0,9
