label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V10_G1,10,1,2528.0,0,0,0.0,1,1,0.0,0,13
V10_G2,10,2,2835.0,0,1,100.0,0,0,0.0,0,8
V10_G3,10,3,2598.0,1,2,100.0,0,1,100.0,0,16
V10_G4,10,4,2580.0,0,0,0.0,1,0,-100.0,0,10
V10_G5,10,5,2866.0,0,1,100.0,0,0,0.0,0,19
V10_G6,10,6,3236.0,1,0,-100.0,0,1,100.0,0,11
V10_G7,10,7,3405.0,0,1,100.0,1,0,-100.0,0,10
V10_G8,10,8,3457.0,0,1,100.0,0,1,100.0,0,16
