gene_symbol,Gene,RNA ID,failed_before_gen8,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match,n_simulations,Process,process_percent_of_mismatch
lpxh,lpxH,EG12666_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
meta,metA,EG10581_RNA,True,0,False,expected_nonessential,False,2,Metabolism,86.53846153846155
metb,metB,EG10582_RNA,True,0,False,expected_nonessential,False,2,Metabolism,86.53846153846155
metg,metG,EG10586_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
mltc,mltC,G7533_RNA,True,0,False,expected_nonessential,False,2,Metabolism,86.53846153846155
msba,msbA,EG10613_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
nadc,nadC,EG11546_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
ndk,ndk,EG10650_RNA,True,0,False,expected_nonessential,False,2,Metabolism,86.53846153846155
orn,orn,G7842_RNA,False,1,True,expected_essential,False,2,RNA Decay,0.9615384615384616
phes,pheS,EG10709_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
phet,pheT,EG10710_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
ppa,ppa,EG10755_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
pros,proS,EG10770_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
prs,prs,EG10774_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
pyrc,pyrC,EG10806_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
pyrd,pyrD,EG10807_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
pyrf,pyrF,EG10809_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
pyrg,pyrG,EG10810_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
pyrh,pyrH,EG11539_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
rcna,rcnA,G7138_RNA,True,0,False,expected_nonessential,False,2,Metabolism,86.53846153846155
rpli,rplI,EG10870_RNA,True,0,False,expected_nonessential,False,2,Translation,11.538461538461538
rplu,rplU,EG50001_RNA,True,0,False,expected_nonessential,False,2,Translation,11.538461538461538
rpmc,rpmC,EG10887_RNA,True,0,False,expected_nonessential,False,2,Translation,11.538461538461538
rpme,rpmE,EG10889_RNA,True,0,False,expected_nonessential,False,2,Translation,11.538461538461538
rpmf,rpmF,EG10890_RNA,True,0,False,expected_nonessential,False,2,Translation,11.538461538461538
rpmg,rpmG,EG10891_RNA,True,0,False,expected_nonessential,False,2,Translation,11.538461538461538
rpmi,rpmI,EG11231_RNA,True,0,False,expected_nonessential,False,2,Translation,11.538461538461538
rpmj,rpmJ,EG11232_RNA,True,0,False,expected_nonessential,False,2,Translation,11.538461538461538
rpoa,rpoA,EG10893_RNA,False,1,True,expected_essential,False,2,Transcription,0.9615384615384616
rpsd,rpsD,EG10903_RNA,True,0,False,expected_nonessential,False,2,Translation,11.538461538461538
rpsi,rpsI,EG10908_RNA,True,0,False,expected_nonessential,False,2,Translation,11.538461538461538
rpsp,rpsP,EG10915_RNA,True,0,False,expected_nonessential,False,2,Translation,11.538461538461538
serc,serC,EG10946_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
sers,serS,EG10947_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
sra,sra,EG11508_RNA,True,0,False,expected_nonessential,False,2,Translation,11.538461538461538
sucb,sucB,EG10980_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
thrb,thrB,EG10999_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
thrc,thrC,EG11000_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
thrs,thrS,EG11001_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
tmk,tmk,EG12302_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
trps,trpS,EG11030_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
trxb,trxB,EG11032_RNA,True,0,False,expected_nonessential,False,2,Metabolism,86.53846153846155
tyrs,tyrS,EG11043_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
vals,valS,EG11067_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
waaa,waaA,EG10520_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
xanq,xanQ,G7501_RNA,True,0,False,expected_nonessential,False,2,Metabolism,86.53846153846155
