gene_id,gene_name,gene_symbol,RNA ID,overall_label_death,label_death_bool,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match,n_simulations
128,bioA,bioa,EG10117_RNA,not_deadly,False,0,False,expected_nonessential,True,2
129,bioB,biob,EG10118_RNA,not_deadly,False,0,False,expected_nonessential,True,2
130,bioC,bioc,EG10119_RNA,not_deadly,False,0,False,expected_nonessential,True,2
131,bioD,biod,EG10120_RNA,not_deadly,False,0,False,expected_nonessential,True,2
132,bioF,biof,EG10121_RNA,not_deadly,False,0,False,expected_nonessential,True,2
133,bioH,bioh,EG10122_RNA,not_deadly,False,0,False,expected_nonessential,True,2
134,birA,bira,EG10123_RNA,not_deadly,False,0,False,expected_nonessential,True,2
135,bisC,bisc,EG10124_RNA,not_deadly,False,0,False,expected_nonessential,True,2
142,cadA,cada,EG10131_RNA,not_deadly,False,0,False,expected_nonessential,True,2
143,cadB,cadb,EG10132_RNA,not_deadly,False,0,False,expected_nonessential,True,2
145,carA,cara,EG10134_RNA,deadly_gene,True,1,True,expected_essential,True,2
146,carB,carb,EG10135_RNA,deadly_gene,True,1,True,expected_essential,True,2
148,cdd,cdd,EG10137_RNA,not_deadly,False,0,False,expected_nonessential,True,2
149,cdh,cdh,EG10138_RNA,not_deadly,False,0,False,expected_nonessential,True,2
150,cdsA,cdsa,EG10139_RNA,not_deadly,False,1,True,expected_essential,False,2
159,cheR,cher,EG10148_RNA,not_deadly,False,0,False,expected_nonessential,True,2
172,cpsB,cpsb,EG10161_RNA,not_deadly,False,0,False,expected_nonessential,True,2
173,cpsG,cpsg,EG10162_RNA,not_deadly,False,0,False,expected_nonessential,True,2
175,crp,crp,EG10164_RNA,not_deadly,False,0,False,expected_nonessential,True,2
188,cyoA,cyoa,EG10178_RNA,not_deadly,False,0,False,expected_nonessential,True,2
192,cyoE,cyoe,EG10182_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
193,cysA,cysa,EG10183_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
195,cysC,cysc,EG10185_RNA,deadly_gene,True,1,True,expected_essential,True,2
196,cysD,cysd,EG10186_RNA,deadly_gene,True,1,True,expected_essential,True,2
197,cysE,cyse,EG10187_RNA,deadly_gene,True,1,True,expected_essential,True,2
198,cysG,cysg,EG10188_RNA,not_deadly,False,1,True,expected_essential,False,2
199,cysH,cysh,EG10189_RNA,deadly_gene,True,1,True,expected_essential,True,2
200,cysI,cysi,EG10190_RNA,deadly_gene,True,1,True,expected_essential,True,2
201,cysJ,cysj,EG10191_RNA,deadly_gene,True,1,True,expected_essential,True,2
202,cysK,cysk,EG10192_RNA,not_deadly,False,0,False,expected_nonessential,True,2
203,cysM,cysm,EG10193_RNA,not_deadly,False,0,False,expected_nonessential,True,2
204,cysN,cysn,EG10194_RNA,deadly_gene,True,1,True,expected_essential,True,2
205,cysP,cysp,EG10195_RNA,not_deadly,False,0,False,expected_nonessential,True,2
206,cysS,cyss,EG10196_RNA,deadly_gene,True,1,True,expected_essential,True,2
207,cysU,cysu,EG10197_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
