label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V5_G1,5,1,2528.0,0,0,0.0,65,156,140.0,64,4
V5_G2,5,2,2706.0,0,0,0.0,81,157,93.82716049382715,189,3
V5_G3,5,3,2639.0,0,0,0.0,79,81,2.5316455696202533,0,2
V5_G4,5,4,2736.0,0,0,0.0,43,88,104.65116279069768,0,1
V5_G5,5,5,3190.0,0,0,0.0,41,89,117.07317073170731,92,3
V5_G6,5,6,3934.0,0,1,100.0,45,95,111.11111111111111,82,3
V5_G7,5,7,3742.0,1,0,-100.0,51,136,166.66666666666669,0,6
V5_G8,5,8,3365.0,0,0,0.0,60,128,113.33333333333333,323,5
