project,variant,label,mean_growth_rate,median_growth_rate,std_growth_rate,max_growth_rate,initial_dry_mass,final_dry_mass,max_dry_mass,fold_change_mass,duration_sec,n_timepoints,generations_used,source_file,lineage_seed,gene_id,run_type,ko_gene_id,growth_next_h,current_growth_h,current_dry_mass_g,current_generation,target_generation,gen_step,peak_generation,peak_censored,is_pre_peak,sample_id
gene_knockout_TU_ID_rest_list_rerun,91,KO: TU0-14394[c],0.0002046034563822,0.0002320838644278,8.165270309205338e-05,0.0002987804569342,379.71001912005306,627.3132530469829,706.4950853090479,1.6520850687604456,22835.0,61,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14394[c],KO,TU0-14394[c],0.73657244297592,0.73657244297592,379.71001912005306,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v91|s11|KO: TU0-14394[c]
gene_knockout_TU_ID_rest_list_rerun,92,KO: TU0-14396[c],0.0001912349829273,0.0001985577706733,9.710302810929866e-05,0.0005678082741173,379.43326945877664,472.43843344911807,737.8167778707018,1.2451159966099017,23379.0,63,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14396[c],KO,TU0-14396[c],0.68844593853828,0.68844593853828,379.43326945877664,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v92|s11|KO: TU0-14396[c]
gene_knockout_TU_ID_rest_list_rerun,93,KO: TU0-14399[c],4.394694887962586e-05,3.812889435672038e-05,2.055599652029977e-05,8.880771364472677e-05,379.1079585973531,251.5270351180052,461.0169631295523,0.663470732845125,20625.0,54,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14399[c],KO,TU0-14399[c],0.1582090159666531,0.1582090159666531,379.1079585973531,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v93|s11|KO: TU0-14399[c]
gene_knockout_TU_ID_rest_list_rerun,94,KO: TU0-14415[c],0.0001975114425169,0.0002165697937066,7.960367215811636e-05,0.0002976864249182,379.6516622142076,585.9185740422784,707.2756907865037,1.5433056992957153,23331.0,63,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14415[c],KO,TU0-14415[c],0.71104119306084,0.71104119306084,379.6516622142076,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v94|s11|KO: TU0-14415[c]
gene_knockout_TU_ID_rest_list_rerun,95,KO: TU0-14417[c],0.0002079648697943,0.0002325395029454,8.130217453662336e-05,0.0002896642355288,379.949775937076,725.2036936984723,725.2036936984723,1.908683040830571,23151.0,63,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14417[c],KO,TU0-14417[c],0.74867353125948,0.74867353125948,379.949775937076,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v95|s11|KO: TU0-14417[c]
gene_knockout_TU_ID_rest_list_rerun,96,KO: TU0-14431[c],0.0002045999944441,0.0002260835600905,9.395898529640838e-05,0.0005963124313467,380.046501220893,644.5070973755751,716.3305543363583,1.6958637832610135,23333.0,63,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14431[c],KO,TU0-14431[c],0.73655997999876,0.73655997999876,380.046501220893,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v96|s11|KO: TU0-14431[c]
gene_knockout_TU_ID_rest_list_rerun,97,KO: TU0-14454[c],0.0001900541033752,0.0002080893212155,7.446297014483627e-05,0.0002839999702238,378.96679186576034,597.7175695777064,676.4156709572251,1.5772294100888744,24453.0,66,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14454[c],KO,TU0-14454[c],0.68419477215072,0.68419477215072,378.96679186576034,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v97|s11|KO: TU0-14454[c]
gene_knockout_TU_ID_rest_list_rerun,98,KO: TU0-14459[c],0.0001862797876928,0.0002077986927287,7.587319499484586e-05,0.0002781639448732,379.4803838750177,522.3627070098041,714.2708685283887,1.3765209723774416,24249.0,64,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14459[c],KO,TU0-14459[c],0.67060723569408,0.67060723569408,379.4803838750177,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v98|s11|KO: TU0-14459[c]
gene_knockout_TU_ID_rest_list_rerun,99,KO: TU0-14467[c],0.0003739050780457,0.0001207492867087,0.0004594268159266,0.0019268231236016,379.6082179499589,5793.478681030765,5793.478681030765,15.261731456494651,10288.0,28,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14467[c],KO,TU0-14467[c],1.34605828096452,1.34605828096452,379.6082179499589,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v99|s11|KO: TU0-14467[c]
gene_knockout_TU_ID_rest_list_rerun,100,KO: TU0-14472[c],0.0001981944144516,0.0002129593919495,8.650981638758578e-05,0.0005645611907621,379.5392915510798,638.1384609671045,683.2123246726655,1.681350192648556,24431.0,66,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14472[c],KO,TU0-14472[c],0.71349989202576,0.71349989202576,379.5392915510798,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v100|s11|KO: TU0-14472[c]
