project,variant,label,mean_growth_rate,median_growth_rate,std_growth_rate,max_growth_rate,initial_dry_mass,final_dry_mass,max_dry_mass,fold_change_mass,duration_sec,n_timepoints,generations_used,source_file,lineage_seed,gene_extracted,ko_tu_id,run_type
gene_knockout_TU_ID_rest_list_rerun,17,KO: TU0-12947[c],0.0002131620427694,0.0002118564588805,2.8987733924021985e-05,0.0003504349808313,366.2050144917888,609.2265150897567,715.5693666872244,1.6636214442208763,24840.0,1247,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-12947[c],TU0-12947[c],KO
gene_knockout_TU_ID_rest_list_rerun,18,KO: TU0-12962[c],0.0002218432773689,0.0002230358394028,2.3499893651218685e-05,0.000287196276774,366.5304667958016,654.2438903441384,681.8046416078887,1.7849645516879378,24278.0,1218,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-12962[c],TU0-12962[c],KO
gene_knockout_TU_ID_rest_list_rerun,19,KO: TU0-12963[c],0.0002263959284371,0.0002266079073241,2.6136059793261568e-05,0.0003091504601751,366.1464794284333,718.3470684016984,718.3470684016984,1.961911717744936,24251.0,1216,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-12963[c],TU0-12963[c],KO
gene_knockout_TU_ID_rest_list_rerun,20,KO: TU0-13010[c],0.0002089570909765,0.000211620118321,2.4893194339652817e-05,0.0002727995920721,365.564852370992,616.136916580148,680.8941581789416,1.685438062723995,25528.0,1280,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13010[c],TU0-13010[c],KO
gene_knockout_TU_ID_rest_list_rerun,21,KO: TU0-13018[c],0.0002437822061013,0.0002450061515982,3.78124870242943e-05,0.0005856599749225,366.2151774993503,722.7245619016912,749.9150450521931,1.9734970211685816,22500.0,1129,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13018[c],TU0-13018[c],KO
gene_knockout_TU_ID_rest_list_rerun,22,KO: TU0-13066[c],0.0002365151194394,0.0002348410629778,3.503908224668012e-05,0.0005751721804858,366.1712153238441,719.9463011533726,719.9463011533726,1.9661466303861368,23212.0,1165,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13066[c],TU0-13066[c],KO
gene_knockout_TU_ID_rest_list_rerun,23,KO: TU0-13069[c],0.0002258917745983,0.0002254010289382,4.138777204756399e-05,0.0005592359303116,366.2542895747729,704.2902912938318,769.3450935665524,1.9229543826272293,24055.0,1207,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13069[c],TU0-13069[c],KO
gene_knockout_TU_ID_rest_list_rerun,24,KO: TU0-13078[c],0.0002254122934346,0.0002224562367802,3.024743972626796e-05,0.0003327726733971,366.261561913505,617.9754437423085,746.7892715529731,1.6872517020725404,23608.0,1184,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13078[c],TU0-13078[c],KO
gene_knockout_TU_ID_rest_list_rerun,25,KO: TU0-13080[c],0.0004314588875824,0.0001210242424273,0.0005900886587295,0.0032789006888931,366.0232361021433,8852.473654364992,8852.473654364992,24.18555102849973,10799.0,542,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13080[c],TU0-13080[c],KO
gene_knockout_TU_ID_rest_list_rerun,26,KO: TU0-13084[c],0.0002300820992821,0.0002304252961684,3.727711204593289e-05,0.0005937438398848,366.2096431395838,684.9252277003491,709.9028062515661,1.8703090989859168,23701.0,1188,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13084[c],TU0-13084[c],KO
gene_knockout_TU_ID_rest_list_rerun,27,KO: TU0-13087[c],0.0002268525051473,0.000227294064338,3.536361332010543e-05,0.0005834474196406,365.9821508142368,694.9531543366961,711.1684057062148,1.898871714892557,23905.0,1199,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13087[c],TU0-13087[c],KO
gene_knockout_TU_ID_rest_list_rerun,28,KO: TU0-13093[c],0.0004297060547416,0.0001413146286072,0.0005019238063835,0.0023579459568472,366.94432893862336,8947.178953095861,8947.178953095861,24.382932906948955,10596.0,532,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13093[c],TU0-13093[c],KO
gene_knockout_TU_ID_rest_list_rerun,29,KO: TU0-13100[c],0.0002257414162976,0.0002263992052827,2.926186022502569e-05,0.0002936565050392,366.220825581417,608.1419768876412,709.5135945716434,1.6605881872560009,23580.0,1183,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13100[c],TU0-13100[c],KO
gene_knockout_TU_ID_rest_list_rerun,30,KO: TU0-13106[c],0.0002337815212984,0.0002382156672448,3.002372640523949e-05,0.0003104914198552,365.8930484118507,688.0437638338119,730.8832563760334,1.8804504945372644,23251.0,1166,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13106[c],TU0-13106[c],KO
gene_knockout_TU_ID_rest_list_rerun,31,KO: TU0-13135[c],0.0002599656474205,0.0002646793560516,2.423097317503531e-05,0.0002969698808274,366.1028361133358,5339.230176070701,5339.230176070701,14.583962890737665,12932.0,648,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13135[c],TU0-13135[c],KO
gene_knockout_TU_ID_rest_list_rerun,32,KO: TU0-13182[c],0.0002428291645924,0.0002422541549391,3.814681282292304e-05,0.0005980618885704,366.2305645244153,691.7342040188944,754.2106973912616,1.888794303438808,22470.0,1127,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13182[c],TU0-13182[c],KO
gene_knockout_TU_ID_rest_list_rerun,33,KO: TU0-13189[c],0.0002339292223652,0.0002360743881853,2.9170968275920835e-05,0.000291488628762,366.2299495284267,667.1724154271078,762.0094435923149,1.8217308996333792,23126.0,1160,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13189[c],TU0-13189[c],KO
gene_knockout_TU_ID_rest_list_rerun,34,KO: TU0-13209[c],0.0002258728495529,0.0002374631051783,3.88642635665669e-05,0.0003084033557416,366.1401767398062,585.6054664738972,746.3174291415748,1.5994023701202609,23345.0,1171,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13209[c],TU0-13209[c],KO
