operon_id,num_tus,tu_ids
OP162,4,TU0-8867[c];TU0-8868[c];TU0-8869[c];TU00261[c]
OP163,5,TU0-4146[c];TU0-4184[c];TU0-4204[c];TU0-8373[c];TU00267[c]
OP164,3,TU0-14460[c];TU00352[c];TU00472[c]
OP165,2,TU00260[c];dnaK[c]
OP166,1,TU0-12843[c]
OP167,1,TU0-12948[c]
OP168,1,TU0-12841[c]
OP169,3,TU00332[c];TU483[c];TU484[c]
OP170,2,TU0-198714[c];TU0-198879[c]
OP171,2,TU00148[c];TU00375[c]
OP172,1,TU0-8321[c]
OP173,1,TU00127[c]
OP174,1,TU0-13850[c]
OP175,1,TU0-8790[c]
OP176,2,TU00227[c];TU25[c]
OP177,2,TU0-14412[c];TU0-14654[c]
OP178,2,TU0-14617[c];TU00166[c]
OP179,1,TU0-198711[c]
OP180,1,TU00270[c]
OP181,1,TU0-12809[c]
OP182,1,TU00234[c]
OP183,2,TU0-7823[c];TU00264[c]
OP184,1,TU00177[c]
OP185,2,TU0-2562[c];TU00265[c]
OP186,1,TU00092[c]
OP187,1,TU0-1482[c]
OP188,1,TU0-42603[c]
OP189,10,TU0-1[c];TU0-42537[c];TU0-42538[c];TU0-5[c];TU00266[c];TU441[c];TU442[c];TU443[c];TU601[c];rpmF[c]
OP190,1,TU00215[c]
OP191,1,TU00080[c]
OP192,1,TU0-14737[c]
OP193,4,TU0-14814[c];TU0-14816[c];TU0-45273[c];TU0-45274[c]
OP194,1,TU0-8336[c]
OP195,1,TU00268[c]
OP196,1,TU00152[c]
OP197,1,TU00151[c]
OP198,1,TU00460[c]
OP199,1,TU00164[c]
OP200,1,TU0-3963[c]
OP201,1,TU0-13680[c]
OP202,4,TU0-8344[c];TU0-8345[c];TU00154[c];TU00424[c]
OP203,2,TU0-198712[c];fhuA[c]
OP204,1,TU0-2581[c]
OP205,2,TU0-6554[c];TU0-6885[c]
OP206,1,fimA[c]
OP207,1,TU00409[c]
OP208,1,EG10310_RNA[c]
OP209,1,EG10311_RNA[c]
OP210,1,TU183[c]
OP211,1,EG10313_RNA[c]
OP212,1,EG10314_RNA[c]
OP213,1,EG10315_RNA[c]
OP214,1,TU00021[c]
OP215,3,TU0-1281[c];TU0-1282[c];TU0-1283[c]
OP216,1,TU0-14785[c]
OP217,1,EG10321_RNA[c]
OP218,1,TU0-1441[c]
OP219,1,TU00022[c]
OP220,1,TU0-6401[c]
OP221,1,TU0-12965[c]
OP222,5,TU0-5522[c];TU0-5523[c];TU0-5543[c];TU0-5601[c];TU00339[c]
OP223,1,TU0-45225[c]
OP224,1,TU0-14055[c]
OP225,1,TU0-42525[c]
OP226,1,TU00161[c]
OP227,1,TU0-12808[c]
OP228,4,TU0-1422[c];TU0-1423[c];TU0-3941[c];TU0-45271[c]
OP229,1,TU00278[c]
OP230,1,EG10341_RNA[c]
OP231,1,TU0-13942[c]
OP232,1,EG10344_RNA[c]
OP233,2,TU0-42697[c];TU00135[c]
OP234,3,TU0-14502[c];TU0-42698[c];TU00128[c]
OP235,3,TU0-42482[c];TU0-42499[c];TU00104[c]
OP236,3,TU0-14519[c];TU0-5121[c];TU00348[c]
OP237,5,TU0-14294[c];TU0-1921[c];TU0-198883[c];TU0-198884[c];TU0-4001[c]
OP238,6,TU0-42578[c];TU0-42581[c];TU0-42583[c];TU0-42588[c];TU0-45179[c];galM[c]
OP239,1,TU0-881[c]
OP240,1,TU00024[c]
OP241,3,TU0-13398[c];TU0-42480[c];TU0-4904[c]
OP242,1,TU0-2042[c]
OP243,1,EG10370_RNA[c]
OP244,2,TU0-14509[c];TU00170[c]
OP245,1,TU0-1201[c]
OP246,1,TU0-12794[c]
OP247,1,TU0-8802[c]
OP248,3,TU0-14302[c];TU0-36417[c];TU00122[c]
OP249,1,TU00280[c]
OP250,1,EG10383_RNA[c]
OP251,3,TU0-14321[c];TU0-36399[c];TU00089[c]
OP252,1,TU0-198713[c]
OP253,2,TU0-6649[c];TU0-8001[c]
OP254,1,TU0-14467[c]
OP255,1,TU00030[c]
OP256,1,TU00031[c]
OP257,2,TU401[c];TU402[c]
OP258,2,TU0-198704[c];TU00173[c]
OP259,2,TU0-42700[c];TU00216[c]
OP260,1,TU00106[c]
OP261,3,TU0-198869[c];TU0-45146[c];TU0-45182[c]
OP262,1,TU0-14126[c]
OP263,1,TU0-8804[c]
OP264,1,TU0-6409[c]
OP265,1,TU00192[c]
OP266,1,TU00281[c]
OP267,1,TU0-5101[c]
OP268,1,TU0-14[c]
OP269,1,TU0-14036[c]
OP270,1,TU0-14680[c]
OP271,1,TU-8397[c]
OP272,1,TU00411[c]
OP273,1,TU721[c]
OP274,1,TU0-13714[c]
OP275,1,TU0-13805[c]
OP276,1,TU00205[c]
OP277,1,TU0-8807[c]
OP278,1,TU00140[c]
OP279,1,TU0-2603[c]
OP280,1,TU0-13349[c]
OP281,1,TU0-8809[c]
OP282,2,TU0-4201[c];TU0-4202[c]
OP283,1,TU0-12908[c]
OP284,1,TU00283[c]
OP285,1,TU0-12951[c]
OP286,1,TU0-14805[c]
OP287,6,TU0-14548[c];TU0-14561[c];TU0-14563[c];TU0-14759[c];TU00236[c];yjeFE-amiB-mutL-miaA-hfq[c]
OP288,2,TU0-12943[c];hha[c]
OP289,10,TU0-14255[c];TU0-14257[c];TU0-3304[c];TU0-3305[c];TU0-6626[c];TU0-6657[c];TU0-8855[c];TU0-8856[c];TU00174[c];TU00366[c]
OP290,4,TU0-45280[c];TU361[c];TU564[c];rpsA[c]
OP291,1,TU00284[c]
OP292,4,TU0-198747[c];TU0-42511[c];TU0-6650[c];TU00285[c]
OP293,1,TU0-6506[c]
OP294,1,TU681[c]
OP295,1,TU00139[c]
OP296,2,TU0-14319[c];TU00286[c]
OP297,1,TU0-14784[c]
OP298,1,TU00400[c]
OP299,1,TU584[c]
OP300,1,TU0-901[c]
OP301,1,TU0-13839[c]
OP302,1,TU486[c]
OP303,1,TU487[c]
OP304,1,TU0-45171[c]
OP305,1,TU00153[c]
OP306,1,TU0-8811[c]
OP307,1,TU00107[c]
OP308,1,TU0-1341[c]
OP309,1,TU0-4288[c]
OP310,3,TU0-14253[c];TU0-14394[c];TU00291[c]
OP311,4,TU0-42516[c];TU0-6651[c];TU524[c];TU526[c]
OP312,5,TU0-14764[c];TU0-42513[c];TU0-44221[c];TU00032[c];TU00371[c]
OP313,1,TU00090[c]
OP314,1,TU0-6861[c]
OP315,1,TU0-45235[c]
OP316,1,TU-8389[c]
OP317,3,TU0-44225[c];TU0-44226[c];TU00311[c]
OP318,1,TU0-8837[c]
OP319,2,TU0-14500[c];TU00373[c]
OP320,1,TU0-6507[c]
OP321,2,TU0-14649[c];TU00309[c]
OP322,1,TU00034[c]
OP323,1,TU00225[c]
OP324,1,TU00035[c]
OP325,1,TU00292[c]
OP326,2,TU305[c];TU306[c]
OP327,1,TU0-13088[c]
OP328,2,TU0-7163[c];TU00293[c]
OP329,1,TU0-12800[c]
OP330,1,TU0-13674[c]
OP331,2,TU0-14521[c];TU0-4701[c]
