label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V7_G1,7,1,2528.0,2,0,-100.0,649,1299,100.15408320493067,0,12
V7_G2,7,2,2745.0,0,2,200.0,633,1128,78.19905213270142,0,8
V7_G3,7,3,2591.0,0,1,100.0,541,738,36.41404805914972,0,8
V7_G4,7,4,3228.0,1,0,-100.0,369,531,43.90243902439025,0,5
V7_G5,7,5,3094.0,0,1,100.0,252,329,30.555555555555557,0,4
V7_G6,7,6,2665.0,0,3,300.0,159,593,272.95597484276726,0,7
V7_G7,7,7,2684.0,1,0,-100.0,286,787,175.17482517482517,0,7
V7_G8,7,8,2940.0,0,2,200.0,407,755,85.5036855036855,0,9
