label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V8_G1,8,1,2528.0,0,1,100.0,138,157,13.768115942028986,1005,89
V8_G2,8,2,2735.0,1,6,500.0,76,149,96.05263157894737,1079,138
V8_G3,8,3,2607.0,2,1,-50.0,78,127,62.82051282051282,1529,82
V8_G4,8,4,2565.0,1,4,300.0,59,137,132.20338983050848,912,78
V8_G5,8,5,2785.0,2,1,-50.0,58,77,32.758620689655174,1441,58
V8_G6,8,6,3073.0,1,2,100.0,40,116,190.0,2772,79
V8_G7,8,7,2965.0,2,2,0.0,64,121,89.0625,1122,86
V8_G8,8,8,2998.0,2,3,50.0,51,106,107.84313725490196,1639,83
