label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V2_G1,2,1,2550.0,1,1,0.0,178,267,50.0,18,0
V2_G2,2,2,1040.0,0,0,0.0,142,128,-9.859154929577464,8,0
V2_G3,2,3,1140.0,0,0,0.0,67,61,-8.955223880597014,4,0
V2_G4,2,4,2720.0,0,0,0.0,27,20,-25.925925925925924,3,0
V2_G5,2,5,4000.0,0,0,0.0,11,9,-18.181818181818183,1,0
V2_G6,2,6,4650.0,0,0,0.0,4,115,2775.0,0,0
V2_G7,2,7,5280.0,0,0,0.0,62,38,-38.70967741935484,4,0
V2_G8,2,8,5780.0,0,0,0.0,22,67,204.54545454545453,5,0
