gene_id,monomer_id,min_functional_units,num_complexes,is_functional
Unknown,G6908-MONOMER[c],0.0,1,False
Unknown,G6907-MONOMER[c],0.0,1,False
Unknown,EG11598-MONOMER[c],0.0,1,False
Unknown,G7005-MONOMER[c],0.0,1,False
Unknown,FEPG-MONOMER[i],0.0,1,False
Unknown,FEPD-MONOMER[i],0.0,1,False
Unknown,FEPC-MONOMER[i],0.0,1,False
Unknown,FEPB-MONOMER[p],0.0,1,False
Unknown,ASPS-MONOMER[c],0.0,1,False
Unknown,G6810-MONOMER[i],0.0,1,False
Unknown,EG11023-MONOMER[c],0.0,1,False
Unknown,EG10869-MONOMER[c],0.0,1,False
Unknown,EG10868-MONOMER[c],0.0,1,False
Unknown,EG10867-MONOMER[c],0.0,1,False
Unknown,EG10866-MONOMER[c],0.0,1,False
Unknown,EG10865-MONOMER[c],0.0,1,False
Unknown,EG10864-MONOMER[c],0.0,1,False
Unknown,FRVB-MONOMER[i],0.0,1,False
Unknown,FRVA-MONOMER[m],0.0,1,False
Unknown,MTLA-MONOMER[i],0.0,1,False
Unknown,MONOMER0-282[o],0.0,1,False
Unknown,CYTDEAM-MONOMER[c],0.0,1,False
Unknown,PD02233[c],0.0,1,False
Unknown,LSERINEDEAM3-MONOMER[c],0.0,1,False
Unknown,ADCLY-MONOMER[c],0.0,1,False
Unknown,6PFK-1-MONOMER[c],0.0,1,False
Unknown,RIBOFLAVIN-SYN-MONOMER[c],0.0,1,False
Unknown,TU0-8839[c],0.0,1,False
Unknown,PHOSACETYLTRANS-MONOMER[c],0.0,1,False
Unknown,MONOMER0-541[c],0.0,1,False
Unknown,EG10597-MONOMER[c],0.0,1,False
Unknown,EG10596-MONOMER[c],0.0,2,False
Unknown,EG10826-MONOMER[c],0.0,1,False
Unknown,EG10825-MONOMER[c],0.0,1,False
Unknown,EG10824-MONOMER[c],0.0,1,False
Unknown,FLIN-FLAGELLAR-C-RING-SWITCH[m],0.0,2,False
Unknown,H2PTEROATESYNTH-MONOMER[c],0.0,1,False
Unknown,ARTJ-MONOMER[p],0.0,1,False
Unknown,Pi[p],0.0,1,False
Unknown,PHOR-CPLX[c],0.0,1,False
Unknown,YADH-MONOMER[i],0.0,1,False
Unknown,YADG-MONOMER[i],0.0,1,False
Unknown,MONOMER0-147[c],0.0,1,False
Unknown,DSBG-MONOMER[p],0.0,1,False
Unknown,ASPARTASE-MONOMER[c],0.0,1,False
Unknown,MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN[i],0.0,2,False
Unknown,MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN[i],0.0,2,False
Unknown,G361-MONOMER[c],0.0,1,False
Unknown,G7055-MONOMER[c],0.0,1,False
Unknown,FLIM-FLAGELLAR-C-RING-SWITCH[i],0.0,2,False
Unknown,FLIG-FLAGELLAR-SWITCH-PROTEIN[i],0.0,2,False
Unknown,FLIF-FLAGELLAR-MS-RING[i],0.0,2,False
Unknown,FLGI-FLAGELLAR-P-RING[j],0.0,2,False
Unknown,FLGH-FLAGELLAR-L-RING[j],0.0,2,False
Unknown,FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN[o],0.0,2,False
Unknown,FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN[j],0.0,2,False
Unknown,FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN[j],0.0,2,False
Unknown,FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN[j],0.0,2,False
Unknown,EG11967-MONOMER[e],0.0,1,False
Unknown,EG11545-MONOMER[e],0.0,1,False
Unknown,G6759-MONOMER[c],0.0,1,False
Unknown,PDXK-MONOMER[c],0.0,1,False
Unknown,FADB-MONOMER[c],0.0,1,False
Unknown,FADA-MONOMER[c],0.0,1,False
Unknown,EG11918-MONOMER[p],0.0,1,False
Unknown,EG11676-MONOMER[c],0.0,2,False
Unknown,YPHE-MONOMER[i],0.0,1,False
Unknown,YPHD-MONOMER[i],0.0,1,False
Unknown,G7342-MONOMER[p],0.0,1,False
Unknown,EG12310-MONOMER[c],0.0,1,False
Unknown,THIF-MONOMER[c],0.0,1,False
Unknown,EG10284-MONOMER[c],0.0,1,False
Unknown,URAA-MONOMER[i],0.0,1,False
Unknown,KDPD-MONOMER[c],0.0,1,False
Unknown,SERS-MONOMER[c],0.0,1,False
Unknown,PKII-MONOMER[c],0.0,1,False
Unknown,GDHA-MONOMER[c],0.0,1,False
Unknown,G6865-MONOMER[i],0.0,1,False
Unknown,G7500-MONOMER[i],0.0,1,False
Unknown,G7499-MONOMER[c],0.0,1,False
Unknown,EG12172-MONOMER[c],0.0,1,False
Unknown,4FE-4S[c],0.0,1,False
Unknown,CPLX0-7797[c],0.0,1,False
Unknown,THYMIDYLATESYN-MONOMER[c],0.0,1,False
Unknown,ANSA-MONOMER[c],0.0,1,False
Unknown,HYBC-MONOMER[i],0.0,2,False
Unknown,EG11547-MONOMER[c],0.0,1,False
Unknown,EG10416-MONOMER[c],0.0,1,False
Unknown,G6715-MONOMER[c],0.0,1,False
Unknown,G6714-MONOMER[c],0.0,1,False
Unknown,EG10455-MONOMER[c],0.0,1,False
Unknown,3-OXOACYL-ACP-SYNTHII-MONOMER[c],0.0,1,False
Unknown,G7286-MONOMER[c],0.0,1,False
Unknown,G6428-MONOMER[c],0.0,1,False
Unknown,TDPFUCACTRANS-MONOMER[c],0.0,1,False
Unknown,ARABISOM-MONOMER[c],0.0,1,False
Unknown,G7663-MONOMER[c],0.0,1,False
Unknown,MONOMER0-145[m],0.0,2,False
Unknown,NAD-SYNTH-MONOMER[c],0.0,1,False
Unknown,HYBA-MONOMER[i],0.0,2,False
Unknown,EG11800-MONOMER[i],0.0,2,False
Unknown,EG11160-MONOMER[m],0.0,1,False
Unknown,CARNDEHYDRA-MONOMER[c],0.0,1,False
Unknown,EG11549-MONOMER[c],0.0,1,False
Unknown,YCBM-MONOMER[m],0.0,1,False
Unknown,YCBE-MONOMER[i],0.0,1,False
Unknown,G6478-MONOMER[m],0.0,1,False
Unknown,EG11568-MONOMER[i],0.0,1,False
Unknown,EG12054-MONOMER[i],0.0,1,False
Unknown,EG12052-MONOMER[i],0.0,1,False
Unknown,PHOSGLUCOSAMINEMUT-MONOMER[c],0.0,1,False
Unknown,G6644-MONOMER[c],0.0,1,False
Unknown,EG10528-MONOMER[o],0.0,1,False
Unknown,UMPKI-MONOMER[c],0.0,1,False
Unknown,G7727-MONOMER[c],0.0,1,False
Unknown,PD00219[c],0.0,1,False
Unknown,EG10735-MONOMER[c],0.0,1,False
Unknown,ADHC-MONOMER[c],0.0,1,False
Unknown,ARTQ-MONOMER[i],0.0,2,False
Unknown,ARTP-MONOMER[i],0.0,2,False
Unknown,ARTM-MONOMER[i],0.0,2,False
Unknown,ARTI-MONOMER[p],0.0,1,False
Unknown,COPROGENOXI-MONOMER[c],0.0,1,False
Unknown,H2NEOPTERINALDOL-MONOMER[c],0.0,1,False
Unknown,MONOMER0-2001[c],0.0,1,False
Unknown,MONOMER0-6[i],0.0,1,False
Unknown,G7250-MONOMER[c],0.0,1,False
Unknown,G7246-MONOMER[m],0.0,1,False
Unknown,RIBULPEPIM-MONOMER[c],0.0,1,False
Unknown,LTAA-MONOMER[c],0.0,1,False
Unknown,NUCLEOSIDE-DIP-KIN-MONOMER[c],0.0,1,False
Unknown,THZ-KIN-MONOMER[c],0.0,1,False
Unknown,RFFTRANS-MONOMER[c],0.0,1,False
Unknown,EMRB-MONOMER[i],0.0,1,False
Unknown,EG11354-MONOMER[i],0.0,1,False
Unknown,TRYPTOPHAN-MONOMER[c],0.0,1,False
Unknown,G6645-MONOMER[c],0.0,1,False
Unknown,G6874-MONOMER[i],0.0,2,False
Unknown,G6873-MONOMER[c],0.0,2,False
Unknown,G6872-MONOMER[i],0.0,2,False
Unknown,G6871-MONOMER[i],0.0,2,False
Unknown,EG12073-MONOMER[i],0.0,1,False
Unknown,EG10618-MONOMER[c],0.0,2,False
Unknown,TAP-MONOMER[i],0.0,1,False
Unknown,ACNEULY-MONOMER[c],0.0,1,False
Unknown,G6106-MONOMER[c],0.0,1,False
Unknown,GLYC3PDEHYDROGBIOSYN-MONOMER[c],0.0,1,False
Unknown,LYSS-MONOMER[c],0.0,1,False
Unknown,G7626-MONOMER[c],0.0,1,False
Unknown,G6875-MONOMER[i],0.0,2,False
Unknown,EG11828-MONOMER[c],0.0,1,False
Unknown,CARBPSYN-SMALL[c],0.0,1,False
Unknown,CARBPSYN-LARGE[c],0.0,1,False
Unknown,PD03831[c],0.0,2,False
Unknown,EG11094-MONOMER[c],0.0,1,False
Unknown,EG10927-MONOMER[c],0.0,1,False
Unknown,TYR[c],0.0,1,False
Unknown,G6811-MONOMER[c],0.0,1,False
Unknown,NRDF-MONOMER[c],0.0,2,False
Unknown,URPHOS-MONOMER[c],0.0,1,False
Unknown,KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER[c],0.0,1,False
Unknown,ANTHRANSYNCOMPI-MONOMER[c],0.0,1,False
Unknown,ERYTH4PDEHYDROG-MONOMER[c],0.0,1,False
Unknown,MONOMER-162[c],0.0,1,False
Unknown,G6959-MONOMER[c],0.0,1,False
Unknown,G6673-MONOMER[c],0.0,1,False
Unknown,G7168-MONOMER[m],0.0,1,False
Unknown,EG11261-MONOMER[c],0.0,1,False
Unknown,G7489-MONOMER[c],0.0,1,False
Unknown,EG10202-MONOMER[p],0.0,1,False
Unknown,RIBOFLAVINSYNDEAM-MONOMER[c],0.0,1,False
Unknown,G7877-MONOMER[c],0.0,1,False
Unknown,EG10575-MONOMER[c],0.0,1,False
Unknown,ANTHRANSYNCOMPII-MONOMER[c],0.0,1,False
Unknown,G6500-MONOMER[c],0.0,1,False
Unknown,G7456-MONOMER[c],0.0,1,False
Unknown,BADH-MONOMER[c],0.0,1,False
Unknown,PRO[c],0.0,1,False
Unknown,PUTA-CPLX[c],0.0,1,False
Unknown,G7242-MONOMER[c],0.0,1,False
Unknown,EG10613-MONOMER[m],0.0,1,False
Unknown,SGCC-MONOMER[i],0.0,1,False
Unknown,SGCA-MONOMER[c],0.0,1,False
Unknown,MONOMER0-2121[c],0.0,1,False
Unknown,G7347-MONOMER[i],0.0,1,False
Unknown,G6876-MONOMER[i],0.0,2,False
Unknown,G7348-MONOMER[i],0.0,1,False
Unknown,PYRROLINECARBREDUCT-MONOMER[c],0.0,1,False
Unknown,G7192-MONOMER[c],0.0,1,False
Unknown,E2P-MONOMER[c],0.0,1,False
Unknown,E1P-MONOMER[c],0.0,2,False
Unknown,G7058-MONOMER[p],0.0,1,False
Unknown,PEPCARBOX-MONOMER[c],0.0,1,False
Unknown,G7678-MONOMER[c],0.0,1,False
Unknown,ADENPRIBOSYLTRAN-MONOMER[c],0.0,1,False
Unknown,PD00257[c],0.0,2,False
Unknown,G6494-MONOMER[c],0.0,1,False
Unknown,EG11534-MONOMER[c],0.0,1,False
Unknown,3-OXOACYL-ACP-REDUCT-MONOMER[c],0.0,1,False
Unknown,YJDE-MONOMER[i],0.0,1,False
Unknown,UGPE-MONOMER[m],0.0,1,False
Unknown,UGPC-MONOMER[m],0.0,1,False
Unknown,UGPB-MONOMER[m],0.0,1,False
Unknown,UGPA-MONOMER[m],0.0,1,False
Unknown,EG12373-MONOMER[c],0.0,1,False
Unknown,EG10764-MONOMER[c],0.0,1,False
Unknown,GLYOXI-MONOMER[c],0.0,1,False
Unknown,EG10725-MONOMER[c],0.0,1,False
Unknown,EG11210-MONOMER[c],0.0,1,False
Unknown,MONOMER0-1041[c],0.0,2,False
Unknown,FOLD-MONOMER[c],0.0,1,False
Unknown,MALK-MONOMER[m],0.0,1,False
Unknown,EG11281-MONOMER[c],0.0,1,False
Unknown,ARGDECARBOXDEG-MONOMER[c],0.0,1,False
Unknown,YNEA-MONOMER[p],0.0,1,False
Unknown,YDEZ-MONOMER[i],0.0,1,False
Unknown,YDEY-MONOMER[i],0.0,1,False
Unknown,YDEX-MONOMER[i],0.0,1,False
Unknown,EG10943-MONOMER[c],0.0,1,False
Unknown,SAPF-MONOMER[i],0.0,1,False
Unknown,SAPD-MONOMER[i],0.0,1,False
Unknown,SAPC-MONOMER[i],0.0,1,False
Unknown,SAPB-MONOMER[i],0.0,1,False
Unknown,G7748-MONOMER[c],0.0,1,False
Unknown,THIOESTERII-MONOMER[c],0.0,1,False
Unknown,MALG-MONOMER[m],0.0,1,False
Unknown,EG10625-MONOMER[c],0.0,1,False
Unknown,EG10624-MONOMER[c],0.0,1,False
Unknown,YCFW-MONOMER[i],0.0,1,False
Unknown,YCFV-MONOMER[i],0.0,1,False
Unknown,YCFU-MONOMER[p],0.0,1,False
Unknown,NAGE-MONOMER[i],0.0,1,False
Unknown,ACSERLYB-MONOMER[c],0.0,1,False
Unknown,GLN[c],0.0,1,False
Unknown,FRUCBISALD-CLASSI-MONOMER[c],0.0,1,False
Unknown,G7816-MONOMER[p],0.0,1,False
Unknown,G6760-MONOMER[c],0.0,1,False
Unknown,EG10203-MONOMER[p],0.0,1,False
Unknown,PROS-MONOMER[c],0.0,1,False
Unknown,GLUCONREDUCT-MONOMER[c],0.0,1,False
Unknown,EG11191-MONOMER[c],0.0,1,False
Unknown,PPX-MONOMER[i],0.0,1,False
Unknown,UDHA-MONOMER[c],0.0,1,False
Unknown,G7885-MONOMER[c],0.0,1,False
Unknown,DEOA-MONOMER[c],0.0,1,False
Unknown,G6680-MONOMER[c],0.0,1,False
Unknown,TRANSALDOLB-MONOMER[c],0.0,1,False
Unknown,BARA-MONOMER[i],0.0,1,False
Unknown,SMALLILVM-MONOMER[c],0.0,1,False
Unknown,G8221-MONOMER[c],0.0,1,False
Unknown,2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER[c],0.0,1,False
Unknown,AROG-MONOMER[c],0.0,1,False
Unknown,3-ISOPROPYLMALDEHYDROG-MONOMER[c],0.0,1,False
Unknown,NUON-MONOMER[m],0.0,1,False
Unknown,NUOM-MONOMER[m],0.0,1,False
Unknown,NUOL-MONOMER[m],0.0,1,False
Unknown,NUOK-MONOMER[m],0.0,1,False
Unknown,NUOJ-MONOMER[m],0.0,1,False
Unknown,NUOH-MONOMER[m],0.0,1,False
Unknown,NUOA-MONOMER[m],0.0,1,False
Unknown,CPLX0-7702[c],0.0,1,False
Unknown,QUINOLINATE-SYNTHA-MONOMER[c],0.0,1,False
Unknown,G7531-MONOMER[c],0.0,1,False
Unknown,MALF-MONOMER[m],0.0,1,False
Unknown,MALE-MONOMER[m],0.0,1,False
Unknown,AMP-NUCLEOSID-MONOMER[c],0.0,1,False
Unknown,MONOMER0-1701[c],0.0,1,False
Unknown,HISTPHOSTRANS-MONOMER[c],0.0,1,False
Unknown,EG12366-MONOMER[c],0.0,1,False
Unknown,EG10375-MONOMER[c],0.0,2,False
Unknown,GLNQ-MONOMER[i],0.0,1,False
Unknown,GLNP-MONOMER[i],0.0,1,False
Unknown,GLNH-MONOMER[p],0.0,1,False
Unknown,EG11865-MONOMER[c],0.0,1,False
Unknown,HYPOXANPRIBOSYLTRAN-MONOMER[c],0.0,1,False
Unknown,EG10870-MONOMER[c],0.0,1,False
Unknown,CYSN-MONOMER[c],0.0,1,False
Unknown,CYSD-MONOMER[c],0.0,1,False
Unknown,TAGAALDOL1-MONOMER[c],0.0,1,False
Unknown,ACETYLORNDEACET-MONOMER[c],0.0,1,False
Unknown,DALADEHYDROGA-MONOMER[i],0.0,1,False
Unknown,OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON[c],0.0,1,False
Unknown,OCTAPRENYL-METHOXYPHENOL-OH-MONOMER[c],0.0,1,False
Unknown,G7582-MONOMER[c],0.0,1,False
Unknown,EG11474-MONOMER[c],0.0,1,False
Unknown,EG11333-MONOMER[c],0.0,1,False
Unknown,DHHB-METHYLTRANSFER-MONOMER[c],0.0,1,False
Unknown,BTUC-MONOMER[m],0.0,1,False
Unknown,EG11398-MONOMER[p],0.0,1,False
Unknown,G7350-MONOMER[i],0.0,1,False
Unknown,FUMB-MONOMER[c],0.0,1,False
Unknown,G7901-MONOMER[c],0.0,1,False
Unknown,MONOMER0-5[i],0.0,1,False
Unknown,1-PFK-MONOMER[c],0.0,1,False
Unknown,EG10486-MONOMER[c],0.0,1,False
Unknown,EG10485-MONOMER[c],0.0,1,False
Unknown,CITRYLY-MONOMER[c],0.0,1,False
Unknown,AROC-MONOMER[c],0.0,1,False
Unknown,EG12334-MONOMER[m],0.0,1,False
Unknown,BTUD-MONOMER[m],0.0,1,False
Unknown,CYSP-MONOMER[p],0.0,1,False
Unknown,EG11888-MONOMER[c],0.0,1,False
Unknown,APHA-MONOMER[p],0.0,1,False
Unknown,EG12026-MONOMER[c],0.0,1,False
Unknown,UPPSYN-MONOMER[c],0.0,1,False
Unknown,NRDB-MONOMER[c],0.0,2,False
Unknown,G6770-MONOMER[c],0.0,1,False
Unknown,O-SUCCHOMOSERLYASE-MONOMER[c],0.0,1,False
Unknown,MONOMER0-1501[c],0.0,1,False
Unknown,GLUCOSE-1-PHOSPHAT-MONOMER[p],0.0,1,False
Unknown,EG10424-MONOMER[c],0.0,1,False
Unknown,EG10423-MONOMER[c],0.0,1,False
Unknown,EG10976-MONOMER[c],0.0,1,False
Unknown,EG10571-MONOMER[c],0.0,2,False
Unknown,G6939-MONOMER[p],0.0,1,False
Unknown,EG10837-MONOMER[c],0.0,1,False
Unknown,EG10113-MONOMER[c],0.0,1,False
Unknown,ALDDEHYDROGB-MONOMER[c],0.0,1,False
Unknown,G7492-MONOMER[c],0.0,1,False
Unknown,BIOTIN-CARBOXYL-MONOMER[c],0.0,1,False
Unknown,HOMSUCTRAN-MONOMER[c],0.0,1,False
Unknown,GUTB-MONOMER[c],0.0,1,False
Unknown,GUTA-MONOMER[i],0.0,1,False
Unknown,G8210-MONOMER[m],0.0,1,False
Unknown,METHYLMALONYL-COA-MUT-MONOMER[c],0.0,1,False
Unknown,KDO-8PSYNTH-MONOMER[c],0.0,1,False
Unknown,ACETYLORNTRANSAM-MONOMER[c],0.0,1,False
Unknown,INDOLE[p],0.0,1,False
Unknown,PD00348[c],0.0,1,False
Unknown,PD00347[c],0.0,1,False
Unknown,G6755-MONOMER[c],0.0,1,False
Unknown,TU543[c],0.0,1,False
Unknown,EG10862-MONOMER[c],0.0,1,False
Unknown,EG11544-MONOMER[c],0.0,1,False
Unknown,FABZ-MONOMER[m],0.0,1,False
Unknown,G7007-MONOMER[i],0.0,1,False
Unknown,EG12410-MONOMER[c],0.0,1,False
Unknown,EG11731-MONOMER[c],0.0,1,False
Unknown,TYRB-MONOMER[c],0.0,1,False
Unknown,UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-MONO[c],0.0,1,False
Unknown,G7263-MONOMER[c],0.0,1,False
Unknown,HOLO-ACP-SYNTH-MONOMER[c],0.0,1,False
Unknown,ARGT-MONOMER[p],0.0,1,False
Unknown,UDPGLCNACEPIM-MONOMER[c],0.0,1,False
Unknown,MONOMER0-12[i],0.0,1,False
Unknown,KDPB-MONOMER[i],0.0,1,False
Unknown,EG10515-MONOMER[i],0.0,1,False
Unknown,EG10513-MONOMER[i],0.0,1,False
Unknown,G6520-MONOMER[c],0.0,1,False
Unknown,ASNSYNB-MONOMER[c],0.0,1,False
Unknown,LUMAZINESYN-MONOMER[c],0.0,1,False
Unknown,G6277-MONOMER[c],0.0,1,False
Unknown,G7454-MONOMER[c],0.0,1,False
Unknown,EG10572-MONOMER[c],0.0,1,False
Unknown,EG10483-MONOMER[i],0.0,1,False
Unknown,GLYOCARBOLIG-MONOMER[c],0.0,1,False
Unknown,YRBF-MONOMER[i],0.0,1,False
Unknown,YRBE-MONOMER[i],0.0,1,False
Unknown,G7658-MONOMER[c],0.0,1,False
Unknown,EG12799-MONOMER[i],0.0,1,False
Unknown,PD01343[c],0.0,1,False
Unknown,7-ALPHA-HYDROXYSTEROID-DEH-MONOMER[c],0.0,1,False
Unknown,GLUC1PURIDYLTRANS-MONOMER[c],0.0,1,False
Unknown,CAIT-MONOMER[i],0.0,1,False
Unknown,EG10921-MONOMER[c],0.0,1,False
Unknown,FUM-MEMB2[m],0.0,1,False
Unknown,FUM-MEMB1[m],0.0,1,False
Unknown,FUM-FLAVO[c],0.0,1,False
Unknown,FUM-FE-S[c],0.0,1,False
Unknown,EG11535-MONOMER[c],0.0,1,False
Unknown,ASPKINIHOMOSERDEHYDROGI-MONOMER[c],0.0,1,False
Unknown,EG12313-MONOMER[c],0.0,1,False
Unknown,EG12033-MONOMER[c],0.0,1,False
Unknown,GLUC1PADENYLTRANS-MONOMER[c],0.0,1,False
Unknown,ALAS-MONOMER[c],0.0,1,False
Unknown,DIHYDROPICRED-MONOMER[c],0.0,1,False
Unknown,G6417-MONOMER[i],0.0,1,False
Unknown,EG11064-MONOMER[c],0.0,1,False
Unknown,NARQ-MONOMER[i],0.0,1,False
Unknown,MACB[m],0.0,1,False
Unknown,MACA[m],0.0,1,False
Unknown,EG12391-MONOMER[c],0.0,1,False
Unknown,EG10967-MONOMER[c],0.0,1,False
Unknown,TU0-12938[c],0.0,1,False
Unknown,EG10300-MONOMER[c],0.0,1,False
Unknown,NAG1P-URIDYLTRANS-MONOMER[c],0.0,1,False
Unknown,TTDB-MONOMER[c],0.0,1,False
Unknown,TTDA-MONOMER[c],0.0,1,False
Unknown,MALTODEXGLUCOSID-MONOMER[c],0.0,1,False
