gene_id,monomer_id,mean_functional_units,num_complexes,is_functional
EG10399,GLYCPDIESTER-PERI-MONOMER[p],0.1726039016115352,1,False
G7409,G7409-MONOMER[c],0.1726039016115352,1,False
G6804,G6804-MONOMER[c],0.1729431721798134,1,False
G7168,G7168-MONOMER[m],0.17359344076901329,1,False
G6799,G6799-MONOMER[c],0.17387616624257846,1,False
EG11859,EG11859-MONOMER[c],0.17472434266327397,1,False
EG10046,ANSB-MONOMER[p],0.1753604749787956,1,False
G6287,G6287-MONOMER[c],0.17557251908396945,1,False
G6198,G6198-MONOMER[c],0.17557251908396945,1,False
G6288,G6288-MONOMER[c],0.17557251908396945,1,False
G6154,G6154-MONOMER[c],0.17557251908396945,1,False
G6289,G6289-MONOMER[c],0.17557251908396945,1,False
G7596,G7596-MONOMER[c],0.1759966072943172,1,False
EG10086,ASCF-MONOMER[i],0.17684478371501272,1,False
EG11929,EG11929-MONOMER[c],0.17684478371501272,1,False
EG11101,EG11101-MONOMER[c],0.17726887192536048,1,False
G6318,G6318-MONOMER[i],0.17726887192536048,1,False
EG11094,EG11094-MONOMER[c],0.178117048346056,1,False
EG10927,EG10927-MONOMER[c],0.178117048346056,1,False
G7398,G7398-MONOMER[i],0.17938931297709923,1,False
EG11888,EG11888-MONOMER[c],0.17938931297709923,1,False
EG11870,EG11870-MONOMER[c],0.18023748939779474,1,False
EG50010,ADHC-MONOMER[c],0.18023748939779474,1,False
EG10527,BETAGALACTOSID-MONOMER[c],0.1806615776081425,1,False
G0-9563,MONOMER0-1564[p],0.181509754028838,1,False
EG10188,SIROHEMESYN-MONOMER[c],0.18278201865988125,1,False
EG10459,EG10459-MONOMER[c],0.183206106870229,1,False
EG10460,EG10460-MONOMER[c],0.183206106870229,1,False
EG10458,EG10458-MONOMER[c],0.183206106870229,1,False
EG10153,EG10153-MONOMER[c],0.18575063613231552,1,False
G7160,G7160-MONOMER[c],0.18649279050042408,1,False
G7530,G7530-MONOMER[c],0.18659881255301103,1,False
G6303,G6303-MONOMER[c],0.18744698897370654,1,False
EG10118,BIOTIN-SYN-MONOMER[c],0.18829516539440203,1,False
EG12396,EG12396-MONOMER[i],0.18829516539440203,1,False
G6662,G6662-MONOMER[c],0.1895674300254453,1,False
G6212,G6212-MONOMER[c],0.18999151823579305,1,False
G7236,G7236-MONOMER[c],0.1912637828668363,1,False
G7727,G7727-MONOMER[c],0.19253604749787956,1,False
EG11670,ATOA-MONOMER[c],0.19550466497031382,2,False
EG11075,XYLULOKIN-MONOMER[c],0.19635284139100934,1,False
