variant,gene_id,failed_before_gen8,expected_failed_before_gen8,RNA ID,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match,n_simulations
68,EG10791,False,True,EG10791_RNA,1,True,expected_essential,False,2
69,G7859,False,False,G7859_RNA,0,False,expected_nonessential,True,2
70,EG11692,False,False,EG11692_RNA,0,False,expected_nonessential,True,2
71,EG10100,False,False,EG10100_RNA,0,False,expected_nonessential,True,2
72,EG11699,False,False,EG11699_RNA,0,False,expected_nonessential,True,2
73,EG10770,True,True,EG10770_RNA,1,True,expected_essential,True,2
74,G7889,False,True,G7889_RNA,1,True,expected_essential,False,2
75,EG11008,False,False,EG11008_RNA,0,False,expected_nonessential,True,2
76,EG10446,True,True,EG10446_RNA,1,True,expected_essential,True,2
77,EG10098,False,False,EG10098_RNA,0,False,expected_nonessential,True,2
78,EG10390,True,False,EG10390_RNA,0,False,expected_nonessential,False,2
79,EG10710,True,True,EG10710_RNA,1,True,expected_essential,True,2
80,G7868,False,False,G7868_RNA,0,False,expected_nonessential,True,2
81,EG10629,False,False,EG10629_RNA,0,False,expected_nonessential,True,2
82,G6662,False,False,G6662_RNA,0,False,expected_nonessential,True,2
83,EG10007,False,False,EG10007_RNA,0,False,expected_nonessential,True,2
84,EG10876,True,True,EG10876_RNA,1,True,expected_essential,True,2
85,EG12144,False,False,EG12144_RNA,0,False,expected_nonessential,True,2
86,EG10652,False,False,EG10652_RNA,0,False,expected_nonessential,True,2
87,EG20049,False,False,EG20049_RNA,0,False,expected_nonessential,True,2
88,EG10445,True,True,EG10445_RNA,1,True,expected_essential,True,2
89,EG11268,False,False,EG11268_RNA,0,False,expected_nonessential,True,2
90,EG10072,False,False,EG10072_RNA,0,False,expected_nonessential,True,2
91,EG11796,False,False,EG11796_RNA,0,False,expected_nonessential,True,2
92,G0-10441,False,False,G0-10441_RNA,0,False,expected_nonessential,True,2
93,EG10123,False,False,EG10123_RNA,0,False,expected_nonessential,True,2
94,EG12088,False,False,EG12088_RNA,0,False,expected_nonessential,True,2
95,EG10865,True,True,EG10865_RNA,1,True,expected_essential,True,2
96,EG12715,False,False,EG12715_RNA,0,False,expected_nonessential,True,2
97,G7833,False,False,G7833_RNA,0,False,expected_nonessential,True,2
98,EG10920,True,True,EG10920_RNA,1,True,expected_essential,True,2
99,EG12625,False,False,EG12625_RNA,0,False,expected_nonessential,True,2
100,EG10537,False,False,EG10537_RNA,0,False,expected_nonessential,True,2
101,EG10864,True,True,EG10864_RNA,1,True,expected_essential,True,2
102,G7542,False,False,G7542_RNA,0,False,expected_nonessential,True,2
103,EG10115,False,False,EG10115_RNA,0,False,expected_nonessential,True,2
104,G6437,False,False,G6437_RNA,0,False,expected_nonessential,True,2
105,G7158,False,False,G7158_RNA,0,False,expected_nonessential,True,2
106,G7888,False,True,G7888_RNA,1,True,expected_essential,False,2
107,EG10661,False,False,EG10661_RNA,0,False,expected_nonessential,True,2
108,EG10330,False,False,EG10330_RNA,0,False,expected_nonessential,True,2
109,EG10192,False,False,EG10192_RNA,0,False,expected_nonessential,True,2
110,EG50006,False,False,EG50006_RNA,0,False,expected_nonessential,True,2
111,EG10356,False,False,EG10356_RNA,0,False,expected_nonessential,True,2
112,G6105,False,False,G6105_RNA,0,False,expected_nonessential,True,2
113,EG11375,False,True,EG11375_RNA,1,True,expected_essential,False,2
114,EG10350,False,False,EG10350_RNA,0,False,expected_nonessential,True,2
115,EG11576,True,True,EG11576_RNA,1,True,expected_essential,True,2
116,M004,False,False,M004_RNA,0,False,expected_nonessential,True,2
117,EG50002,True,True,EG50002_RNA,1,True,expected_essential,True,2
118,EG10464,False,False,EG10464_RNA,0,False,expected_nonessential,True,2
119,EG11934,False,False,EG11934_RNA,0,False,expected_nonessential,True,2
120,EG10045,False,False,EG10045_RNA,0,False,expected_nonessential,True,2
121,EG10637,False,False,EG10637_RNA,0,False,expected_nonessential,True,2
122,EG10868,True,True,EG10868_RNA,1,True,expected_essential,True,2
123,EG10064,False,True,EG10064_RNA,1,True,expected_essential,False,2
124,EG10707,True,False,EG10707_RNA,0,False,expected_nonessential,False,2
125,EG10918,True,True,EG10918_RNA,1,True,expected_essential,True,2
126,EG10077,False,True,EG10077_RNA,1,True,expected_essential,False,2
