variant,gene_id,RNA ID,failed_before_gen8,criteria_match,Process,process_percent_of_disagreement,expected_failed_before_gen8,Rousset_all_strains_M9,rousset_bool,expected_category,n_simulations
311,EG10495,EG10495_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
318,EG12666,EG12666_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
320,EG10798,EG10798_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
325,EG10809,EG10809_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
329,EG10870,EG10870_RNA,True,False,Translation,11.702127659574469,False,0,False,expected_nonessential,2
338,EG10903,EG10903_RNA,True,False,Translation,11.702127659574469,False,0,False,expected_nonessential,2
339,EG11028,EG11028_RNA,True,False,Metabolism,85.1063829787234,False,0,False,expected_nonessential,2
351,EG11546,EG11546_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
354,EG11314,EG11314_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
356,EG11026,EG11026_RNA,True,False,Metabolism,85.1063829787234,False,0,False,expected_nonessential,2
357,EG10908,EG10908_RNA,True,False,Translation,11.702127659574469,False,0,False,expected_nonessential,2
359,EG10207,EG10207_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
360,EG10613,EG10613_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
362,EG10068,EG10068_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
365,EG10139,EG10139_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
366,EG10194,EG10194_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
368,EG50001,EG50001_RNA,True,False,Translation,11.702127659574469,False,0,False,expected_nonessential,2
370,EG10915,EG10915_RNA,True,False,Translation,11.702127659574469,False,0,False,expected_nonessential,2
372,EG10769,EG10769_RNA,True,False,Metabolism,85.1063829787234,False,0,False,expected_nonessential,2
381,EG11223,EG11223_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
388,EG10075,EG10075_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
397,G7423,G7423_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
398,G7842,G7842_RNA,False,False,RNA Decay,1.0638297872340425,True,1,True,expected_essential,2
404,G7665,G7665_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
409,EG10790,EG10790_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
414,EG10185,EG10185_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
421,EG10449,EG10449_RNA,True,False,Metabolism,85.1063829787234,False,0,False,expected_nonessential,2
422,EG10946,EG10946_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
427,EG10965,EG10965_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
428,EG10444,EG10444_RNA,True,False,Metabolism,85.1063829787234,False,0,False,expected_nonessential,2
